mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,0.0009794,,
9.25,0.001015,,
9.5,0.001193,,
9.75,0.001571,,
10,0.002013,,
10.25,0.002217,,
10.5,0.001967,,
10.75,0.002629,,
11,0.002359,,
11.25,0.002033,,
11.5,0.002522,,
11.75,0.001924,,
12,0.003037,,
12.25,,0.004485,0.004537
12.5,,0.004706,0.004766
12.75,,0.004559,0.004678
13,,0.004687,0.005035
13.1,,0.004694,0.004837
13.2,,0.004751,0.004883
13.3,,0.004769,0.004882
13.4,,0.004768,0.004932
13.5,,0.004914,0.005096
13.6,,0.005388,0.005722
13.7,,0.005275,0.005518
13.8,,0.005219,0.005491
13.9,,0.005263,0.005431
14,,0.005181,0.005339
14.1,,0.005314,0.005431
14.2,,0.005039,0.005139
14.3,,0.005269,0.005526
14.4,,0.005347,0.005434
14.5,,0.00548,0.005512
14.6,,0.00534,0.005416
14.7,,0.00555,0.005737
14.8,,0.00532,0.005354
14.9,,0.005349,0.00547
15.2,,0.0137,0.01428
15.7,,0.01359,0.01429
15.8,,0.01255,0.01449
15.9,,,0.01104
16,,0.01421,0.01565
16.1,,0.01367,0.01455
16.2,,0.01369,0.01517
16.3,,0.01466,0.016
16.4,,0.01385,0.01543
16.5,,0.01452,0.01612
16.6,,0.01597,0.01734
16.7,,0.01631,0.01768
16.8,,0.01573,0.01731
16.9,,0.0158,0.01751
17,,0.0163,0.01801
17.1,,0.01611,0.01784
17.3,,0.006341,0.008016
17.4,,0.007086,0.008686
17.5,,0.008246,0.009946
17.6,,0.007796,0.009466
17.7,,,0.008536
17.9,,0.006544,0.006677
18,,,0.004931
18.1,,0.006415,0.006516
18.2,,0.006404,0.006578
18.3,,0.006419,0.006529
18.4,,0.00637,0.006529
18.5,,0.004561,0.005741
18.7,,,0.005419
18.8,,,0.009838
18.9,,,0.007198
19,,,0.008578
19.1,,,0.008528
19.2,,0.009778,0.01139
19.3,,0.01171,0.01229
19.4,,,0.004215
19.7,,0.0738,0.0737
19.8,,0.0514,0.0512
20.1,,0.02664,0.02859
20.2,,0.05782,0.05792
20.3,,0.04333,0.04433
20.4,,0.07511,0.07521
20.5,,0.05382,0.05392
20.6,,,0.006739
20.8,,0.004776,0.004762
21,,0.01097,0.01171
21.1,,0.01047,0.011
21.2,,0.00536,0.005447
21.5,,0.02145,0.02307
21.6,,0.01907,0.02184
21.7,,,0.0183
25.2,,0.05127,0.05067
25.3,,,0.03735
25.4,,0.04567,0.04787
25.5,,0.05077,0.05027
25.6,,0.02818,0.02818
25.7,,0.04916,0.04916
25.8,,0.05838,0.05817
25.9,,0.06986,0.06966
26,,0.05515,0.05535
26.1,,0.04855,0.05055
26.2,,0.04735,0.04935
26.3,,0.03439,0.0368
26.4,,0.03123,0.03289
26.5,,0.03216,0.03322
26.6,,,0.02956
26.7,,,0.0293
26.8,,,0.02791
26.9,,,0.02783
27,,0.0233,0.02684
27.1,,0.023,0.02636
27.2,,0.02524,0.02747
27.3,,0.02209,0.02606
27.4,,,0.02357
29,,,0.007392
29.1,,,0.007173
29.2,,,0.005762
29.6,,,0.008823
60,,0.02123,0.02383
80,,,0.006701
100,,,0.005438
120,,0.005082,0.005232
