mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,0.0001088,,
9.25,0.0001098,,
9.5,0.0001256,,
9.75,0.0001612,,
10,0.0002013,,
10.25,0.0002163,,
10.5,0.0001873,,
10.75,0.0002446,,
11,0.0002144,,
11.25,0.0001807,,
11.5,0.0002193,,
11.75,0.0001637,,
12,0.0002531,,
12.25,,0.0003661,0.0003704
12.5,,0.0003765,0.0003813
12.75,,0.0003575,0.0003669
13,,0.0003605,0.0003873
13.1,,0.0003583,0.0003692
13.2,,0.0003599,0.0003699
13.3,,0.0003586,0.0003671
13.4,,0.0003558,0.0003681
13.5,,0.000364,0.0003775
13.6,,0.0003962,0.0004207
13.7,,0.000385,0.0004028
13.8,,0.0003782,0.0003979
13.9,,0.0003786,0.0003907
14,,0.0003701,0.0003813
14.1,,0.0003769,0.0003852
14.2,,0.0003549,0.0003619
14.3,,0.0003684,0.0003864
14.4,,0.0003713,0.0003773
14.5,,0.000378,0.0003802
14.6,,0.0003658,0.0003709
14.7,,0.0003776,0.0003903
14.8,,0.0003595,0.0003618
14.9,,0.000359,0.0003671
15.2,,0.0009016,0.0009398
15.7,,0.0008659,0.0009105
15.8,,0.0007946,0.0009174
15.9,,,0.0006946
16,,0.0008878,0.0009778
16.1,,0.0008494,0.0009034
16.2,,0.0008448,0.0009361
16.3,,0.0008991,0.0009813
16.4,,0.0008442,0.0009406
16.5,,0.0008797,0.0009767
16.6,,0.0009618,0.001044
16.7,,0.0009764,0.001058
16.8,,0.0009361,0.00103
16.9,,0.0009347,0.001036
17,,0.0009586,0.001059
17.1,,0.0009419,0.001043
17.3,,0.0003665,0.0004634
17.4,,0.0004073,0.0004992
17.5,,0.0004712,0.0005684
17.6,,0.000443,0.0005379
17.7,,,0.0004823
17.9,,0.0003656,0.000373
18,,,0.0002739
18.1,,0.0003544,0.00036
18.2,,0.0003519,0.0003615
18.3,,0.0003508,0.0003568
18.4,,0.0003462,0.0003548
18.5,,0.0002465,0.0003103
18.7,,,0.0002898
18.8,,,0.0005233
18.9,,,0.0003808
19,,,0.0004515
19.1,,,0.0004465
19.2,,0.0005093,0.0005931
19.3,,0.0006067,0.0006367
19.4,,,0.0002173
19.7,,0.003746,0.003741
19.8,,0.002596,0.002586
20.1,,0.001325,0.001422
20.2,,0.002862,0.002867
20.3,,0.002134,0.002184
20.4,,0.003682,0.003687
20.5,,0.002625,0.00263
20.6,,,0.0003272
20.8,,0.0002296,0.0002289
21,,0.0005224,0.0005576
21.1,,0.0004962,0.0005214
21.2,,0.0002528,0.0002569
21.5,,0.0009978,0.001073
21.6,,0.000883,0.001011
21.7,,,0.0008434
25.2,,0.002034,0.002011
25.3,,,0.001476
25.4,,0.001798,0.001884
25.5,,0.001991,0.001971
25.6,,0.001101,0.001101
25.7,,0.001913,0.001913
25.8,,0.002263,0.002255
25.9,,0.002697,0.00269
26,,0.002121,0.002129
26.1,,0.00186,0.001937
26.2,,0.001807,0.001883
26.3,,0.001308,0.001399
26.4,,0.001183,0.001246
26.5,,0.001213,0.001253
26.6,,,0.001111
26.7,,,0.001097
26.8,,,0.001042
26.9,,,0.001035
27,,0.0008631,0.0009941
27.1,,0.0008488,0.0009727
27.2,,0.0009281,0.00101
27.3,,0.0008093,0.0009546
27.4,,,0.0008602
29,,,0.0002549
29.1,,,0.0002465
29.2,,,0.0001973
29.6,,,0.0002981
60,,0.0003539,0.0003972
80,,,8.376e-05
100,,,5.438e-05
120,,4.235e-05,4.36e-05
