mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,0.0006924,,
9.25,0.000716,,
9.5,0.0008419,,
9.75,0.001103,,
10,0.001426,,
10.25,0.001563,,
10.5,0.001454,,
10.75,0.001931,,
11,0.00147,,
11.25,0.001485,,
11.5,0.001847,,
11.75,0.001382,,
12,0.002192,,
12.25,,0.003289,0.003304
12.5,,0.003466,0.003548
12.75,,0.003372,0.003496
13,,0.003551,0.0038
13.1,,0.003517,0.003612
13.2,,0.003558,0.003654
13.3,,0.003557,0.003653
13.4,,0.003597,0.003753
13.5,,0.003693,0.003828
13.6,,0.003973,0.00416
13.7,,0.00388,0.00404
13.8,,0.003872,0.004038
13.9,,0.00383,0.003956
14,,0.00388,0.003975
14.1,,0.00401,0.004104
14.2,,0.00379,0.003862
14.3,,0.00394,0.004099
14.4,,0.00399,0.004021
14.5,,0.003946,0.003967
14.6,,0.003929,0.003982
14.7,,0.003974,0.00412
14.8,,0.003976,0.004007
14.9,,0.003896,0.003979
15.2,,0.007961,0.008318
15.7,,0.007483,0.007973
15.8,,0.007138,0.008422
15.9,,,0.006675
16,,0.007538,0.008688
16.1,,0.007522,0.007965
16.2,,0.007115,0.008255
16.3,,0.007793,0.008882
16.4,,0.006986,0.008238
16.5,,0.007352,0.008624
16.6,,0.008315,0.009495
16.7,,0.008448,0.009628
16.8,,0.008004,0.009234
16.9,,0.007964,0.009286
17,,0.008048,0.00937
17.1,,0.007967,0.00928
17.3,,0.004149,0.005235
17.4,,0.004526,0.005563
17.5,,0.004947,0.006065
17.6,,0.004782,0.00585
17.7,,,0.005327
17.9,,0.004723,0.004849
18,,,0.003359
18.1,,0.004593,0.004688
18.2,,0.004634,0.004799
18.3,,0.0046,0.004707
18.4,,0.004557,0.004685
18.5,,0.003223,0.004057
18.7,,,0.003787
18.8,,,0.005662
18.9,,,0.004424
19,,,0.004802
19.1,,,0.004913
19.2,,0.00494,0.006217
19.3,,0.006983,0.007544
19.4,,,0.003058
19.7,,0.02326,0.02326
19.8,,0.01455,0.01438
20.1,,0.0103,0.01162
20.2,,0.01761,0.01782
20.3,,0.01987,0.02069
20.4,,0.02333,0.02343
20.5,,0.01879,0.01889
20.6,,,0.004687
20.8,,0.003429,0.00342
21,,0.006803,0.007247
21.1,,0.006343,0.006798
21.2,,0.003866,0.00391
21.5,,0.01121,0.01254
21.6,,0.009304,0.01122
21.7,,,0.008879
25.2,,0.01363,0.01332
25.3,,,0.01377
25.4,,0.01251,0.01394
25.5,,0.01372,0.01341
25.6,,0.01032,0.01035
25.7,,0.01296,0.01298
25.8,,0.01457,0.01458
25.9,,0.0199,0.01989
26,,0.01799,0.01829
26.1,,0.01607,0.0177
26.2,,0.01585,0.01748
26.3,,0.01273,0.01448
26.4,,0.01218,0.01321
26.5,,0.0125,0.01311
26.6,,,0.01255
26.7,,,0.01225
26.8,,,0.01193
26.9,,,0.01183
27,,0.009714,0.0119
27.1,,0.009619,0.0118
27.2,,0.01087,0.01211
27.3,,0.009812,0.01189
27.4,,,0.01154
29,,,0.004867
29.1,,,0.004765
29.2,,,0.004064
29.6,,,0.00542
60,,0.0109,0.01274
80,,,0.003916
100,,,0.003933
120,,0.003593,0.003503
