mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,0.002044,,
9.25,0.001821,,
9.5,0.00249,,
9.75,0.004029,,
10,0.006361,,
10.25,0.006703,,
10.5,0.004508,,
10.75,0.006928,,
11,0.004278,,
11.25,0.004467,,
11.5,0.005527,,
11.75,0.003981,,
12,0.006675,,
12.25,,0.01127,0.0101
12.5,,0.01044,0.01046
12.75,,0.01038,0.0107
13,,0.01092,0.01173
13.1,,0.01,0.01039
13.2,,0.009938,0.01035
13.3,,0.009957,0.01021
13.4,,0.01019,0.01052
13.5,,0.0103,0.0106
13.6,,0.01128,0.01168
13.7,,0.011,0.0114
13.8,,0.01111,0.01144
13.9,,0.01097,0.01123
14,,0.01077,0.01107
14.1,,0.01061,0.01089
14.2,,0.01028,0.01052
14.3,,0.01058,0.01111
14.4,,0.01065,0.01075
14.5,,0.01154,0.01158
14.6,,0.01068,0.01089
14.7,,0.01142,0.01161
14.8,,0.01062,0.01071
14.9,,0.01097,0.01118
15.2,,0.009889,0.009842
15.7,,0.01016,0.01023
15.8,,0.009896,0.01137
15.9,,,0.01037
16,,0.009944,0.01233
16.1,,0.01031,0.009945
16.2,,0.009964,0.01232
16.3,,0.01019,0.01253
16.4,,0.009674,0.01209
16.5,,0.009625,0.01199
16.6,,0.009971,0.01229
16.7,,0.009798,0.0121
16.8,,0.009831,0.01214
16.9,,0.009733,0.01194
17,,0.009405,0.01167
17.1,,0.00961,0.01182
17.3,,0.009499,0.01083
17.4,,0.009277,0.01061
17.5,,0.009143,0.01035
17.6,,0.009281,0.01057
17.7,,,0.009915
17.9,,0.009411,0.009597
18,,,0.009282
18.1,,0.009175,0.00935
18.2,,0.009104,0.009272
18.3,,0.009109,0.009253
18.4,,0.009078,0.009197
18.5,,0.008114,0.00938
18.7,,,0.008662
18.8,,,0.01064
18.9,,,0.009776
19,,,0.009241
19.1,,,0.009494
19.2,,0.008505,0.01054
19.3,,0.007338,0.008338
19.4,,,0.007524
19.7,,0.006251,0.006535
19.8,,0.007952,0.008193
20.1,,0.01043,0.01289
20.2,,0.006556,0.006776
20.3,,0.009777,0.01178
20.4,,0.005997,0.006219
20.5,,0.005753,0.005866
20.6,,,0.0088
20.8,,0.005943,0.005926
21,,0.007481,0.008576
21.1,,0.007663,0.008716
21.2,,0.006177,0.006234
21.5,,0.007954,0.009886
21.6,,0.007441,0.01014
21.7,,,0.009081
25.2,,0.009929,0.00892
25.3,,,0.01123
25.4,,0.008623,0.01035
25.5,,0.01001,0.009105
25.6,,0.007387,0.007122
25.7,,0.005598,0.005859
25.8,,0.005321,0.00565
25.9,,0.009324,0.008696
26,,0.009865,0.009702
26.1,,0.008522,0.01021
26.2,,0.008782,0.01022
26.3,,0.008673,0.01134
26.4,,0.009674,0.009928
26.5,,0.009289,0.009774
26.6,,,0.01002
26.7,,,0.009905
26.8,,,0.01026
26.9,,,0.01022
27,,0.007069,0.009732
27.1,,0.007872,0.01008
27.2,,0.007853,0.009516
27.3,,0.007989,0.009755
27.4,,,0.008094
29,,,0.00667
29.1,,,0.006416
29.2,,,0.006182
29.6,,,0.006257
60,,0.00214,0.002721
80,,,0.001902
100,,,0.001587
120,,0.0008133,0.00127
