mass,S16 (Z9.6),S16 (W18),S16 (N20),"L18 (v0, [Fe/H]=-3)","L18 (v0, [Fe/H]=-2)","L18 (v0, [Fe/H]=-1)","L18 (v0, [Fe/H]=0)","L18 (v150, [Fe/H]=-3)","L18 (v150, [Fe/H]=-2)","L18 (v150, [Fe/H]=-1)","L18 (v150, [Fe/H]=0)","L18 (v300, [Fe/H]=-3)","L18 (v300, [Fe/H]=-2)","L18 (v300, [Fe/H]=-1)","L18 (v300, [Fe/H]=0)","W09 (ST, 8.8M)","W09 (FP3, 8.8M)"
8.8,,,,,,,,,,,,,,,,0.00538,0.006258
9,0.0184,,,,,,,,,,,,,,,,
9.25,0.01684,,,,,,,,,,,,,,,,
9.5,0.02365,,,,,,,,,,,,,,,,
9.75,0.03928,,,,,,,,,,,,,,,,
10,0.06361,,,,,,,,,,,,,,,,
10.25,0.0687,,,,,,,,,,,,,,,,
10.5,0.04733,,,,,,,,,,,,,,,,
10.75,0.07447,,,,,,,,,,,,,,,,
11,0.04706,,,,,,,,,,,,,,,,
11.25,0.05025,,,,,,,,,,,,,,,,
11.5,0.06356,,,,,,,,,,,,,,,,
11.75,0.04678,,,,,,,,,,,,,,,,
12,0.0801,,,,,,,,,,,,,,,,
12.25,,0.1381,0.1237,,,,,,,,,,,,,,
12.5,,0.1305,0.1307,,,,,,,,,,,,,,
12.75,,0.1324,0.1364,,,,,,,,,,,,,,
13,,0.142,0.1525,0.07323,0.07346,0.07499,0.0907,0.07305,0.0734,0.07671,0.08852,0.07704,0.0869,0.1066,0.09311,,
13.1,,0.131,0.1361,,,,,,,,,,,,,,
13.2,,0.1312,0.1366,,,,,,,,,,,,,,
13.3,,0.1324,0.1359,,,,,,,,,,,,,,
13.4,,0.1366,0.1409,,,,,,,,,,,,,,
13.5,,0.139,0.1431,,,,,,,,,,,,,,
13.6,,0.1533,0.1588,,,,,,,,,,,,,,
13.7,,0.1507,0.1562,,,,,,,,,,,,,,
13.8,,0.1534,0.1579,,,,,,,,,,,,,,
13.9,,0.1525,0.1561,,,,,,,,,,,,,,
14,,0.1507,0.1549,,,,,,,,,,,,,,
14.1,,0.1497,0.1536,,,,,,,,,,,,,,
14.2,,0.146,0.1494,,,,,,,,,,,,,,
14.3,,0.1512,0.1588,,,,,,,,,,,,,,
14.4,,0.1533,0.1548,,,,,,,,,,,,,,
14.5,,0.1673,0.1679,,,,,,,,,,,,,,
14.6,,0.156,0.1589,,,,,,,,,,,,,,
14.7,,0.1679,0.1706,,,,,,,,,,,,,,
14.8,,0.1572,0.1585,,,,,,,,,,,,,,
14.9,,0.1634,0.1666,,,,,,,,,,,,,,
15,,,,0.07333,0.07363,0.07621,0.09452,0.07373,0.07454,0.07841,0.3181,0.1111,0.1027,0.09371,0.2819,,
15.2,,0.1503,0.1496,,,,,,,,,,,,,,
15.7,,0.1595,0.1606,,,,,,,,,,,,,,
15.8,,0.1564,0.1797,,,,,,,,,,,,,,
15.9,,,0.1648,,,,,,,,,,,,,,
16,,0.1591,0.1972,,,,,,,,,,,,,,
16.1,,0.166,0.1601,,,,,,,,,,,,,,
16.2,,0.1614,0.1997,,,,,,,,,,,,,,
16.3,,0.1661,0.2043,,,,,,,,,,,,,,
16.4,,0.1586,0.1983,,,,,,,,,,,,,,
16.5,,0.1588,0.1978,,,,,,,,,,,,,,
16.6,,0.1655,0.204,,,,,,,,,,,,,,
16.7,,0.1636,0.2021,,,,,,,,,,,,,,
16.8,,0.1652,0.204,,,,,,,,,,,,,,
16.9,,0.1645,0.2018,,,,,,,,,,,,,,
17,,0.1599,0.1984,,,,,,,,,,,,,,
17.1,,0.1643,0.202,,,,,,,,,,,,,,
17.3,,0.1643,0.1874,,,,,,,,,,,,,,
17.4,,0.1614,0.1847,,,,,,,,,,,,,,
17.5,,0.16,0.1812,,,,,,,,,,,,,,
17.6,,0.1634,0.186,,,,,,,,,,,,,,
17.7,,,0.1755,,,,,,,,,,,,,,
17.9,,0.1685,0.1718,,,,,,,,,,,,,,
18,,,0.1671,,,,,,,,,,,,,,
18.1,,0.1661,0.1692,,,,,,,,,,,,,,
18.2,,0.1657,0.1687,,,,,,,,,,,,,,
18.3,,0.1667,0.1693,,,,,,,,,,,,,,
18.4,,0.167,0.1692,,,,,,,,,,,,,,
18.5,,0.1501,0.1735,,,,,,,,,,,,,,
18.7,,,0.162,,,,,,,,,,,,,,
18.8,,,0.2001,,,,,,,,,,,,,,
18.9,,,0.1848,,,,,,,,,,,,,,
19,,,0.1756,,,,,,,,,,,,,,
19.1,,,0.1813,,,,,,,,,,,,,,
19.2,,0.1633,0.2024,,,,,,,,,,,,,,
19.3,,0.1416,0.1609,,,,,,,,,,,,,,
19.4,,,0.146,,,,,,,,,,,,,,
19.7,,0.1231,0.1287,,,,,,,,,,,,,,
19.8,,0.1575,0.1622,,,,,,,,,,,,,,
20,,,,0.0736,0.07406,0.07659,0.1013,0.07304,0.0742,0.07622,0.09605,0.07674,0.07807,0.07956,0.09688,,
20.1,,0.2096,0.259,,,,,,,,,,,,,,
20.2,,0.1324,0.1369,,,,,,,,,,,,,,
20.3,,0.1985,0.2392,,,,,,,,,,,,,,
20.4,,0.1223,0.1269,,,,,,,,,,,,,,
20.5,,0.1179,0.1203,,,,,,,,,,,,,,
20.6,,,0.1813,,,,,,,,,,,,,,
20.8,,0.1236,0.1233,,,,,,,,,,,,,,
21,,0.1571,0.1801,,,,,,,,,,,,,,
21.1,,0.1617,0.1839,,,,,,,,,,,,,,
21.2,,0.131,0.1322,,,,,,,,,,,,,,
21.5,,0.171,0.2125,,,,,,,,,,,,,,
21.6,,0.1607,0.219,,,,,,,,,,,,,,
21.7,,,0.1971,,,,,,,,,,,,,,
25,,,,0.07286,0.0733,0.07592,0.1031,0.07301,0.0739,0.07691,0.1025,0.07329,0.07464,0.07668,0.1021,,
25.2,,0.2502,0.2248,,,,,,,,,,,,,,
25.3,,,0.2842,,,,,,,,,,,,,,
25.4,,0.219,0.263,,,,,,,,,,,,,,
