mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,0.0001172,,
9.25,0.0001102,,
9.5,0.0001354,,
9.75,0.0002061,,
10,0.0002925,,
10.25,0.0003125,,
10.5,0.0002216,,
10.75,0.000316,,
11,0.0002108,,
11.25,0.0002089,,
11.5,0.0002613,,
11.75,0.0001886,,
12,0.0003246,,
12.25,,0.0004873,0.00044
12.5,,0.0004514,0.000454
12.75,,0.0004333,0.0004464
13,,0.0004421,0.0004783
13.1,,0.000402,0.0004194
13.2,,0.0004011,0.0004201
13.3,,0.0004027,0.000414
13.4,,0.0004042,0.000419
13.5,,0.0004145,0.0004271
13.6,,0.0004517,0.0004698
13.7,,0.0004348,0.0004577
13.8,,0.0004379,0.0004539
13.9,,0.0004437,0.0004549
14,,0.0004205,0.0004367
14.1,,0.0004148,0.0004279
14.2,,0.0004049,0.0004165
14.3,,0.0004119,0.0004373
14.4,,0.0004138,0.0004194
14.5,,0.0004338,0.0004363
14.6,,0.0004141,0.0004213
14.7,,0.0004377,0.000439
14.8,,0.0004082,0.0004102
14.9,,0.0004153,0.0004243
15.2,,0.0004838,0.0004821
15.7,,0.0004823,0.0004859
15.8,,0.0004731,0.0005443
15.9,,,0.0005119
16,,0.0004649,0.0005673
16.1,,0.0004917,0.0004693
16.2,,0.0004708,0.000565
16.3,,0.0004783,0.0005738
16.4,,0.0004555,0.0005517
16.5,,0.0004495,0.0005488
16.6,,0.0004749,0.000563
16.7,,0.0004654,0.0005589
16.8,,0.000461,0.000553
16.9,,0.0004548,0.0005437
17,,0.0004427,0.000533
17.1,,0.0004524,0.0005385
17.3,,0.0004517,0.0005086
17.4,,0.0004457,0.0005057
17.5,,0.0004408,0.0004973
17.6,,0.0004434,0.0005001
17.7,,,0.0005072
17.9,,0.0004028,0.0004229
18,,,0.000475
18.1,,0.0003997,0.0004142
18.2,,0.000394,0.0004102
18.3,,0.0003945,0.000409
18.4,,0.0003885,0.0004062
18.5,,0.0004212,0.0004883
18.7,,,0.0004736
18.8,,,0.0004634
18.9,,,0.0004419
19,,,0.0004217
19.1,,,0.0004356
19.2,,0.0004103,0.0004859
19.3,,0.0003978,0.0004444
19.4,,,0.000441
19.7,,0.0004563,0.0005037
19.8,,0.000473,0.0005273
20.1,,0.0004435,0.0005236
20.2,,0.0004632,0.0005056
20.3,,0.0004365,0.0005174
20.4,,0.0004495,0.0004948
20.5,,0.0004397,0.0004624
20.6,,,0.0003699
20.8,,0.0002939,0.0002933
21,,0.0004157,0.0004605
21.1,,0.0004126,0.000439
21.2,,0.0002902,0.0002914
21.5,,0.0004189,0.0004792
21.6,,0.0003875,0.0004963
21.7,,,0.0004305
25.2,,0.0004658,0.0004332
25.3,,,0.0004901
25.4,,0.0004071,0.0004708
25.5,,0.0004549,0.0004369
25.6,,0.0003836,0.0003771
25.7,,0.0003946,0.0004082
25.8,,0.0003928,0.000412
25.9,,0.0004357,0.0004166
26,,0.0004637,0.0004511
26.1,,0.000408,0.0004656
26.2,,0.0004146,0.0004656
26.3,,0.0004128,0.0005012
26.4,,0.0004358,0.0004452
26.5,,0.0004251,0.0004417
26.6,,,0.0004603
26.7,,,0.000463
26.8,,,0.0004758
26.9,,,0.0004594
27,,0.000365,0.0004546
27.1,,0.0003961,0.0004635
27.2,,0.0003834,0.0004376
27.3,,0.0003837,0.0004602
27.4,,,0.0004106
29,,,0.0003722
29.1,,,0.0003586
29.2,,,0.000358
29.6,,,0.0003506
60,,0.0001313,0.0001517
80,,,8.932e-05
100,,,6.374e-05
120,,3.735e-05,5.839e-05
