mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,0.004201,,
9.25,0.004352,,
9.5,0.005475,,
9.75,0.007416,,
10,0.009719,,
10.25,0.01109,,
10.5,0.01002,,
10.75,0.01421,,
11,0.01283,,
11.25,0.01028,,
11.5,0.01358,,
11.75,0.009897,,
12,0.0172,,
12.25,,0.0259,0.02615
12.5,,0.02735,0.02788
12.75,,0.02666,0.02741
13,,0.0276,0.0297
13.1,,0.0275,0.02836
13.2,,0.02771,0.02867
13.3,,0.02791,0.02866
13.4,,0.02822,0.02926
13.5,,0.0291,0.03016
13.6,,0.03234,0.03408
13.7,,0.03159,0.03294
13.8,,0.03125,0.0331
13.9,,0.03173,0.03287
14,,0.03083,0.03198
14.1,,0.03141,0.03204
14.2,,0.02978,0.03059
14.3,,0.03125,0.03318
14.4,,0.03187,0.03248
14.5,,0.03361,0.03371
14.6,,0.03199,0.03242
14.7,,0.03374,0.03536
14.8,,0.03184,0.03205
14.9,,0.03231,0.03331
15.2,,0.07639,0.07949
15.7,,0.07702,0.08093
15.8,,0.07099,0.08246
15.9,,,0.0631
16,,0.08132,0.09024
16.1,,0.0785,0.08257
16.2,,0.08002,0.08817
16.3,,0.08477,0.09229
16.4,,0.08066,0.08983
16.5,,0.08345,0.0934
16.6,,0.09145,0.09947
16.7,,0.09315,0.1011
16.8,,0.09089,0.09991
16.9,,0.09093,0.1006
17,,0.0933,0.1032
17.1,,0.09297,0.1029
17.3,,0.03928,0.04951
17.4,,0.04303,0.05306
17.5,,0.04956,0.05981
17.6,,0.04668,0.05702
17.7,,,0.05114
17.9,,0.04014,0.04107
18,,,0.0317
18.1,,0.03908,0.03979
18.2,,0.03951,0.04056
18.3,,0.0393,0.04014
18.4,,0.0391,0.04021
18.5,,0.02799,0.03608
18.7,,,0.03358
18.8,,,0.05419
18.9,,,0.04197
19,,,0.04701
19.1,,,0.04705
19.2,,0.05574,0.06524
19.3,,0.06175,0.06625
19.4,,,0.02347
19.7,,0.314,0.3139
19.8,,0.2544,0.2526
20.1,,0.1622,0.1758
20.2,,0.2739,0.2738
20.3,,0.2342,0.2415
20.4,,0.3213,0.3223
20.5,,0.2518,0.2518
20.6,,,0.04138
20.8,,0.02722,0.02721
21,,0.05906,0.06369
21.1,,0.05739,0.06074
21.2,,0.03065,0.03132
21.5,,0.1112,0.1204
21.6,,0.1024,0.1185
21.7,,,0.09808
25.2,,0.2759,0.2719
25.3,,,0.2276
25.4,,0.2542,0.2676
25.5,,0.2721,0.2671
25.6,,0.1977,0.1978
25.7,,0.2678,0.2669
25.8,,0.2892,0.2884
25.9,,0.3022,0.3011
26,,0.2692,0.2693
26.1,,0.2446,0.258
26.2,,0.2424,0.2548
26.3,,0.1993,0.2148
26.4,,0.1872,0.1956
26.5,,0.1915,0.1968
26.6,,,0.1802
26.7,,,0.1781
26.8,,,0.1727
26.9,,,0.1716
27,,0.1491,0.1689
27.1,,0.1463,0.1649
27.2,,0.1587,0.1732
27.3,,0.1417,0.1647
27.4,,,0.15
29,,,0.04515
29.1,,,0.0422
29.2,,,0.03502
29.6,,,0.05209
60,,0.1039,0.1172
80,,,0.0436
100,,,0.03651
120,,0.03358,0.03676
