mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,0.0004668,,
9.25,0.0004705,,
9.5,0.0005764,,
9.75,0.0007606,,
10,0.0009719,,
10.25,0.001082,,
10.5,0.0009545,,
10.75,0.001322,,
11,0.001166,,
11.25,0.000914,,
11.5,0.001181,,
11.75,0.0008423,,
12,0.001433,,
12.25,,0.002115,0.002135
12.5,,0.002188,0.00223
12.75,,0.002091,0.00215
13,,0.002123,0.002285
13.1,,0.002099,0.002165
13.2,,0.002099,0.002172
13.3,,0.002098,0.002155
13.4,,0.002106,0.002184
13.5,,0.002156,0.002234
13.6,,0.002378,0.002506
13.7,,0.002306,0.002404
13.8,,0.002265,0.002399
13.9,,0.002283,0.002365
14,,0.002202,0.002284
14.1,,0.002228,0.002273
14.2,,0.002097,0.002154
14.3,,0.002185,0.00232
14.4,,0.002213,0.002255
14.5,,0.002318,0.002325
14.6,,0.002191,0.002221
14.7,,0.002295,0.002405
14.8,,0.002151,0.002165
14.9,,0.002169,0.002236
15.2,,0.005026,0.00523
15.7,,0.004906,0.005155
15.8,,0.004493,0.005219
15.9,,,0.003969
16,,0.005082,0.00564
16.1,,0.004876,0.005129
16.2,,0.004939,0.005443
16.3,,0.005201,0.005662
16.4,,0.004918,0.005477
16.5,,0.005058,0.005661
16.6,,0.005509,0.005992
16.7,,0.005578,0.006056
16.8,,0.00541,0.005947
16.9,,0.005381,0.00595
17,,0.005488,0.006072
17.1,,0.005437,0.006018
17.3,,0.00227,0.002862
17.4,,0.002473,0.00305
17.5,,0.002832,0.003418
17.6,,0.002652,0.00324
17.7,,,0.00289
17.9,,0.002243,0.002295
18,,,0.001761
18.1,,0.002159,0.002199
18.2,,0.002171,0.002229
18.3,,0.002147,0.002194
18.4,,0.002125,0.002185
18.5,,0.001513,0.00195
18.7,,,0.001796
18.8,,,0.002883
18.9,,,0.002221
19,,,0.002474
19.1,,,0.002463
19.2,,0.002903,0.003398
19.3,,0.0032,0.003433
19.4,,,0.00121
19.7,,0.01594,0.01593
19.8,,0.01285,0.01276
20.1,,0.008071,0.008745
20.2,,0.01356,0.01355
20.3,,0.01154,0.01189
20.4,,0.01575,0.0158
20.5,,0.01228,0.01228
20.6,,,0.002009
20.8,,0.001309,0.001308
21,,0.002812,0.003033
21.1,,0.00272,0.002879
21.2,,0.001446,0.001477
21.5,,0.005172,0.005598
21.6,,0.004742,0.005486
21.7,,,0.00452
25.2,,0.01095,0.01079
25.3,,,0.008994
25.4,,0.01001,0.01053
25.5,,0.01067,0.01047
25.6,,0.007724,0.007726
25.7,,0.01042,0.01039
25.8,,0.01121,0.01118
25.9,,0.01167,0.01162
26,,0.01035,0.01036
26.1,,0.009372,0.009884
26.2,,0.009252,0.009724
26.3,,0.007577,0.008166
26.4,,0.007091,0.00741
26.5,,0.007225,0.007425
26.6,,,0.006773
26.7,,,0.006671
26.8,,,0.006443
26.9,,,0.006381
27,,0.005523,0.006255
27.1,,0.005397,0.006084
27.2,,0.005835,0.006367
27.3,,0.005189,0.006034
27.4,,,0.005475
29,,,0.001557
29.1,,,0.00145
29.2,,,0.001199
29.6,,,0.00176
60,,0.001731,0.001954
80,,,0.0005451
100,,,0.0003651
120,,0.0002798,0.0003063
