mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,0.008477,,
9.25,0.008515,,
9.5,0.01051,,
9.75,0.01271,,
10,0.01412,,
10.25,0.01654,,
10.5,0.01788,,
10.75,0.02477,,
11,0.02183,,
11.25,0.01882,,
11.5,0.02416,,
11.75,0.01849,,
12,0.03124,,
12.25,,0.04515,0.04529
12.5,,0.04756,0.0485
12.75,,0.04675,0.04813
13,,0.0479,0.05131
13.1,,0.05325,0.05459
13.2,,0.05437,0.05601
13.3,,0.05411,0.05545
13.4,,0.05479,0.05623
13.5,,0.05706,0.05839
13.6,,0.06091,0.06306
13.7,,0.05898,0.06075
13.8,,0.06044,0.06254
13.9,,0.0597,0.06124
14,,0.0596,0.06147
14.1,,0.06021,0.06114
14.2,,0.06036,0.0614
14.3,,0.0609,0.06337
14.4,,0.06106,0.06175
14.5,,0.06199,0.06221
14.6,,0.06131,0.06203
14.7,,0.06091,0.0633
14.8,,0.06176,0.06208
14.9,,0.06255,0.06357
15.2,,0.08976,0.09381
15.7,,0.09247,0.09757
15.8,,0.08522,0.1013
15.9,,,0.08145
16,,0.09776,0.1123
16.1,,0.09737,0.09972
16.2,,0.09999,0.1144
16.3,,0.1024,0.1154
16.4,,0.1012,0.1164
16.5,,0.1024,0.1183
16.6,,0.1071,0.1202
16.7,,0.108,0.121
16.8,,0.1091,0.1242
16.9,,0.109,0.1241
17,,0.1108,0.126
17.1,,0.112,0.1281
17.3,,0.07572,0.09055
17.4,,0.07857,0.09346
17.5,,0.08155,0.09673
17.6,,0.08024,0.09558
17.7,,,0.08652
17.9,,0.1077,0.1094
18,,,0.06551
18.1,,0.1028,0.1039
18.2,,0.1068,0.1087
18.3,,0.1004,0.1019
18.4,,0.09959,0.1014
18.5,,0.07392,0.08759
18.7,,,0.0919
18.8,,,0.07938
18.9,,,0.0687
19,,,0.06971
19.1,,,0.07144
19.2,,0.08307,0.09665
19.3,,0.07972,0.08715
19.4,,,0.0481
19.7,,0.3765,0.3765
19.8,,0.392,0.3909
20.1,,0.2423,0.2608
20.2,,0.3846,0.3856
20.3,,0.2492,0.2605
20.4,,0.3952,0.3951
20.5,,0.3288,0.3297
20.6,,,0.07658
20.8,,0.05885,0.05849
21,,0.08224,0.09141
21.1,,0.08184,0.08893
21.2,,0.06021,0.06052
21.5,,0.1213,0.1318
21.6,,0.1183,0.1369
21.7,,,0.1217
25.2,,0.4336,0.4285
25.3,,,0.3477
25.4,,0.41,0.4254
25.5,,0.4271,0.421
25.6,,0.4272,0.4272
25.7,,0.5009,0.5007
25.8,,0.5011,0.4999
25.9,,0.371,0.368
26,,0.3382,0.3383
26.1,,0.3137,0.3292
26.2,,0.3138,0.3272
26.3,,0.2754,0.2952
26.4,,0.2612,0.2717
26.5,,0.2664,0.2748
26.6,,,0.2498
26.7,,,0.2488
26.8,,,0.2419
26.9,,,0.2409
27,,0.2069,0.2312
27.1,,0.2042,0.2284
27.2,,0.219,0.2382
27.3,,0.198,0.2298
27.4,,,0.1929
29,,,0.109
29.1,,,0.08877
29.2,,,0.09629
29.6,,,0.09329
60,,0.1071,0.1193
80,,,0.07569
100,,,0.09148
120,,0.08612,0.09714
