mass,S16 (Z9.6),S16 (W18),S16 (N20)
9,0.0009419,,
9.25,0.0009205,,
9.5,0.001106,,
9.75,0.001304,,
10,0.001412,,
10.25,0.001613,,
10.5,0.001702,,
10.75,0.002304,,
11,0.001985,,
11.25,0.001673,,
11.5,0.002101,,
11.75,0.001574,,
12,0.002603,,
12.25,,0.003686,0.003697
12.5,,0.003805,0.00388
12.75,,0.003667,0.003775
13,,0.003685,0.003947
13.1,,0.004065,0.004167
13.2,,0.004119,0.004243
13.3,,0.004068,0.004169
13.4,,0.004089,0.004196
13.5,,0.004227,0.004325
13.6,,0.004479,0.004637
13.7,,0.004305,0.004434
13.8,,0.00438,0.004532
13.9,,0.004295,0.004406
14,,0.004257,0.004391
14.1,,0.00427,0.004336
14.2,,0.004251,0.004324
14.3,,0.004259,0.004431
14.4,,0.00424,0.004288
14.5,,0.004275,0.00429
14.6,,0.004199,0.004249
14.7,,0.004144,0.004306
14.8,,0.004173,0.004195
14.9,,0.004198,0.004266
15.2,,0.005905,0.006172
15.7,,0.00589,0.006215
15.8,,0.005394,0.006413
15.9,,,0.005123
16,,0.00611,0.007018
16.1,,0.006048,0.006194
16.2,,0.006172,0.007064
16.3,,0.00628,0.00708
16.4,,0.006173,0.007097
16.5,,0.006206,0.007168
16.6,,0.006452,0.00724
16.7,,0.006465,0.007246
16.8,,0.006496,0.007396
16.9,,0.00645,0.007346
17,,0.006516,0.007409
17.1,,0.006547,0.007493
17.3,,0.004377,0.005234
17.4,,0.004516,0.005371
17.5,,0.00466,0.005527
17.6,,0.004559,0.005431
17.7,,,0.004888
17.9,,0.006016,0.006114
18,,,0.003639
18.1,,0.005678,0.005741
18.2,,0.005866,0.005972
18.3,,0.005486,0.005567
18.4,,0.005413,0.005509
18.5,,0.003996,0.004735
18.7,,,0.004914
18.8,,,0.004222
18.9,,,0.003635
19,,,0.003669
19.1,,,0.00374
19.2,,0.004327,0.005034
19.3,,0.004131,0.004516
19.4,,,0.002479
19.7,,0.01911,0.01911
19.8,,0.0198,0.01974
20.1,,0.01205,0.01298
20.2,,0.01904,0.01909
20.3,,0.01227,0.01283
20.4,,0.01937,0.01937
20.5,,0.01604,0.01608
20.6,,,0.003717
20.8,,0.002829,0.002812
21,,0.003916,0.004353
21.1,,0.003879,0.004215
21.2,,0.00284,0.002855
21.5,,0.005643,0.006133
21.6,,0.005475,0.006339
21.7,,,0.005607
25.2,,0.0172,0.017
25.3,,,0.01374
25.4,,0.01614,0.01675
25.5,,0.01675,0.01651
25.6,,0.01669,0.01669
25.7,,0.01949,0.01948
25.8,,0.01942,0.01938
25.9,,0.01433,0.01421
26,,0.01301,0.01301
26.1,,0.01202,0.01261
26.2,,0.01198,0.01249
26.3,,0.01047,0.01123
26.4,,0.009895,0.01029
26.5,,0.01005,0.01037
26.6,,,0.00939
26.7,,,0.009317
26.8,,,0.009026
26.9,,,0.008955
27,,0.007664,0.008562
27.1,,0.007535,0.008427
27.2,,0.008053,0.008756
27.3,,0.007254,0.008416
27.4,,,0.007042
29,,,0.003759
29.1,,,0.003051
29.2,,,0.003298
29.6,,,0.003152
60,,0.001785,0.001988
80,,,0.0009461
100,,,0.0009148
120,,0.0007177,0.0008095
