#energy mass_cut time_inj mass_inj cc cc_init
1.03709653E+00 1.66390402E+00 5.75676487E-01 1.56652507E-02 2.32186605E-03 8.32776120E-05
7.63597818E-01 1.05042788E+00 1.16345034E-01 4.86737246E-02 1.03252493E-03 8.43148875E-05
2.28463721E+00 1.82376594E+00 1.13990877E-02 3.90615147E-01 9.73038264E-04 8.15426251E-05
8.50250574E-01 1.51891474E+00 8.22617717E-01 1.51240573E-01 2.60087241E-03 8.42304294E-05
4.05397686E+00 1.71963226E+00 3.33240706E-03 2.07430760E-02 9.78072896E-04 8.27329513E-05
1.03187297E+00 1.04357796E+00 6.33143184E-01 1.51749095E-01 2.56546574E-03 8.42531553E-05
1.02759227E+00 1.62203236E+00 6.34531490E-02 7.54410420E-02 1.05313442E-03 8.36913678E-05
3.61266514E+00 1.83989145E+00 2.51332286E-02 2.96036186E-02 8.47034053E-04 8.15387367E-05
1.46593115E+00 1.76226332E+00 7.48470925E-03 1.15051866E-02 8.32957018E-04 8.23152329E-05
8.00526538E-01 1.18437290E+00 1.10241226E-01 2.72622456E-02 1.02291047E-03 8.43167604E-05
6.33423903E-01 1.16511587E+00 1.21158374E-01 6.58579939E-02 1.10997666E-03 8.43069589E-05
3.66416254E+00 1.20515316E+00 6.13533654E-03 4.74602609E-01 9.74309191E-04 8.40665409E-05
1.17000441E+00 1.89752791E+00 7.26095565E-02 1.40017658E-01 3.77102148E-04 8.10010923E-05
2.37111230E+00 1.95447002E+00 1.71624043E-01 2.86151285E-02 3.01339407E-04 8.04296427E-05
4.13313377E+00 1.94108712E+00 2.99754176E-03 3.06126937E-01 9.96252845E-04 8.05411843E-05
1.43353457E+00 1.37672186E+00 6.24862852E-02 2.80750570E-02 1.02263588E-03 8.43168617E-05
7.68905263E-01 1.93306779E+00 7.88009510E-01 3.39500745E-01 1.97697187E-04 8.00244975E-05
1.19118824E+00 1.46539004E+00 1.18865795E-03 2.76938770E-01 1.02883977E-03 8.35318071E-05
2.03819119E+00 1.91281764E+00 1.40930224E-03 1.39338301E-02 7.99937173E-04 8.08226768E-05
9.39191833E-01 1.86069723E+00 1.79964213E-02 3.21792052E-02 8.27009049E-04 8.13435946E-05
1.05310506E+00 1.82156824E+00 1.33221524E-03 2.13700442E-01 9.46819111E-04 8.15773144E-05
6.57916195E-01 1.29204599E+00 3.88490093E-01 1.32816434E-01 2.80003697E-03 8.41363368E-05
1.68955184E+00 1.34623794E+00 3.74442059E-03 5.19326377E-02 9.56967866E-04 8.43157692E-05
1.08860800E+00 1.59471840E+00 1.52343552E-03 7.83198463E-02 1.01220221E-03 8.39673928E-05
2.07534078E+00 1.49642917E+00 2.12844866E-03 5.06332617E-02 9.45231463E-04 8.43162955E-05
1.42565131E+00 1.05629023E+00 2.27323575E-03 3.61315563E-01 9.01690740E-04 8.33031285E-05
6.05280509E-01 1.52114092E+00 2.01157341E-02 1.12888250E-01 1.04577290E-03 8.41709793E-05
1.32471972E+00 1.06466332E+00 2.51595501E-03 4.17307793E-01 1.02687015E-03 8.28212278E-05
3.68418338E+00 1.93792580E+00 8.25203287E-01 2.35862644E-02 2.23963455E-04 8.05607344E-05
1.68222829E+00 1.08035295E+00 2.53408926E-02 1.78202309E-02 9.86246056E-04 8.43169259E-05
3.72229691E+00 1.63557101E+00 1.17794691E-02 4.38273980E-01 9.73786709E-04 8.33565482E-05
9.94693896E-01 1.19194434E+00 3.27171324E-01 3.21452571E-02 2.80743257E-03 8.43168288E-05
3.54389728E+00 1.63933412E+00 5.17321691E-03 1.30973158E-01 1.04354276E-03 8.35222174E-05
2.27722711E+00 1.91812138E+00 1.36149251E-01 2.58226188E-02 3.69805016E-04 8.07573690E-05
7.61953195E-01 1.78908028E+00 5.40316066E-01 8.48896266E-02 1.18274500E-03 8.20898764E-05
3.48724934E+00 1.30217193E+00 7.31528543E-01 1.25696674E-02 2.55181387E-03 8.43169399E-05
1.10521240E+00 1.26195304E+00 1.77503263E-03 1.81088708E-01 1.52223499E-03 8.40701055E-05
1.89367623E+00 1.94079571E+00 2.28106027E-01 4.05819822E-01 2.21574710E-04 8.04211585E-05
3.16375347E+00 1.30246951E+00 2.71549041E-01 7.91630883E-02 3.16316381E-03 8.43167663E-05
1.38421712E+00 1.42468127E+00 6.16296551E-02 2.48659378E-02 1.02078907E-03 8.43168867E-05
2.99389870E+00 1.91802369E+00 4.65074819E-01 1.43700547E-02 2.28117146E-04 8.07573702E-05
7.28726066E-01 1.97445943E+00 2.93924815E-03 3.91550383E-01 1.83649428E-04 7.94119335E-05
1.43461052E+00 1.84528058E+00 2.15114451E-02 2.06330513E-01 1.14522751E-03 8.14231769E-05
