#energy mass_cut time_inj mass_inj cc cc_init
1.03709653E+00 1.66390402E+00 5.75676487E-01 1.56652507E-02 5.13040139E-33 8.46574782E-99
7.63597818E-01 1.05042788E+00 1.16345034E-01 4.86737246E-02 1.43948856E-35 8.57119409E-99
2.28463721E+00 1.82376594E+00 1.13990877E-02 3.90615147E-01 1.28434608E-27 8.28937436E-99
8.50250574E-01 1.51891474E+00 8.22617717E-01 1.51240573E-01 2.90827158E-35 8.56260834E-99
4.05397686E+00 1.71963226E+00 3.33240706E-03 2.07430760E-02 9.44578837E-16 8.41037928E-99
1.03187297E+00 1.04357796E+00 6.33143184E-01 1.51749095E-01 2.20716838E-33 8.56491858E-99
1.02759227E+00 1.62203236E+00 6.34531490E-02 7.54410420E-02 5.57756408E-28 8.50780898E-99
3.61266514E+00 1.83989145E+00 2.51332286E-02 2.96036186E-02 1.25029031E-16 8.28897907E-99
1.46593115E+00 1.76226332E+00 7.48470925E-03 1.15051866E-02 3.44546883E-23 8.36791531E-99
8.00526538E-01 1.18437290E+00 1.10241226E-01 2.72622456E-02 5.96691220E-35 8.57138448E-99
6.33423903E-01 1.16511587E+00 1.21158374E-01 6.58579939E-02 1.36658944E-37 8.57038809E-99
3.66416254E+00 1.20515316E+00 6.13533654E-03 4.74602609E-01 1.61866853E-16 8.54594793E-99
1.17000441E+00 1.89752791E+00 7.26095565E-02 1.40017658E-01 5.05228639E-33 8.23432378E-99
2.37111230E+00 1.95447002E+00 1.71624043E-01 2.86151285E-02 7.17759081E-27 8.17623196E-99
4.13313377E+00 1.94108712E+00 2.99754176E-03 3.06126937E-01 1.10773724E-23 8.18757094E-99
1.43353457E+00 1.37672186E+00 6.24862852E-02 2.80750570E-02 3.56021322E-23 8.57139478E-99
7.68905263E-01 1.93306779E+00 7.88009510E-01 3.39500745E-01 3.11015475E-39 8.13504614E-99
1.19118824E+00 1.46539004E+00 1.18865795E-03 2.76938770E-01 1.25203515E-25 8.49158853E-99
2.03819119E+00 1.91281764E+00 1.40930224E-03 1.39338301E-02 1.47602422E-27 8.21618661E-99
