#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.93148783E-05 7.09866643E-100 2.32052381E-05 7.18750744E-99 4.11705375E-05 1.82680375E-99
12 2.66445860E-05 8.75960607E-100 2.71523813E-05 7.61905068E-99 7.02437268E-05 2.16357052E-99
13 3.51098237E-05 1.07298574E-99 3.07133579E-05 8.02174168E-99 5.03173379E-05 2.54396355E-99
14 4.45584485E-05 1.29949309E-99 3.42348255E-05 8.39807501E-99 7.52846524E-05 2.77223864E-99
15 5.50064381E-05 1.55550801E-99 3.75383629E-05 8.74620705E-99 6.37936789E-05 3.17275405E-99
16 6.33654109E-05 1.79456973E-99 4.54819218E-05 9.14655215E-99 9.34584666E-05 3.49407386E-99
17 7.85852081E-05 2.14459495E-99 4.73292955E-05 9.43651509E-99 1.46385844E-04 3.86423242E-99
18 9.06054876E-05 2.45257377E-99 6.00121144E-05 9.88298393E-99 1.59881107E-04 4.10226105E-99
19 9.95349903E-05 2.73496214E-99 7.73695340E-05 1.03769915E-98 8.90373791E-05 4.35374529E-99
20 5.35230152E-05 2.11013489E-99 9.98624633E-05 1.09287532E-98 7.83069678E-05 5.49885516E-99
21 6.50857372E-05 2.58615079E-99 1.14529502E-04 1.11755483E-98 7.83958064E-05 5.70332139E-99
22 2.33852477E-05 2.45207030E-99 1.05424748E-04 1.03862290E-98 8.88059953E-05 7.48585472E-99
23 2.91143840E-05 2.72168790E-99 1.15717991E-04 1.08963776E-98 1.09885646E-04 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.55951016E-04 5.41751911E-99 1.17875326E-04 1.14196209E-98 9.08024718E-05 7.41740831E-99
27 5.79494288E-05 4.85670498E-99 1.12905563E-04 1.01555349E-98 2.03767872E-04 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.66960331E-04 7.56722468E-99 1.20011908E-04 1.04713238E-98 2.14364686E-05 1.04959921E-98
31 1.01865155E-04 6.81367439E-99 1.22567240E-04 1.06773913E-98 5.50455784E-05 1.18150622E-98
32 2.58746581E-04 9.40225550E-99 1.20498191E-04 1.10294432E-98 1.53345143E-04 9.70028696E-99
33 2.77711572E-04 1.01676048E-98 1.12644724E-04 1.10384737E-98 2.06903942E-04 9.91357055E-99
34 2.91919301E-04 1.08716292E-98 1.06171051E-04 1.06011313E-98 9.69515474E-05 1.07237028E-98
35 2.94453886E-04 1.17012532E-98 1.20228307E-04 1.10228789E-98 9.67478352E-05 1.04790556E-98
36 2.93323528E-04 1.23434934E-98 1.52226995E-04 1.11335896E-98 7.71204021E-05 1.07622416E-98
37 3.16783400E-04 1.36370997E-98 7.29746332E-05 1.04608066E-98 7.38324145E-05 1.11836019E-98
38 3.22828280E-04 1.43409828E-98 7.50613513E-05 1.03698631E-98 1.75588450E-05 1.17100176E-98
39 3.30371410E-04 1.51360687E-98 7.55825522E-05 1.02281929E-98 1.89686760E-05 1.20966291E-98
40 3.38258098E-04 1.58592756E-98 7.59596051E-05 1.00768488E-98 1.93037655E-05 1.24534330E-98
41 3.45479206E-04 1.66202907E-98 7.64172947E-05 9.91671168E-99 1.94327408E-05 1.27759928E-98
42 3.53518976E-04 1.74419302E-98 7.66639266E-05 9.73859850E-99 1.67378297E-05 1.34790534E-98
43 3.61396172E-04 1.82477564E-98 7.64837626E-05 9.51666572E-99 5.74053801E-05 1.33572075E-98
44 3.77398787E-04 1.96642076E-98 7.49887367E-05 9.09263158E-99 1.75853876E-05 1.38867220E-98
45 3.85500143E-04 2.04704505E-98 7.58236630E-05 8.87899365E-99 2.32082430E-05 1.44306289E-98
