#intial_mass winds winds_init cc cc_init
11 1.19494322E-06 1.65376070E-99 6.33258019E-05 7.90428047E-99
12 2.21067153E-06 2.25308803E-99 5.67236937E-05 8.21550693E-99
13 3.69338168E-06 2.98106037E-99 8.84512439E-05 8.54793643E-99
14 5.78229266E-06 3.84895528E-99 6.80429177E-05 8.52400674E-99
15 8.59282832E-06 4.85877415E-99 1.49202410E-04 8.37157635E-99
16 1.21772190E-05 6.02513216E-99 1.72528071E-04 8.32485659E-99
17 1.79276802E-05 7.00605258E-99 7.86952302E-05 8.57081859E-99
18 2.48467584E-05 7.98845017E-99 7.26402274E-05 8.53827826E-99
19 3.40140912E-05 8.52504413E-99 6.12012373E-05 9.09597247E-99
20 4.46087241E-05 8.50676209E-99 1.11813840E-04 9.94166227E-99
21 5.61084308E-05 9.02532263E-99 5.81952968E-05 1.03976222E-98
22 6.65415061E-05 1.01876132E-98 6.52445315E-05 1.03137424E-98
23 7.73173409E-05 1.20593456E-98 1.40324269E-04 8.85676184E-99
24 8.64474545E-05 1.27970239E-98 3.73327686E-04 9.37920360E-99
25 7.66849499E-05 1.24312264E-98 4.39709308E-04 1.08065927E-98
26 1.08735361E-04 1.41854608E-98 1.16543881E-04 9.94735366E-99
27 1.20686243E-04 1.47058019E-98 1.00848100E-04 1.04573029E-98
28 1.42094180E-04 1.52378169E-98 1.37724543E-04 1.09300844E-98
29 1.49762738E-04 1.57525359E-98 7.95622029E-05 1.15071127E-98
30 1.51298785E-04 1.58792730E-98 7.74562436E-05 1.23804182E-98
31 1.59906875E-04 1.64584620E-98 8.37459431E-05 1.27236576E-98
32 1.75060753E-04 1.69835643E-98 8.18086180E-05 1.31540008E-98
33 2.39965094E-04 1.85937549E-98 1.26807650E-04 1.24582787E-98
34 2.48660564E-04 1.89227822E-98 9.58715533E-05 1.32678635E-98
35 2.82409965E-04 1.98998935E-98 3.08449485E-05 1.33883361E-98
36 3.32540265E-04 2.10776108E-98 9.37669388E-05 1.29661790E-98
37 3.33813539E-04 2.14341539E-98 2.64753720E-05 1.36348383E-98
38 3.44424566E-04 2.20323456E-98 2.31021619E-05 1.39974515E-98
39 3.55135751E-04 2.26893308E-98 2.34267341E-05 1.43150355E-98
40 3.65701316E-04 2.33107300E-98 8.59454227E-05 1.47631259E-98
41 3.76013032E-04 2.39799271E-98 3.12719927E-05 1.55716059E-98
42 3.85517711E-04 2.46872848E-98 3.18625360E-05 1.57021011E-98
43 3.95618759E-04 2.53654180E-98 2.95111735E-05 1.60542609E-98
44 4.04747071E-04 2.60710283E-98 1.40247798E-05 1.66451914E-98
45 4.14419400E-04 2.67357562E-98 2.51412651E-05 1.69039596E-98
