#int_mass winds winds_init rlof rlof_init cc cc_init
11 2.24861186E-99 7.09866643E-100 7.18750744E-99 7.18750744E-99 2.70942122E-13 1.82680375E-99
12 3.49854843E-99 8.75960607E-100 7.61905068E-99 7.61905068E-99 2.77965055E-13 2.16357052E-99
13 5.61677157E-99 1.07298574E-99 8.02174168E-99 8.02174168E-99 2.65676487E-12 2.54396355E-99
14 7.70445584E-99 1.29949309E-99 8.39807501E-99 8.39807501E-99 8.40519120E-13 2.77223864E-99
15 9.44215585E-99 1.55550801E-99 8.74620705E-99 8.74620705E-99 1.57580001E-10 3.17275405E-99
16 1.13618217E-98 1.79456973E-99 9.14655215E-99 9.14655215E-99 3.71031171E-10 3.49407386E-99
17 1.37014257E-98 2.14459495E-99 9.43651509E-99 9.43651509E-99 1.25455730E-10 3.86423242E-99
18 1.68884262E-98 2.45257377E-99 9.88298393E-99 9.88298393E-99 9.74653671E-11 4.10226105E-99
19 2.12911378E-98 2.73496214E-99 1.03769915E-98 1.03769915E-98 7.59856605E-11 4.35374529E-99
20 1.08848055E-98 2.11013489E-99 1.09287622E-98 1.09287532E-98 2.27409079E-10 5.49885516E-99
21 1.82048554E-98 2.58615079E-99 1.11755506E-98 1.11755483E-98 1.37079439E-10 5.70332139E-99
22 4.81031630E-99 2.45207030E-99 1.03989886E-98 1.03862290E-98 2.12806426E-97 7.48585472E-99
23 2.74534789E-99 2.72168790E-99 1.08963815E-98 1.08963776E-98 3.16543271E-28 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 3.82124354E-98 5.41751911E-99 1.14196209E-98 1.14196209E-98 4.52524791E-11 7.41740831E-99
27 6.20063506E-99 4.85670498E-99 1.01555349E-98 1.01555349E-98 9.97672055E-80 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 3.76639176E-98 7.56722468E-99 1.04713238E-98 1.04713238E-98 8.08364593E-17 1.04959921E-98
31 1.28139981E-98 6.81367439E-99 1.06773913E-98 1.06773913E-98 9.95361498E-19 1.18150622E-98
32 5.95893343E-98 9.40225550E-99 1.10294432E-98 1.10294432E-98 1.76845426E-08 9.70028696E-99
33 6.28564356E-98 1.01676048E-98 1.10384737E-98 1.10384737E-98 1.14847639E-08 9.91357055E-99
34 5.91606941E-98 1.08716292E-98 1.06011313E-98 1.06011313E-98 9.03449324E-09 1.07237028E-98
35 7.31380257E-98 1.17012532E-98 1.10228789E-98 1.10228789E-98 8.27509355E-09 1.04790556E-98
36 9.11042124E-98 1.23434934E-98 1.11335896E-98 1.11335896E-98 7.98091293E-09 1.07622416E-98
37 6.55252647E-98 1.36370997E-98 1.04608066E-98 1.04608066E-98 6.22143551E-09 1.11836019E-98
38 7.07222011E-98 1.43409828E-98 1.03698631E-98 1.03698631E-98 8.33521382E-13 1.17100176E-98
39 7.08937778E-98 1.51360687E-98 1.02281929E-98 1.02281929E-98 9.75378032E-13 1.20966291E-98
40 6.73222197E-98 1.58592756E-98 1.00768488E-98 1.00768488E-98 1.06192195E-12 1.24534330E-98
41 7.12973238E-98 1.66202907E-98 9.91671168E-99 9.91671168E-99 1.13794469E-12 1.27759928E-98
42 7.64299519E-98 1.74419302E-98 9.73859850E-99 9.73859850E-99 3.54161007E-13 1.34790534E-98
43 7.07768780E-98 1.82477564E-98 9.51666572E-99 9.51666572E-99 2.80411511E-10 1.33572075E-98
44 7.92041083E-98 1.96642076E-98 9.09263158E-99 9.09263158E-99 5.67819260E-13 1.38867220E-98
45 7.47594121E-98 2.04704505E-98 8.87899365E-99 8.87899365E-99 3.33815100E-12 1.44306289E-98
