#intial_mass winds winds_init cc cc_init
11 7.57396262E-99 1.65376070E-99 3.69208279E-05 7.90428047E-99
12 1.01357189E-98 2.25308803E-99 1.30588689E-05 8.21550693E-99
13 1.39930833E-98 2.98106037E-99 3.30282428E-05 8.54793643E-99
14 1.69270896E-98 3.84895528E-99 1.90990657E-05 8.52400674E-99
15 1.81607956E-98 4.85877415E-99 1.11928776E-05 8.37157635E-99
16 2.61481600E-98 6.02513216E-99 2.11039582E-05 8.32485659E-99
17 2.66302676E-98 7.00605258E-99 1.58925549E-05 8.57081859E-99
18 3.02595445E-98 7.98845017E-99 1.08303721E-04 8.53827826E-99
19 3.18832697E-98 8.52504413E-99 1.39246356E-05 9.09597247E-99
20 4.54388174E-98 8.50676209E-99 2.06771444E-05 9.94166227E-99
21 4.31756834E-98 9.02532263E-99 7.55436952E-06 1.03976222E-98
22 4.18871835E-98 1.01876132E-98 1.01256964E-05 1.03137424E-98
23 7.97357698E-98 1.20593456E-98 1.60830579E-05 8.85676184E-99
24 5.54129852E-98 1.27970239E-98 8.80265101E-05 9.37920360E-99
25 4.97729400E-98 1.24312264E-98 3.87597384E-05 1.08065927E-98
26 5.64813548E-77 1.41854608E-98 3.90361910E-05 9.94735366E-99
27 7.97013657E-98 1.47058019E-98 3.98231606E-05 1.04573029E-98
28 5.96685168E-98 1.52378169E-98 4.05969854E-05 1.09300844E-98
29 5.18420691E-98 1.57525359E-98 3.92915640E-05 1.15071127E-98
30 7.20066660E-98 1.58792730E-98 1.50438866E-05 1.23804182E-98
31 5.80675331E-98 1.64584620E-98 1.27674687E-05 1.27236576E-98
32 7.77530166E-98 1.69835643E-98 1.31180412E-05 1.31540008E-98
33 5.11989495E-41 1.85937549E-98 2.92921694E-05 1.24582787E-98
34 5.79667363E-40 1.89227822E-98 3.49645878E-05 1.32678635E-98
35 1.72100240E-35 1.98998935E-98 1.40711659E-05 1.33883361E-98
36 6.44649273E-35 2.10776108E-98 2.21572505E-05 1.29661790E-98
37 3.76570904E-44 2.14341539E-98 1.33356308E-05 1.36348383E-98
38 1.38589950E-43 2.20323456E-98 1.13051599E-05 1.39974515E-98
39 1.48610339E-41 2.26893308E-98 1.20714756E-05 1.43150355E-98
40 8.06661453E-35 2.33107300E-98 2.58091745E-05 1.47631259E-98
41 3.69635753E-41 2.39799271E-98 6.34949601E-05 1.55716059E-98
42 4.09885083E-39 2.46872848E-98 1.95197694E-04 1.57021011E-98
43 6.14680939E-39 2.53654180E-98 5.18384436E-05 1.60542609E-98
44 7.49236552E-39 2.60710283E-98 1.60800107E-04 1.66451914E-98
45 9.11393643E-39 2.67357562E-98 1.58286024E-04 1.69039596E-98
