#int_mass winds winds_init rlof rlof_init cc cc_init
11 2.01065423E-10 5.29032141E-10 9.80845230E-10 5.35653067E-09 5.04236254E-24 1.36143585E-09
12 2.29565015E-10 6.52814609E-10 9.93816767E-10 5.67814072E-09 3.78355868E-23 1.61241320E-09
13 2.66697716E-10 7.99648707E-10 9.91235201E-10 5.97824847E-09 3.23745386E-24 1.89590326E-09
14 3.13141630E-10 9.68454593E-10 9.83548256E-10 6.25871302E-09 1.57075637E-23 2.06602656E-09
15 3.68618247E-10 1.15925116E-09 9.60980464E-10 6.51816040E-09 1.19932687E-23 2.36451294E-09
16 4.33253755E-10 1.33741327E-09 9.36587979E-10 6.81651985E-09 1.58039356E-23 2.60397836E-09
17 5.07797738E-10 1.59827155E-09 8.87220208E-10 7.03261638E-09 1.90400237E-23 2.87984112E-09
18 5.92832364E-10 1.82779451E-09 8.32332056E-10 7.36534981E-09 1.05277095E-23 3.05723331E-09
19 6.88251933E-10 2.03824605E-09 7.71660213E-10 7.73351172E-09 6.41309648E-24 3.24465336E-09
20 7.93611441E-10 1.57258999E-09 6.92515821E-10 8.14471531E-09 3.85520610E-23 4.09805299E-09
21 9.10002949E-10 1.92734354E-09 6.05577778E-10 8.32864077E-09 2.29646681E-23 4.25043261E-09
22 1.03908493E-09 1.82741929E-09 5.03474824E-10 7.74039609E-09 1.39057014E-23 5.57887568E-09
23 1.17899243E-09 2.02835334E-09 3.86776799E-10 8.12058719E-09 7.42260421E-21 5.61955000E-09
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.64203174E-09 4.03743683E-09 1.02350493E-20 8.51053719E-09 1.25946492E-23 5.52786560E-09
27 1.66427249E-09 3.61948692E-09 2.19120312E-52 7.56847000E-09 3.08221028E-20 7.61197959E-09
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.72379847E-09 5.63951710E-09 8.10040809E-55 7.80381341E-09 1.70120246E-23 7.82219761E-09
31 1.75881811E-09 5.07792947E-09 5.56699373E-55 7.95738644E-09 1.45586258E-21 8.80524213E-09
32 1.79292630E-09 7.00708423E-09 5.41717463E-55 8.21975511E-09 3.31464364E-23 7.22919386E-09
33 1.82056054E-09 7.57746513E-09 3.69807322E-55 8.22648514E-09 2.20275237E-22 7.38814466E-09
34 1.83568921E-09 8.10214328E-09 2.27478260E-56 7.90055323E-09 1.25398468E-22 7.99190031E-09
35 1.85592624E-09 8.72042530E-09 4.96471019E-56 8.21486299E-09 1.34271993E-22 7.80957559E-09
36 1.87967329E-09 9.19905848E-09 2.21104911E-54 8.29737077E-09 1.49949157E-22 8.02062160E-09
37 1.89872904E-09 1.01631259E-08 2.33604428E-59 7.79597543E-09 2.02983941E-22 8.33464274E-09
38 1.92048415E-09 1.06876987E-08 1.65935169E-61 7.72819925E-09 1.08379493E-23 8.72695702E-09
39 1.95328382E-09 1.12802410E-08 1.14684461E-62 7.62261872E-09 1.01926185E-23 9.01508143E-09
40 1.94712257E-09 1.18192150E-08 1.12973934E-62 7.50982873E-09 1.16199162E-23 9.28099157E-09
41 1.99231089E-09 1.23863659E-08 1.11240057E-62 7.39048561E-09 1.15118149E-23 9.52138105E-09
42 1.99615688E-09 1.29986974E-08 1.08899205E-62 7.25774575E-09 7.41138691E-24 1.00453410E-08
43 1.99655003E-09 1.35992439E-08 1.05637511E-62 7.09234909E-09 9.53485873E-24 9.95453465E-09
44 2.05614090E-09 1.46548622E-08 9.77081318E-63 6.77633524E-09 7.22326129E-24 1.03491583E-08
45 2.09117052E-09 1.52557193E-08 9.54982299E-63 6.61712036E-09 6.70811631E-24 1.07545080E-08
