#intial_mass winds winds_init cc cc_init
11 5.52891833E-96 1.65376070E-99 1.09064679E-70 7.90428047E-99
12 5.69910284E-95 2.25308803E-99 2.40267459E-70 8.21550693E-99
13 6.20689779E-94 2.98106037E-99 4.42284284E-70 8.54793643E-99
14 1.14174699E-92 3.84895528E-99 1.83484987E-69 8.52400674E-99
15 8.92796486E-92 4.85877415E-99 6.04878404E-69 8.37157635E-99
16 3.16130567E-91 6.02513216E-99 1.54916596E-68 8.32485659E-99
17 1.19430865E-90 7.00605258E-99 3.74018238E-68 8.57081859E-99
18 3.34287974E-90 7.98845017E-99 2.53541007E-67 8.53827826E-99
19 1.20681067E-89 8.52504413E-99 3.86759928E-66 9.09597247E-99
20 1.61588420E-88 8.50676209E-99 1.49377229E-64 9.94166227E-99
21 1.28430761E-87 9.02532263E-99 9.00018612E-65 1.03976222E-98
22 8.81481824E-87 1.01876132E-98 1.90043170E-62 1.03137424E-98
23 2.35770735E-89 1.20593456E-98 1.24882927E-56 8.85676184E-99
24 2.69806684E-89 1.27970239E-98 7.43656359E-43 9.37920360E-99
25 1.35585527E-89 1.24312264E-98 2.60294430E-56 1.08065927E-98
26 6.69711511E-54 1.41854608E-98 2.59921147E-18 9.94735366E-99
27 1.90989850E-88 1.47058019E-98 3.20069237E-17 1.04573029E-98
28 1.20646649E-87 1.52378169E-98 2.87381824E-18 1.09300844E-98
29 1.96647622E-87 1.57525359E-98 9.28918180E-20 1.15071127E-98
30 1.25627824E-87 1.58792730E-98 4.72982438E-35 1.23804182E-98
31 5.41706404E-83 1.64584620E-98 6.92591614E-17 1.27236576E-98
32 3.14968349E-85 1.69835643E-98 1.38386671E-20 1.31540008E-98
33 3.60263334E-78 1.85937549E-98 1.53912890E-32 1.24582787E-98
34 7.82635713E-78 1.89227822E-98 2.30770424E-32 1.32678635E-98
35 1.50067112E-76 1.98998935E-98 2.95206601E-30 1.33883361E-98
36 3.10384590E-76 2.10776108E-98 1.02556015E-31 1.29661790E-98
37 7.45393287E-82 2.14341539E-98 3.94198384E-28 1.36348383E-98
38 6.86817754E-82 2.20323456E-98 2.22373464E-31 1.39974515E-98
39 5.42797624E-82 2.26893308E-98 1.69687540E-31 1.43150355E-98
40 7.72913725E-83 2.33107300E-98 2.56215365E-32 1.47631259E-98
41 3.00981440E-83 2.39799271E-98 6.64589691E-32 1.55716059E-98
42 1.43132310E-83 2.46872848E-98 3.33547068E-32 1.57021011E-98
43 1.33568644E-83 2.53654180E-98 5.59731370E-26 1.60542609E-98
44 3.55094696E-83 2.60710283E-98 2.65975304E-29 1.66451914E-98
45 4.09035239E-82 2.67357562E-98 1.41499450E-31 1.69039596E-98
