#int_mass winds winds_init rlof rlof_init cc cc_init
11 3.19837060E-55 7.09866643E-100 3.52706914E-87 7.18750744E-99 1.57332050E-24 1.82680375E-99
12 4.63512420E-47 8.75960607E-100 3.27748102E-87 7.61905068E-99 4.10932695E-24 2.16357052E-99
13 4.04789789E-44 1.07298574E-99 3.32616742E-44 8.02174168E-99 9.45041038E-26 2.54396355E-99
14 3.39631970E-42 1.29949309E-99 1.03642106E-77 8.39807501E-99 1.46286715E-23 2.77223864E-99
15 1.26154941E-40 1.55550801E-99 1.01764023E-78 8.74620705E-99 6.13998496E-24 3.17275405E-99
16 1.76378935E-39 1.79456973E-99 3.33747132E-42 9.14655215E-99 5.47225552E-24 3.49407386E-99
17 2.46082480E-38 2.14459495E-99 2.43198295E-76 9.43651509E-99 1.44016357E-23 3.86423242E-99
18 1.05046704E-37 2.45257377E-99 1.76165699E-66 9.88298393E-99 2.66130512E-24 4.10226105E-99
19 2.53552079E-37 2.73496214E-99 5.99745949E-42 1.03769915E-98 1.73235899E-25 4.35374529E-99
20 3.12760671E-40 2.11013489E-99 2.31942147E-55 1.09287532E-98 7.00699114E-24 5.49885516E-99
21 5.58412675E-39 2.58615079E-99 3.82329277E-57 1.11755483E-98 1.77484739E-23 5.70332139E-99
22 6.58247882E-88 2.45207030E-99 9.95626614E-53 1.03862290E-98 1.54057773E-24 7.48585472E-99
23 6.64734467E-88 2.72168790E-99 2.52891051E-71 1.08963776E-98 4.60742179E-22 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.28155017E-36 5.41751911E-99 3.94175796E-66 1.14196209E-98 6.59954238E-25 7.41740831E-99
27 1.26939620E-45 4.85670498E-99 9.58530355E-74 1.01555349E-98 1.31879434E-21 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.17287896E-38 7.56722468E-99 5.34754940E-76 1.04713238E-98 1.49759112E-24 1.04959921E-98
31 3.21011515E-52 6.81367439E-99 3.24232723E-77 1.06773913E-98 3.34389759E-22 1.18150622E-98
32 4.70957304E-36 9.40225550E-99 3.49330691E-74 1.10294432E-98 5.48510041E-25 9.70028696E-99
33 1.95198293E-33 1.01676048E-98 1.56963873E-76 1.10384737E-98 1.03285771E-24 9.91357055E-99
34 7.38483069E-34 1.08716292E-98 1.61300190E-76 1.06011313E-98 3.03781173E-24 1.07237028E-98
35 6.25709788E-33 1.17012532E-98 1.10442513E-73 1.10228789E-98 3.29244525E-24 1.04790556E-98
36 7.08028259E-33 1.23434934E-98 5.25201720E-76 1.11335896E-98 3.97676133E-24 1.07622416E-98
37 1.76077999E-32 1.36370997E-98 1.11942590E-77 1.04608066E-98 6.60548125E-24 1.11836019E-98
38 1.91588991E-32 1.43409828E-98 2.79635861E-82 1.03698631E-98 3.73922809E-25 1.17100176E-98
39 2.52839711E-32 1.51360687E-98 1.98424659E-87 1.02281929E-98 3.98949537E-25 1.20966291E-98
40 2.60477928E-32 1.58592756E-98 1.95293838E-87 1.00768488E-98 4.34937984E-25 1.24534330E-98
41 2.64257190E-32 1.66202907E-98 1.92242629E-87 9.91671168E-99 4.09105116E-25 1.27759928E-98
42 3.25140223E-32 1.74419302E-98 1.88632741E-87 9.73859850E-99 2.99684429E-25 1.34790534E-98
43 3.38697753E-32 1.82477564E-98 1.84117328E-87 9.51666572E-99 1.18898625E-25 1.33572075E-98
44 6.90833201E-32 1.96642076E-98 1.72882732E-87 9.09263158E-99 8.31975853E-13 1.38867220E-98
45 4.71368467E-32 2.04704505E-98 1.69782557E-87 8.87899365E-99 2.85222960E-25 1.44306289E-98
