#intial_mass winds winds_init cc cc_init
11 7.73591939E-11 2.38763069E-10 1.43607211E-10 1.14118703E-09
12 9.58256876E-11 3.25291448E-10 1.33952000E-10 1.18612061E-09
13 1.17109500E-10 4.30393058E-10 1.20586821E-10 1.23411540E-09
14 1.41724155E-10 5.55696104E-10 1.04995476E-10 1.23066053E-09
15 1.68135024E-10 7.01489538E-10 8.62970057E-11 1.20865326E-09
16 1.95579147E-10 8.69883441E-10 6.53911010E-11 1.20190806E-09
17 2.16278697E-10 1.01150464E-09 5.00685432E-11 1.23741903E-09
18 2.35523788E-10 1.15333910E-09 3.66711115E-11 1.23272099E-09
19 2.44159175E-10 1.23081030E-09 3.17168081E-11 1.31323855E-09
20 2.45588822E-10 1.22817082E-09 3.34711452E-11 1.43533572E-09
21 2.57353327E-10 1.30303842E-09 2.67860663E-11 1.50116530E-09
22 2.79798318E-10 1.47084509E-09 1.66097603E-11 1.48905509E-09
23 3.03018933E-10 1.74107801E-09 5.27656784E-13 1.27870232E-09
24 3.07613437E-10 1.84758092E-09 6.93166563E-14 1.35413028E-09
25 3.13394612E-10 1.79476860E-09 1.03764099E-14 1.56021076E-09
26 3.17977317E-10 2.04803765E-09 1.61852312E-18 1.43615742E-09
27 3.22465034E-10 2.12316232E-09 1.81126171E-18 1.50978176E-09
28 3.26365706E-10 2.19997243E-09 1.88237408E-19 1.57803997E-09
29 3.33315832E-10 2.27428540E-09 6.51156727E-19 1.66134892E-09
30 3.33886249E-10 2.29258318E-09 6.67261688E-18 1.78743313E-09
31 3.40728518E-10 2.37620408E-09 1.18726777E-17 1.83698860E-09
32 3.47337434E-10 2.45201615E-09 3.33988741E-18 1.89911975E-09
33 3.52576920E-10 2.68448875E-09 7.32323397E-20 1.79867430E-09
34 3.54141645E-10 2.73199234E-09 1.24116582E-19 1.91555877E-09
35 3.59537685E-10 2.87306358E-09 1.53935682E-21 1.93295211E-09
36 3.62255459E-10 3.04309750E-09 1.09098186E-17 1.87200282E-09
37 3.67817898E-10 3.09457371E-09 3.65487161E-24 1.96854106E-09
38 3.72047250E-10 3.18093812E-09 1.79168756E-24 2.02089364E-09
39 3.78402869E-10 3.27579092E-09 1.98992104E-24 2.06674509E-09
40 3.74745161E-10 3.36550593E-09 3.07003331E-21 2.13143851E-09
41 3.86332091E-10 3.46212182E-09 6.37497809E-24 2.24816349E-09
42 3.90238293E-10 3.56424716E-09 7.87910827E-24 2.26700384E-09
43 3.95399290E-10 3.66215322E-09 4.75340885E-24 2.31784720E-09
44 3.91153411E-10 3.76402628E-09 1.03515562E-24 2.40316328E-09
45 3.96238586E-10 3.85999693E-09 1.36580833E-24 2.44052316E-09
