#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.88451591E-05 2.06229997E-05 5.24869127E-04 2.08811000E-04 3.24313131E-05 5.30721841E-05
12 2.46005705E-05 2.54483508E-05 5.65712292E-04 2.21348166E-04 3.31298296E-05 6.28559104E-05
13 3.18185490E-05 3.11723121E-05 6.03265315E-04 2.33047119E-04 2.79456627E-05 7.39070641E-05
14 4.04292693E-05 3.77527890E-05 6.39523357E-04 2.43980331E-04 4.45199983E-05 8.05388972E-05
15 5.04004425E-05 4.51905179E-05 6.77359049E-04 2.54094240E-04 2.24175095E-05 9.21746448E-05
16 6.09546266E-05 5.21357234E-05 7.10189108E-04 2.65725040E-04 2.40078273E-05 1.01509607E-04
17 7.53325314E-05 6.23046335E-05 7.50229172E-04 2.74149025E-04 3.41401257E-05 1.12263430E-04
18 9.12729962E-05 7.12520141E-05 7.84624524E-04 2.87119808E-04 2.90916884E-05 1.19178622E-04
19 1.08692558E-04 7.94559429E-05 8.23013274E-04 3.01471683E-04 7.96214137E-06 1.26484726E-04
20 8.10798557E-05 6.13035021E-05 8.56094153E-04 3.17501430E-04 2.72734826E-05 1.59752384E-04
21 1.07518158E-04 7.51326852E-05 8.73106279E-04 3.24671306E-04 2.32151515E-05 1.65692523E-04
22 1.11672147E-04 7.12373872E-05 7.55462199E-04 3.01740053E-04 4.45095921E-03 2.17478566E-04
23 1.40026620E-04 7.90703003E-05 8.49161886E-04 3.16560855E-04 6.39480749E-03 2.19064153E-04
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 2.31594818E-04 1.57389414E-04 9.92502983E-04 3.31762085E-04 2.06559709E-06 2.15490065E-04
27 1.98842097E-04 1.41096678E-04 7.91077548E-04 2.95037943E-04 5.01175726E-03 2.96734056E-04
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 3.22157035E-04 2.19842521E-04 8.49767434E-04 3.04212219E-04 6.44337974E-06 3.04928881E-04
31 2.82509653E-04 1.97950427E-04 9.54918006E-04 3.10198881E-04 4.20120416E-03 3.43250422E-04
32 4.02291406E-04 2.73153717E-04 1.03531914E-03 3.20426670E-04 2.05096691E-06 2.81812108E-04
33 4.20087887E-04 2.95388595E-04 1.10301634E-03 3.20689023E-04 5.15883727E-08 2.88008409E-04
34 4.50222162E-04 3.15841866E-04 1.15531404E-03 3.07983380E-04 7.80188641E-08 3.11544318E-04
35 4.44811664E-04 3.39944049E-04 1.19259372E-03 3.20235963E-04 8.02192178E-08 3.04436843E-04
36 4.81223011E-04 3.58602371E-04 1.17067474E-03 3.23452323E-04 1.01779277E-07 3.12663946E-04
37 4.24577247E-04 3.96184137E-04 1.25017262E-03 3.03906675E-04 1.30353191E-07 3.24905278E-04
38 4.42675113E-04 4.16633302E-04 1.26533938E-03 3.01264590E-04 4.06006935E-08 3.40198672E-04
39 4.62408466E-04 4.39732085E-04 1.27010385E-03 2.97148796E-04 4.14484430E-08 3.51430485E-04
40 4.83031218E-04 4.60742645E-04 1.26819298E-03 2.92751959E-04 6.45674668E-08 3.61796329E-04
41 5.03400246E-04 4.82851608E-04 1.28311080E-03 2.88099665E-04 6.41604341E-08 3.71167313E-04
42 5.25116612E-04 5.06721826E-04 1.28960632E-03 2.82925132E-04 6.57393938E-08 3.91592586E-04
43 5.47879779E-04 5.30132635E-04 1.29117586E-03 2.76477555E-04 2.93134616E-08 3.88052727E-04
44 5.82528022E-04 5.71283283E-04 1.28885616E-03 2.64158543E-04 6.80292435E-08 4.03436146E-04
45 6.07414193E-04 5.94706202E-04 1.30818041E-03 2.57951948E-04 4.28329866E-08 4.19237696E-04
