#intial_mass winds winds_init cc cc_init
11 1.11958579E-04 4.80449485E-05 4.44922455E-04 2.29634644E-04
12 1.57347346E-04 6.54565672E-05 4.44551044E-04 2.38676375E-04
13 2.12746356E-04 8.66055727E-05 4.29395490E-04 2.48334095E-04
14 2.79659261E-04 1.11819599E-04 3.87884705E-04 2.47638891E-04
15 3.59520114E-04 1.41156792E-04 3.41224857E-04 2.43210493E-04
16 4.50348215E-04 1.75041749E-04 2.98966639E-04 2.41853194E-04
17 5.29276769E-04 2.03539385E-04 2.54112725E-04 2.48998866E-04
18 6.04120521E-04 2.32079937E-04 2.21199127E-04 2.48053507E-04
19 6.42540896E-04 2.47669029E-04 2.30590300E-04 2.64255602E-04
20 6.22843407E-04 2.47137901E-04 3.26933518E-04 2.88824528E-04
21 6.50022021E-04 2.62203088E-04 1.18877684E-03 3.02071045E-04
22 7.27856399E-04 2.95969879E-04 1.77353487E-03 2.99634174E-04
23 8.45413913E-04 3.50347328E-04 5.05820463E-03 2.57306071E-04
24 9.11140737E-04 3.71778310E-04 8.39191770E-03 2.72484015E-04
25 7.99173834E-04 3.61151185E-04 1.89302420E-03 3.13952430E-04
26 1.11120161E-03 4.12115089E-04 1.53000945E-04 2.88989874E-04
27 1.15085797E-03 4.27232003E-04 3.89016485E-04 3.03804886E-04
28 1.09438342E-03 4.42688070E-04 9.55060654E-04 3.17540102E-04
29 1.14193289E-03 4.57641650E-04 5.14908903E-04 3.34303893E-04
30 1.13244643E-03 4.61323610E-04 1.51908789E-03 3.59675108E-04
31 1.25428527E-03 4.78150172E-04 3.12381905E-03 3.69646876E-04
32 1.26437714E-03 4.93405409E-04 3.79689275E-03 3.82149178E-04
33 1.40176813E-03 5.40184562E-04 4.74605370E-06 3.61937106E-04
34 1.43675479E-03 5.49743443E-04 6.03084887E-06 3.85457110E-04
35 1.51804244E-03 5.78130414E-04 5.80157550E-06 3.88957073E-04
36 1.57038846E-03 6.12345383E-04 2.38881051E-05 3.76692590E-04
37 1.62593836E-03 6.22703650E-04 4.81600964E-08 3.96118439E-04
38 1.66053031E-03 6.40082275E-04 5.38299808E-08 4.06653053E-04
39 1.69168167E-03 6.59168969E-04 7.36916998E-08 4.15879483E-04
40 1.71658974E-03 6.77221816E-04 3.63110023E-08 4.28897376E-04
41 1.75374207E-03 6.96663288E-04 4.96501059E-08 4.52385285E-04
42 1.77754378E-03 7.17213396E-04 4.92418307E-08 4.56176423E-04
43 1.80093620E-03 7.36914480E-04 4.52643905E-08 4.66407346E-04
44 1.82707309E-03 7.57413824E-04 6.28565109E-08 4.83575022E-04
45 1.87227799E-03 7.76725456E-04 7.12253019E-08 4.91092739E-04
