#int_mass winds winds_init rlof rlof_init cc cc_init
11 3.75823367E-05 3.75823339E-05 3.80526861E-04 3.80526831E-04 5.22069589E-03 9.67161215E-05
12 4.63758180E-05 4.63758149E-05 4.03373970E-04 4.03373943E-04 2.92736693E-03 1.14545500E-04
13 5.68068822E-05 5.68068788E-05 4.24693561E-04 4.24693535E-04 1.86410583E-02 1.34684576E-04
14 6.87988177E-05 6.87988140E-05 4.44617703E-04 4.44617679E-04 2.40760259E-03 1.46770100E-04
15 8.23529670E-05 8.23529630E-05 4.63048790E-04 4.63048767E-04 4.90501324E-03 1.67974511E-04
16 9.50095660E-05 9.50095619E-05 4.84244183E-04 4.84244161E-04 5.70949640E-03 1.84986084E-04
17 1.13540884E-04 1.13540880E-04 4.99595634E-04 4.99595613E-04 4.43026092E-03 2.04583318E-04
18 1.29846145E-04 1.29846144E-04 5.23232948E-04 5.23232928E-04 5.11839404E-03 2.17185222E-04
19 1.44796564E-04 1.44796578E-04 5.49387093E-04 5.49387073E-04 5.36389389E-03 2.30499504E-04
20 1.11716472E-04 1.11716468E-04 5.78598911E-04 5.78598891E-04 5.83650504E-03 2.91124837E-04
21 1.36918091E-04 1.36918087E-04 5.91664937E-04 5.91664918E-04 5.73380554E-03 3.01949853E-04
22 1.29819492E-04 1.29819489E-04 5.49876154E-04 5.49876138E-04 5.33839923E-03 3.96322175E-04
23 1.44093805E-04 1.44093802E-04 5.76884852E-04 5.76884835E-04 5.82971785E-03 3.99211670E-04
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 2.86818572E-04 2.86818678E-04 6.04586818E-04 6.04586802E-04 8.95851492E-03 3.92698429E-04
27 2.57127608E-04 2.57127603E-04 5.37662557E-04 5.37662544E-04 1.81794036E-02 5.40753456E-04
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 4.00630136E-04 4.00630128E-04 5.54381304E-04 5.54381291E-04 3.91099334E-03 5.55687300E-04
31 3.60735067E-04 3.60735060E-04 5.65291100E-04 5.65291087E-04 3.65337718E-03 6.25522580E-04
32 4.97780158E-04 4.97781815E-04 5.83929716E-04 5.83929703E-04 1.50453868E-02 5.13560437E-04
33 5.37567562E-04 5.38301556E-04 5.84407815E-04 5.84407803E-04 1.37966230E-02 5.24852269E-04
34 5.75272381E-04 5.75574583E-04 5.61253679E-04 5.61253668E-04 1.18958333E-02 5.67742946E-04
35 6.15817350E-04 6.19497210E-04 5.83582180E-04 5.83582168E-04 1.20126168E-02 5.54790635E-04
36 6.49500106E-04 6.53499212E-04 5.89443515E-04 5.89443504E-04 1.20013687E-02 5.69783300E-04
37 7.12395776E-04 7.21986362E-04 5.53824493E-04 5.53824482E-04 1.22374254E-02 5.92091297E-04
38 7.48417322E-04 7.59251909E-04 5.49009687E-04 5.49009677E-04 3.66697049E-03 6.19961222E-04
39 7.89058491E-04 8.01345988E-04 5.41509268E-04 5.41509258E-04 4.89834031E-03 6.40429521E-04
40 8.26135856E-04 8.39634593E-04 5.33496690E-04 5.33496680E-04 4.85660908E-03 6.59319722E-04
41 8.64996826E-04 8.79924872E-04 5.25018579E-04 5.25018569E-04 4.82266637E-03 6.76396941E-04
42 9.06925218E-04 9.23424775E-04 5.15588766E-04 5.15588757E-04 1.05684634E-02 7.13618946E-04
43 9.48109595E-04 9.66087475E-04 5.03839021E-04 5.03839013E-04 6.60016200E-03 7.07168083E-04
44 1.02062915E-03 1.04107838E-03 4.81389462E-04 4.81389454E-04 1.44967766E-02 7.35202065E-04
45 1.06188254E-03 1.08376315E-03 4.70078870E-04 4.70078862E-04 2.00533967E-02 7.63998028E-04
