#intial_mass winds winds_init cc cc_init
11 4.15431015E-09 4.15431015E-09 1.42362700E-07 1.98558550E-08
12 5.65984333E-09 5.65984333E-09 2.09834104E-07 2.06376678E-08
13 7.48853773E-09 7.48853773E-09 1.70997348E-07 2.14727434E-08
14 9.66872294E-09 9.66872294E-09 1.78866548E-07 2.14126311E-08
15 1.22054266E-08 1.22054266E-08 3.60712593E-07 2.10297201E-08
16 1.51353625E-08 1.51353625E-08 4.33165401E-07 2.09123583E-08
17 1.75994721E-08 1.75994721E-08 3.29404811E-07 2.15302242E-08
18 2.00672925E-08 2.00672925E-08 2.26208624E-07 2.14484817E-08
19 2.14152370E-08 2.14152370E-08 3.26705170E-07 2.28494309E-08
20 2.13693119E-08 2.13693119E-08 3.98558997E-07 2.49738360E-08
21 2.26719558E-08 2.26719558E-08 4.52798393E-07 2.61192247E-08
22 2.55916742E-08 2.55916742E-08 8.31743613E-07 2.59085154E-08
23 3.02935377E-08 3.02935377E-08 1.15852347E-06 2.22485246E-08
24 3.21466138E-08 3.21466138E-08 2.01200244E-06 2.35609183E-08
25 3.12277165E-08 3.12277165E-08 3.11100258E-06 2.71465743E-08
26 3.56344204E-08 3.56344204E-08 1.28368539E-06 2.49881330E-08
27 3.69415370E-08 3.69415370E-08 1.10824623E-06 2.62691450E-08
28 3.82779792E-08 3.82779792E-08 1.77474402E-06 2.74567901E-08
29 3.95709728E-08 3.95709728E-08 1.11230371E-06 2.89063075E-08
30 3.98893414E-08 3.98893414E-08 1.54066654E-06 3.11000843E-08
31 4.13442864E-08 4.13442864E-08 1.51955420E-06 3.19623148E-08
32 4.26633634E-08 4.26633634E-08 1.82839829E-06 3.30433533E-08
33 4.67082237E-08 4.67082237E-08 1.48217620E-06 3.12956728E-08
34 4.75347530E-08 4.75347530E-08 1.47581615E-06 3.33293808E-08
35 4.99892937E-08 4.99892938E-08 2.21961451E-06 3.36320126E-08
36 5.29477639E-08 5.29477649E-08 2.76184494E-06 3.25715377E-08
37 5.38158818E-08 5.38434148E-08 3.59629527E-06 3.42512355E-08
38 5.52637448E-08 5.53460951E-08 4.09711799E-06 3.51621337E-08
39 5.68407685E-08 5.69964672E-08 4.04188169E-06 3.59599169E-08
40 5.83434795E-08 5.85574457E-08 4.25311111E-06 3.70855371E-08
41 5.99489757E-08 6.02384945E-08 3.98415679E-06 3.91164699E-08
42 6.16377248E-08 6.20154039E-08 3.79527411E-06 3.94442788E-08
43 6.32638225E-08 6.37189007E-08 3.69189627E-06 4.03289176E-08
44 6.49460095E-08 6.54914206E-08 4.37626101E-06 4.18133577E-08
45 6.65373250E-08 6.71612426E-08 3.33836460E-06 4.24633934E-08
