#int_mass winds winds_init rlof rlof_init cc cc_init
11 7.37887793E-07 7.37887804E-07 7.47122594E-06 7.47122595E-06 2.54318141E-05 1.89891471E-06
12 9.10538110E-07 9.10538135E-07 7.91980385E-06 7.91980386E-06 1.23139457E-05 2.24897495E-06
13 1.11534056E-06 1.11534061E-06 8.33839061E-06 8.33839062E-06 3.22570611E-05 2.64438356E-06
14 1.35078900E-06 1.35078907E-06 8.72957926E-06 8.72957927E-06 4.47215069E-05 2.88166954E-06
15 1.61690980E-06 1.61690988E-06 9.09145341E-06 9.09145342E-06 3.66663877E-05 3.29799483E-06
16 1.86540831E-06 1.86540829E-06 9.50760166E-06 9.50760168E-06 3.61785079E-05 3.63199837E-06
17 2.22925143E-06 2.22925035E-06 9.80901055E-06 9.80901057E-06 2.98901366E-05 4.01676851E-06
18 2.54939373E-06 2.54938627E-06 1.02731032E-05 1.02731032E-05 3.87587053E-05 4.26419304E-06
19 2.84295543E-06 2.84292160E-06 1.07866111E-05 1.07866111E-05 5.65628600E-05 4.52560433E-06
20 2.19342994E-06 2.19343002E-06 1.13601530E-05 1.13601531E-05 9.93602751E-05 5.71591608E-06
21 2.68823626E-06 2.68823609E-06 1.16166900E-05 1.16166901E-05 1.07040770E-04 5.92845338E-06
22 2.54886289E-06 2.54886292E-06 1.07962133E-05 1.07962134E-05 1.41386714E-04 7.78135014E-06
23 2.82912333E-06 2.82912337E-06 1.13264993E-05 1.13264994E-05 1.52524375E-04 7.83808221E-06
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 5.63157221E-06 5.63136939E-06 1.18703970E-05 1.18703971E-05 1.60740068E-04 7.71020189E-06
27 5.04841765E-06 5.04841777E-06 1.05564127E-05 1.05564129E-05 1.74616640E-04 1.06170996E-05
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 7.86593181E-06 7.86593208E-06 1.08846670E-05 1.08846671E-05 2.82964507E-04 1.09103092E-05
31 7.08263603E-06 7.08263627E-06 1.10988688E-05 1.10988690E-05 2.83015857E-04 1.22814481E-05
32 9.77633746E-06 9.77339862E-06 1.14648175E-05 1.14648177E-05 1.99894392E-04 1.00831945E-05
33 1.16438037E-05 1.05689592E-05 1.14742045E-05 1.14742047E-05 2.05570797E-04 1.03048972E-05
34 1.17413444E-05 1.13007741E-05 1.10195985E-05 1.10195987E-05 2.55871679E-04 1.11470085E-05
35 1.75310915E-05 1.21631466E-05 1.14579940E-05 1.14579942E-05 2.45543955E-04 1.08927041E-05
36 1.86528472E-05 1.28307385E-05 1.15730748E-05 1.15730751E-05 2.62635857E-04 1.11870686E-05
37 2.81156437E-05 1.41754084E-05 1.08737347E-05 1.08737348E-05 2.79533354E-04 1.16250616E-05
38 3.06187409E-05 1.49070764E-05 1.07792012E-05 1.07792014E-05 3.16295124E-04 1.21722570E-05
39 3.35099161E-05 1.57335474E-05 1.06319388E-05 1.06319389E-05 3.23651108E-04 1.25741295E-05
40 3.59687273E-05 1.64853021E-05 1.04746206E-05 1.04746207E-05 3.35202693E-04 1.29450178E-05
41 3.87708925E-05 1.72763574E-05 1.03081622E-05 1.03081624E-05 3.44798956E-04 1.32803102E-05
42 4.18328003E-05 1.81304302E-05 1.01230182E-05 1.01230184E-05 3.59084018E-04 1.40111234E-05
43 4.47332792E-05 1.89680654E-05 9.89232487E-06 9.89232505E-06 3.41514332E-04 1.38844678E-05
44 4.96754548E-05 2.04404293E-05 9.45155247E-06 9.45155265E-06 3.70271233E-04 1.44348842E-05
45 5.25318100E-05 2.12784978E-05 9.22948142E-06 9.22948161E-06 3.77310661E-04 1.50002613E-05
