#intial_mass winds winds_init cc cc_init
11 1.76278228E-99 1.65376070E-99 2.82396429E-23 7.90428047E-99
12 2.56922484E-99 2.25308803E-99 1.27312072E-25 8.21550693E-99
13 5.27745155E-99 2.98106037E-99 8.58102607E-25 8.54793643E-99
14 6.95554044E-99 3.84895528E-99 2.23543169E-25 8.52400674E-99
15 1.45805168E-98 4.85877415E-99 7.62283734E-26 8.37157635E-99
16 2.27600357E-98 6.02513216E-99 3.39984684E-24 8.32485659E-99
17 2.27754659E-98 7.00605258E-99 4.55487898E-23 8.57081859E-99
18 2.54190092E-98 7.98845017E-99 4.10406972E-21 8.53827826E-99
19 3.13438109E-98 8.52504413E-99 1.32484990E-20 9.09597247E-99
20 3.37485668E-98 8.50676209E-99 5.96983456E-21 9.94166227E-99
21 2.95759370E-98 9.02532263E-99 7.66040839E-23 1.03976222E-98
22 3.27343792E-98 1.01876132E-98 1.59066478E-20 1.03137424E-98
23 4.82342335E-98 1.20593456E-98 1.37997759E-11 8.85676184E-99
24 4.21462840E-98 1.27970239E-98 2.46079024E-08 9.37920360E-99
25 3.79702098E-98 1.24312264E-98 1.71458109E-11 1.08065927E-98
26 5.82476860E-98 1.41854608E-98 1.16307762E-07 9.94735366E-99
27 4.13601554E-98 1.47058019E-98 3.28229315E-07 1.04573029E-98
28 3.98902867E-98 1.52378169E-98 7.77706083E-07 1.09300844E-98
29 4.29080864E-98 1.57525359E-98 2.67481124E-07 1.15071127E-98
30 6.56576737E-98 1.58792730E-98 3.27155060E-07 1.23804182E-98
31 5.47824220E-98 1.64584620E-98 2.28308498E-08 1.27236576E-98
32 5.67865667E-98 1.69835643E-98 8.72548171E-08 1.31540008E-98
33 8.24956309E-56 1.85937549E-98 4.47925154E-08 1.24582787E-98
34 1.33979213E-53 1.89227822E-98 1.60889174E-07 1.32678635E-98
35 1.37320734E-53 1.98998935E-98 4.90027372E-08 1.33883361E-98
36 1.58885660E-53 2.10776108E-98 1.37341020E-08 1.29661790E-98
37 6.27491358E-56 2.14341539E-98 5.27823840E-08 1.36348383E-98
38 3.16652765E-51 2.20323456E-98 4.30719802E-08 1.39974515E-98
39 9.51375193E-52 2.26893308E-98 4.07314485E-08 1.43150355E-98
40 5.59875678E-46 2.33107300E-98 1.77178326E-08 1.47631259E-98
41 2.31253801E-53 2.39799271E-98 5.95115610E-08 1.55716059E-98
42 1.07247300E-47 2.46872848E-98 9.06866988E-08 1.57021011E-98
43 1.44815663E-47 2.53654180E-98 6.08292417E-08 1.60542609E-98
44 1.77665502E-47 2.60710283E-98 3.01185160E-08 1.66451914E-98
45 2.15920031E-47 2.67357562E-98 4.59279420E-08 1.69039596E-98
