#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.98410820E-99 7.30531677E-100 4.14323384E-98 7.39674404E-99 2.34416440E-04 1.87998411E-99
12 2.79712761E-99 9.01460828E-100 3.13427721E-98 7.84085001E-99 7.12053080E-04 2.22655454E-99
13 3.25184475E-99 1.10422159E-99 2.90006632E-98 8.25526381E-99 5.75707692E-04 2.61802125E-99
14 3.36521462E-99 1.33732283E-99 4.59995542E-98 8.64255263E-99 2.50927853E-04 2.85294169E-99
15 2.48883804E-99 1.60079064E-99 5.50960841E-98 9.00081920E-99 6.58518572E-04 3.26511657E-99
16 2.53706058E-99 1.84681172E-99 4.96998449E-98 9.41281881E-99 7.80389662E-04 3.59579037E-99
17 2.70984655E-99 2.20702658E-99 5.80178491E-98 9.71122290E-99 7.19381628E-04 3.97672467E-99
18 3.25690747E-99 2.52397101E-99 5.41123908E-98 1.01706890E-98 6.82154655E-04 4.22168259E-99
19 3.24199739E-99 2.81458004E-99 6.01162133E-98 1.06790776E-98 6.47795318E-04 4.48048782E-99
20 3.67570492E-71 2.17156335E-99 7.23010796E-98 1.12469018E-98 9.39303301E-04 5.65893316E-99
21 3.40580504E-99 2.66143662E-99 6.15444640E-98 1.15008814E-98 6.77934452E-04 5.86935164E-99
22 3.27048132E-99 2.52345288E-99 4.56031486E-98 1.06885841E-98 5.15308659E-04 7.70377656E-99
23 5.15021568E-99 2.80091936E-99 3.93833393E-98 1.12135837E-98 5.40138103E-04 7.75994305E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 7.80835243E-99 5.57522932E-99 7.29529676E-98 1.17520591E-98 1.07977542E-03 7.63333760E-99
27 6.28165891E-99 4.99808925E-99 4.49641808E-98 1.04511743E-98 2.10839760E-03 1.05112559E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 2.33875278E-97 7.78751529E-99 7.61466401E-98 1.07761560E-98 2.86852047E-04 1.08015425E-98
31 1.42125862E-98 7.01202829E-99 7.34920367E-98 1.09882225E-98 1.96964526E-04 1.21590123E-98
32 1.54362363E-98 9.67596598E-99 3.92878516E-98 1.13505230E-98 1.53568118E-03 9.98267347E-99
33 2.95816042E-81 1.04635955E-98 5.76153042E-98 1.13598164E-98 1.39422867E-03 1.02021660E-98
34 1.89711284E-81 1.11881148E-98 5.46084740E-98 1.09097425E-98 1.08840748E-03 1.10358821E-98
35 1.18024631E-81 1.20418901E-98 9.46824835E-98 1.13437676E-98 1.04295469E-03 1.07841129E-98
36 4.91264173E-82 1.27028267E-98 1.11649030E-97 1.14577012E-98 1.11860350E-03 1.10755429E-98
37 8.89710534E-84 1.40340914E-98 5.83641646E-98 1.07653327E-98 9.96991314E-04 1.15091694E-98
38 2.89196430E-83 1.47584653E-98 5.41890912E-98 1.06717417E-98 3.96956056E-04 1.20509097E-98
39 2.02112491E-83 1.55766970E-98 4.12671284E-98 1.05259473E-98 6.10810655E-04 1.24487759E-98
40 8.48307621E-84 1.63209573E-98 4.31326131E-98 1.03701975E-98 5.01332729E-04 1.28159668E-98
41 6.59884293E-84 1.71041265E-98 4.66359861E-98 1.02053986E-98 5.04965393E-04 1.31479166E-98
42 1.49018301E-83 1.79496849E-98 5.16639883E-98 1.00221003E-98 1.33131788E-03 1.38714442E-98
43 7.84889074E-84 1.87789695E-98 4.65637424E-98 9.79370680E-99 4.57407594E-04 1.37460512E-98
44 2.07968974E-83 2.02366553E-98 4.78367783E-98 9.35732854E-99 1.39207750E-03 1.42909804E-98
45 1.28173320E-83 2.10663689E-98 4.74621387E-98 9.13747136E-99 2.14975105E-03 1.48507212E-98
