#intial_mass winds winds_init cc cc_init
11 2.02115282E-98 1.65376070E-99 7.31736173E-03 7.90428047E-99
12 2.00510768E-98 2.25308803E-99 2.87691190E-03 8.21550693E-99
13 3.50393892E-98 2.98106037E-99 1.57045680E-02 8.54793643E-99
14 5.30956940E-98 3.84895528E-99 7.83638444E-03 8.52400674E-99
15 6.67241065E-98 4.85877415E-99 6.95554038E-03 8.37157635E-99
16 7.50685772E-98 6.02513216E-99 9.72769493E-03 8.32485659E-99
17 9.94872859E-98 7.00605258E-99 2.27173897E-02 8.57081859E-99
18 1.06664875E-97 7.98845017E-99 6.09881370E-03 8.53827826E-99
19 1.34757353E-97 8.52504413E-99 1.43613993E-02 9.09597247E-99
20 1.11642340E-97 8.50676209E-99 8.02024147E-03 9.94166227E-99
21 1.14047696E-97 9.02532263E-99 3.54322519E-03 1.03976222E-98
22 1.23548187E-97 1.01876132E-98 9.71258682E-03 1.03137424E-98
23 1.32471676E-97 1.20593456E-98 2.58179500E-03 8.85676184E-99
24 1.43749668E-97 1.27970239E-98 3.00180049E-03 9.37920360E-99
25 1.50963651E-97 1.24312264E-98 1.97008334E-02 1.08065927E-98
26 2.00889586E-97 1.41854608E-98 6.62994086E-06 9.94735366E-99
27 1.77510960E-97 1.47058019E-98 6.42602390E-06 1.04573029E-98
28 1.70685437E-97 1.52378169E-98 5.84314205E-06 1.09300844E-98
29 1.63383519E-97 1.57525359E-98 6.08996746E-06 1.15071127E-98
30 1.76154949E-97 1.58792730E-98 1.51328068E-04 1.23804182E-98
31 1.68698234E-97 1.64584620E-98 2.19918882E-06 1.27236576E-98
32 1.77080511E-97 1.69835643E-98 2.13056197E-06 1.31540008E-98
33 1.57664690E-97 1.85937549E-98 8.28014160E-06 1.24582787E-98
34 2.64434201E-92 1.89227822E-98 1.46775482E-05 1.32678635E-98
35 9.92681684E-91 1.98998935E-98 3.84337169E-06 1.33883361E-98
36 8.20559524E-90 2.10776108E-98 5.01837271E-06 1.29661790E-98
37 1.46928172E-97 2.14341539E-98 2.37215487E-06 1.36348383E-98
38 1.60455604E-90 2.20323456E-98 2.04291291E-06 1.39974515E-98
39 1.10287247E-93 2.26893308E-98 2.00705371E-06 1.43150355E-98
40 1.65131343E-92 2.33107300E-98 6.78443437E-06 1.47631259E-98
41 1.26004823E-97 2.39799271E-98 1.31925900E-05 1.55716059E-98
42 1.43169427E-90 2.46872848E-98 1.13238603E-05 1.57021011E-98
43 6.74328802E-87 2.53654180E-98 1.24298506E-05 1.60542609E-98
44 1.65648138E-84 2.60710283E-98 1.11048184E-05 1.66451914E-98
45 9.34132213E-84 2.67357562E-98 1.28231368E-05 1.69039596E-98
