#intial_mass winds winds_init cc cc_init
11 2.14704723E-05 2.14704723E-05 2.29917872E-04 1.02619826E-04
12 2.92514292E-05 2.92514292E-05 1.52192525E-04 1.06660422E-04
13 3.87025609E-05 3.87025609E-05 3.63707699E-04 1.10976293E-04
14 4.99702816E-05 4.99702816E-05 1.81580359E-04 1.10665618E-04
15 6.30805750E-05 6.30805750E-05 2.36415623E-04 1.08686643E-04
16 7.82231875E-05 7.82231875E-05 1.91103730E-04 1.08080089E-04
17 9.09582977E-05 9.09582977E-05 2.80533975E-04 1.11273368E-04
18 1.03712586E-04 1.03712586E-04 1.49899772E-04 1.10850903E-04
19 1.10679087E-04 1.10679087E-04 2.08254114E-04 1.18091345E-04
20 1.10441734E-04 1.10441734E-04 1.88180016E-04 1.29070781E-04
21 1.17174111E-04 1.17174111E-04 1.45324015E-04 1.34990425E-04
22 1.32263917E-04 1.32263917E-04 2.35155981E-04 1.33901428E-04
23 1.56564276E-04 1.56564276E-04 8.91254990E-05 1.14985717E-04
24 1.66141418E-04 1.66141418E-04 1.38635269E-04 1.21768483E-04
25 1.61392337E-04 1.61392337E-04 2.26989631E-04 1.40300014E-04
26 1.84167240E-04 1.84167240E-04 8.78617795E-05 1.29144671E-04
27 1.90922733E-04 1.90922733E-04 9.04589587E-05 1.35765248E-04
28 1.97829787E-04 1.97829787E-04 9.40043172E-05 1.41903284E-04
29 2.04512288E-04 2.04512288E-04 9.10823355E-05 1.49394738E-04
30 2.06157694E-04 2.06157694E-04 7.49277769E-05 1.60732703E-04
31 2.13677199E-04 2.13677199E-04 6.52021999E-05 1.65188917E-04
32 2.20494506E-04 2.20494506E-04 6.81457013E-05 1.70775983E-04
33 2.41399315E-04 2.41399315E-04 8.11993349E-05 1.61743551E-04
34 2.45671017E-04 2.45671017E-04 8.67436340E-05 1.72254242E-04
35 2.58356672E-04 2.58356673E-04 5.59762918E-05 1.73818316E-04
36 2.73646759E-04 2.73646761E-04 5.85689328E-05 1.68337527E-04
37 2.78141453E-04 2.78275695E-04 4.84566032E-05 1.77018609E-04
38 2.85640492E-04 2.86041908E-04 4.63427040E-05 1.81726349E-04
39 2.93817815E-04 2.94571427E-04 4.71101107E-05 1.85849484E-04
40 3.01605155E-04 3.02638939E-04 5.77053211E-05 1.91666960E-04
41 3.09933326E-04 3.11327003E-04 8.76155917E-05 2.02163308E-04
42 3.18699433E-04 3.20510497E-04 7.13225107E-05 2.03857503E-04
43 3.27133871E-04 3.29314577E-04 9.32531086E-05 2.08429529E-04
44 3.35864862E-04 3.38475386E-04 8.45992161E-05 2.16101472E-04
45 3.44116175E-04 3.47105427E-04 8.28349263E-05 2.19461013E-04
