#int_mass winds winds_init rlof rlof_init cc cc_init
11 2.70102057E-07 2.70102057E-07 2.73482430E-06 2.73482430E-06 1.72662507E-06 6.95093164E-07
12 3.33300296E-07 3.33300296E-07 2.89902517E-06 2.89902517E-06 4.42981436E-06 8.23231875E-07
13 4.08267748E-07 4.08267748E-07 3.05224784E-06 3.05224784E-06 4.66550572E-06 9.67970245E-07
14 4.94453095E-07 4.94453092E-07 3.19544151E-06 3.19544151E-06 7.79823162E-06 1.05482821E-06
15 5.91865995E-07 5.91865976E-07 3.32790467E-06 3.32790467E-06 9.01139510E-06 1.20722308E-06
16 6.82828304E-07 6.82828219E-07 3.48023474E-06 3.48023474E-06 1.03325673E-05 1.32948427E-06
17 8.16012313E-07 8.16011731E-07 3.59056474E-06 3.59056474E-06 1.34183327E-05 1.47032846E-06
18 9.33200028E-07 9.33196716E-07 3.76044475E-06 3.76044475E-06 1.46500029E-05 1.56089761E-06
19 1.04065881E-06 1.04064462E-06 3.94841308E-06 3.94841308E-06 1.64284345E-05 1.65658659E-06
20 8.02899817E-07 8.02899786E-07 4.15835672E-06 4.15835672E-06 2.10812830E-05 2.09229734E-06
21 9.84022537E-07 9.84022360E-07 4.25226150E-06 4.25226150E-06 2.28857247E-05 2.17009611E-06
22 9.33005146E-07 9.33005146E-07 3.95192796E-06 3.95192796E-06 2.69952900E-05 2.84834452E-06
23 1.03559381E-06 1.03559381E-06 4.14603790E-06 4.14603790E-06 2.87392488E-05 2.86911115E-06
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 2.06143075E-06 2.06134923E-06 4.34513034E-06 4.34513034E-06 3.39390059E-05 2.82230087E-06
27 1.84796119E-06 1.84796119E-06 3.86414957E-06 3.86414957E-06 3.80268626E-05 3.88636377E-06
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 2.87930577E-06 2.87930553E-06 3.98430624E-06 3.98430624E-06 4.97956678E-05 3.99369245E-06
31 2.59258198E-06 2.59258198E-06 4.06271431E-06 4.06271431E-06 4.76292759E-05 4.49559456E-06
32 3.57864367E-06 3.57752907E-06 4.19666896E-06 4.19666896E-06 4.19315278E-05 3.69092912E-06
33 4.09230692E-06 3.86874211E-06 4.20010504E-06 4.20010504E-06 4.38063987E-05 3.77208286E-06
34 4.22701244E-06 4.13662120E-06 4.03369761E-06 4.03369761E-06 4.74560511E-05 4.08033567E-06
35 5.56910463E-06 4.45229057E-06 4.19417125E-06 4.19417125E-06 4.64737269E-05 3.98724817E-06
36 5.90365880E-06 4.69666099E-06 4.23629633E-06 4.23629633E-06 4.79912261E-05 4.09499958E-06
37 8.08769005E-06 5.18887418E-06 3.98030448E-06 3.98030448E-06 5.04403671E-05 4.25532586E-06
38 8.71403458E-06 5.45669950E-06 3.94570075E-06 3.94570075E-06 5.58982145E-05 4.45562540E-06
39 9.43734417E-06 5.75922721E-06 3.89179568E-06 3.89179568E-06 5.66849098E-05 4.60272988E-06
40 1.00514919E-05 6.03440519E-06 3.83420974E-06 3.83420974E-06 5.82308169E-05 4.73849266E-06
41 1.07438354E-05 6.32396909E-06 3.77327805E-06 3.77327805E-06 5.94562647E-05 4.86122564E-06
42 1.15015024E-05 6.63660038E-06 3.70550654E-06 3.70550654E-06 6.12606304E-05 5.12873804E-06
43 1.22169744E-05 6.94321473E-06 3.62106181E-06 3.62106181E-06 6.06023168E-05 5.08237606E-06
44 1.34942997E-05 7.48217002E-06 3.45971813E-06 3.45971813E-06 6.27467264E-05 5.28385466E-06
45 1.41943035E-05 7.78894297E-06 3.37842956E-06 3.37842956E-06 6.36471460E-05 5.49080958E-06
