#intial_mass winds winds_init cc cc_init
11 1.70353184E-99 1.65387320E-99 1.80404959E-28 7.90481820E-99
12 2.54032779E-99 2.25324131E-99 4.95949405E-30 8.21606584E-99
13 4.10380314E-99 2.98126318E-99 1.68879358E-30 8.54851796E-99
14 8.86321063E-99 3.84921713E-99 1.14520962E-30 8.52458663E-99
15 1.51024324E-98 4.85910470E-99 7.40814000E-30 8.37214588E-99
16 2.65844242E-98 6.02554205E-99 8.89774205E-28 8.32542294E-99
17 3.05707126E-98 7.00652921E-99 5.35607757E-26 8.57140167E-99
18 4.47393919E-98 7.98899364E-99 5.79819934E-24 8.53885913E-99
19 4.85913419E-98 8.52562410E-99 1.66896410E-22 9.09659128E-99
20 3.54360038E-98 8.50734082E-99 3.72284876E-24 9.94233861E-99
21 5.23973047E-98 9.02593663E-99 3.98171233E-27 1.03983295E-98
22 4.26599004E-98 1.01883063E-98 1.83186775E-22 1.03144440E-98
23 9.21236436E-98 1.20601661E-98 1.07280027E-09 8.85736438E-99
24 6.32787497E-98 1.27978945E-98 1.15840635E-04 9.37984167E-99
25 6.31512960E-98 1.24320722E-98 8.51800681E-11 1.08073279E-98
26 1.01208988E-97 1.41864259E-98 1.25614697E-04 9.94803039E-99
27 9.11832268E-98 1.47068023E-98 1.57028700E-04 1.04580143E-98
28 8.48991857E-98 1.52388536E-98 3.88876257E-04 1.09308279E-98
29 5.99978707E-98 1.57536075E-98 4.96860789E-04 1.15078956E-98
30 8.10080208E-98 1.58803533E-98 3.51363741E-04 1.23812605E-98
31 5.99499828E-98 1.64595817E-98 1.62927105E-04 1.27245232E-98
32 7.86655208E-98 1.69847197E-98 1.44554656E-04 1.31548957E-98
33 1.13786189E-97 1.85950198E-98 1.01652274E-04 1.24591263E-98
34 1.07533959E-97 1.89240696E-98 1.56441014E-04 1.32687661E-98
35 1.18436717E-97 1.99012473E-98 1.64793772E-04 1.33892470E-98
36 8.16539045E-98 2.10790447E-98 4.08616289E-05 1.29670611E-98
37 2.22043448E-93 2.14356121E-98 5.34086919E-05 1.36357659E-98
38 3.92496080E-93 2.20338444E-98 4.29899214E-05 1.39984037E-98
39 2.28140648E-92 2.26908744E-98 5.15017063E-05 1.43160093E-98
40 3.63838499E-92 2.33123158E-98 8.52104224E-05 1.47641302E-98
41 1.13324914E-92 2.39815585E-98 2.14824978E-04 1.55726653E-98
42 9.90514973E-92 2.46889643E-98 1.89057435E-04 1.57031693E-98
43 6.34425286E-92 2.53671437E-98 2.14371441E-04 1.60553531E-98
44 6.22675217E-92 2.60728019E-98 3.64815737E-04 1.66463238E-98
45 4.95084198E-92 2.67375751E-98 2.79853776E-04 1.69051096E-98
