#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.12481247E-99 7.17266866E-100 2.97599775E-98 7.26243582E-99 9.38771324E-06 1.84584783E-99
12 2.00098237E-99 8.85092328E-100 2.82265883E-98 7.69847782E-99 1.73642402E-05 2.18612532E-99
13 2.20897822E-99 1.08417141E-99 2.25688891E-98 8.10536680E-99 1.06063568E-05 2.57048388E-99
14 1.70417129E-99 1.31304006E-99 2.00835521E-98 8.48562333E-99 1.90870752E-06 2.80113869E-99
15 2.15232001E-99 1.57172388E-99 2.61914940E-98 8.83738458E-99 7.79566719E-06 3.20582940E-99
16 2.44587772E-99 1.81327777E-99 4.18870685E-98 9.24190320E-99 1.07150980E-05 3.53049891E-99
17 2.51615423E-99 2.16695194E-99 3.61932053E-98 9.53488895E-99 1.03985146E-05 3.90451630E-99
18 2.82405016E-99 2.47814138E-99 4.86880347E-98 9.98601214E-99 1.00692860E-05 4.14502633E-99
19 2.89504178E-99 2.76347360E-99 5.99275252E-98 1.04851696E-98 9.53278145E-06 4.39913225E-99
20 3.10559068E-77 2.13213265E-99 7.39330566E-98 1.10426834E-98 1.06978020E-05 5.55617967E-99
21 3.20071513E-99 2.61311092E-99 7.34037334E-98 1.12920513E-98 9.42993163E-06 5.76277742E-99
22 5.32361302E-99 2.47763266E-99 4.01718158E-98 1.04945035E-98 3.82713822E-05 7.56389332E-99
23 5.65112694E-99 2.75006097E-99 6.14717401E-98 1.10099702E-98 2.08753737E-05 7.61903995E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 5.54696481E-99 5.47399571E-99 7.14007690E-98 1.15386682E-98 1.44956418E-05 7.49473337E-99
27 6.38729568E-99 4.90733520E-99 4.62873511E-98 1.02614045E-98 1.86119903E-04 1.03203952E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 9.35907922E-99 7.64611154E-99 4.39070328E-98 1.05804853E-98 8.26194437E-06 1.06054108E-98
31 2.01885209E-98 6.88470564E-99 4.19329052E-98 1.07887011E-98 2.72356499E-05 1.19382320E-98
32 1.34478657E-98 9.50027221E-99 4.33806393E-98 1.11444231E-98 1.24864503E-05 9.80141059E-99
33 1.21419859E-85 1.02736001E-98 9.16503445E-98 1.11535477E-98 9.38497309E-06 1.00169176E-98
34 6.49045357E-86 1.09849638E-98 5.94310140E-98 1.07116461E-98 7.90569661E-06 1.08354953E-98
35 3.83820964E-86 1.18232365E-98 5.45396043E-98 1.11377903E-98 8.08912691E-06 1.05882977E-98
36 2.29572264E-86 1.24721720E-98 7.08472530E-98 1.12496551E-98 7.98289455E-06 1.08744359E-98
37 2.65868770E-87 1.37792639E-98 4.48408787E-98 1.05698585E-98 8.39426105E-06 1.13001888E-98
38 7.14969324E-88 1.44904848E-98 3.46801429E-98 1.04779669E-98 9.11926556E-06 1.18320923E-98
39 8.83298553E-88 1.52938593E-98 4.14000445E-98 1.03348198E-98 1.81015726E-05 1.22227341E-98
40 9.20977603E-88 1.60246055E-98 3.62603957E-98 1.01818980E-98 1.27214064E-05 1.25832577E-98
41 1.18369067E-87 1.67935541E-98 3.12736900E-98 1.00200915E-98 8.75035360E-06 1.29091800E-98
42 5.41244248E-88 1.76237590E-98 3.93536784E-98 9.84012152E-99 2.79694813E-05 1.36195699E-98
43 5.51868216E-88 1.84379857E-98 3.96278444E-98 9.61587513E-99 1.82287583E-05 1.34964539E-98
44 1.52111359E-87 1.98692031E-98 4.03236817E-98 9.18742052E-99 2.71849731E-05 1.40314884E-98
45 1.72176268E-87 2.06838511E-98 4.21012947E-98 8.97155545E-99 3.11216297E-05 1.45810655E-98
