#intial_mass winds winds_init cc cc_init
11 1.72432893E-99 1.65376070E-99 6.64854635E-98 7.90428047E-99
12 2.35930270E-99 2.25308803E-99 7.75033294E-98 8.21550693E-99
13 2.98463651E-99 2.98106037E-99 8.25457165E-98 8.54793643E-99
14 3.85096367E-99 3.84895528E-99 7.94689791E-98 8.52400674E-99
15 4.81218426E-99 4.85877415E-99 8.21082953E-98 8.37157635E-99
16 5.96722089E-99 6.02513216E-99 9.06176811E-98 8.32485659E-99
17 6.86691331E-99 7.00605258E-99 9.66909647E-98 8.57081859E-99
18 7.90533632E-99 7.98845017E-99 1.01023694E-97 8.53827826E-99
19 8.40870455E-99 8.52504413E-99 1.06422833E-97 9.09597247E-99
20 8.32295839E-99 8.50676209E-99 1.15669257E-97 9.94166227E-99
21 8.82054484E-99 9.02532263E-99 1.21943222E-97 1.03976222E-98
22 1.00229329E-98 1.01876132E-98 1.29627604E-97 1.03137424E-98
23 1.24246574E-98 1.20593456E-98 6.54288987E-69 8.85676184E-99
24 1.31824715E-98 1.27970239E-98 5.64185715E-39 9.37920360E-99
25 1.44693730E-98 1.24312264E-98 3.48521719E-65 1.08065927E-98
26 1.38522170E-98 1.41854608E-98 3.53157911E-08 9.94735366E-99
27 1.42531430E-98 1.47058019E-98 9.18755519E-08 1.04573029E-98
28 1.46724871E-98 1.52378169E-98 2.44642551E-07 1.09300844E-98
29 1.51541996E-98 1.57525359E-98 5.16116799E-08 1.15071127E-98
30 1.64006286E-98 1.58792730E-98 1.73339690E-17 1.23804182E-98
31 1.56629430E-98 1.64584620E-98 7.33802187E-08 1.27236576E-98
32 1.48604315E-98 1.69835643E-98 1.01587198E-08 1.31540008E-98
33 1.26377790E-48 1.85937549E-98 3.16202244E-12 1.24582787E-98
34 2.57889626E-48 1.89227822E-98 1.33977173E-12 1.32678635E-98
35 3.61808237E-47 1.98998935E-98 6.33920665E-11 1.33883361E-98
36 6.17206996E-47 2.10776108E-98 1.23867866E-12 1.29661790E-98
37 4.73205551E-60 2.14341539E-98 7.55281894E-12 1.36348383E-98
38 4.83092525E-60 2.20323456E-98 1.03604294E-11 1.39974515E-98
39 8.68775784E-60 2.26893308E-98 1.01651139E-11 1.43150355E-98
40 1.38941877E-59 2.33107300E-98 3.67097381E-13 1.47631259E-98
41 1.48032987E-59 2.39799271E-98 1.01854337E-11 1.55716059E-98
42 2.84129077E-59 2.46872848E-98 1.21736799E-11 1.57021011E-98
43 3.92599212E-59 2.53654180E-98 1.27356977E-11 1.60542609E-98
44 1.67192839E-59 2.60710283E-98 9.03143841E-12 1.66451914E-98
45 1.33570179E-59 2.67357562E-98 8.92389672E-12 1.69039596E-98
