#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.04476245E-93 7.22338318E-100 1.69383281E-98 7.31378504E-99 6.68807244E-05 1.85889894E-99
12 7.90543746E-100 8.91350394E-100 1.84873241E-98 7.75291008E-99 5.92034300E-05 2.20158237E-99
13 1.01397269E-99 1.09183707E-99 2.27221426E-98 8.16267598E-99 5.95865869E-05 2.58865855E-99
14 1.20202547E-99 1.32232393E-99 2.53533096E-98 8.54562112E-99 2.50122679E-05 2.82094421E-99
15 1.44203864E-99 1.58283679E-99 2.60737577E-98 8.89986951E-99 1.66261090E-04 3.22849629E-99
16 1.67122111E-99 1.82609860E-99 2.64759292E-98 9.30724829E-99 1.73478721E-04 3.55546138E-99
17 1.35591798E-56 2.18227342E-99 2.95443019E-98 9.60230560E-99 2.32685526E-05 3.93212328E-99
18 1.68613807E-55 2.49566313E-99 3.21342359E-98 1.00566185E-98 2.16177603E-05 4.17433383E-99
19 5.19416790E-54 2.78301280E-99 3.83927111E-98 1.05593052E-98 6.98498594E-06 4.43023641E-99
20 1.39374081E-39 2.14720794E-99 4.26488435E-98 1.11207609E-98 4.37795129E-05 5.59546476E-99
21 3.00463370E-40 2.63158698E-99 2.66656385E-98 1.13718920E-98 1.62137302E-05 5.80352327E-99
22 2.68926178E-99 2.49515082E-99 1.20812490E-98 1.05687051E-98 2.47787766E-07 7.61737400E-99
23 2.58960632E-99 2.76950534E-99 1.55489296E-98 1.10878165E-98 2.89505879E-07 7.67291055E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 4.60559096E-48 5.51269972E-99 2.57775735E-98 1.16202526E-98 3.22824335E-06 7.54772505E-99
27 1.86940100E-84 4.94203262E-99 2.11037811E-98 1.03339579E-98 5.32420410E-06 1.03933658E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 4.86776359E-48 7.70017355E-99 2.52600767E-98 1.06552949E-98 1.24293436E-06 1.06803966E-98
31 2.49172314E-68 6.93338410E-99 2.04956317E-98 1.08649829E-98 6.19326184E-08 1.20226415E-98
32 1.40392105E-45 9.56744410E-99 1.67804528E-98 1.12232200E-98 5.90340105E-06 9.87071168E-99
33 3.59117756E-59 1.03462398E-98 1.59703227E-98 1.12324091E-98 1.53398677E-08 1.00877425E-98
34 2.04526877E-47 1.10626332E-98 2.40242961E-98 1.07873830E-98 9.92961095E-08 1.09121080E-98
35 1.81110455E-59 1.19068330E-98 2.23949751E-98 1.12165403E-98 3.88751882E-08 1.06631625E-98
36 9.63987976E-60 1.25603568E-98 1.65185762E-98 1.13291961E-98 1.33044288E-07 1.09513239E-98
37 8.46098043E-61 1.38766905E-98 3.02824286E-98 1.06445929E-98 3.08604465E-07 1.13800871E-98
38 4.42102406E-58 1.45929401E-98 2.51531424E-98 1.05520516E-98 1.12609968E-08 1.19157514E-98
39 2.57565791E-60 1.54019949E-98 2.01722977E-98 1.04078924E-98 1.99254720E-08 1.23091553E-98
40 2.74719720E-58 1.61379078E-98 2.12962570E-98 1.02538894E-98 1.31158346E-08 1.26722279E-98
41 2.20648296E-58 1.69122933E-98 1.86303897E-98 1.00909388E-98 1.79460542E-08 1.30004547E-98
42 4.16301588E-58 1.77483682E-98 1.57791465E-98 9.90969632E-99 3.20874495E-08 1.37158674E-98
43 1.05622151E-60 1.85683519E-98 1.56541452E-98 9.68386439E-99 1.72402910E-08 1.35918808E-98
44 2.94734996E-60 2.00096888E-98 3.20905330E-98 9.25238038E-99 2.86681324E-08 1.41306983E-98
45 3.78571016E-60 2.08300967E-98 2.84341805E-98 9.03498904E-99 4.15899285E-09 1.46841612E-98
