#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.64953763E-05 1.64953763E-05 1.67018187E-04 1.67018187E-04 6.29403872E-05 4.24499665E-05
12 2.03549497E-05 2.03549497E-05 1.77046082E-04 1.77046082E-04 1.27086594E-04 5.02755132E-05
13 2.49332796E-05 2.49332796E-05 1.86403529E-04 1.86403529E-04 1.41928771E-04 5.91148160E-05
14 3.01966964E-05 3.01966964E-05 1.95148495E-04 1.95148495E-04 1.59184450E-04 6.44193102E-05
15 3.61457893E-05 3.61457890E-05 2.03238140E-04 2.03238140E-04 2.07515262E-04 7.37262024E-05
16 4.17009365E-05 4.17009353E-05 2.12541075E-04 2.12541075E-04 2.23565177E-04 8.11928038E-05
17 4.98345814E-05 4.98345725E-05 2.19279028E-04 2.19279028E-04 2.30983757E-04 8.97942853E-05
18 5.69912183E-05 5.69911652E-05 2.29653753E-04 2.29653753E-04 2.55298562E-04 9.53254252E-05
19 6.35533431E-05 6.35531055E-05 2.41133149E-04 2.41133149E-04 2.95640332E-04 1.01169237E-04
20 4.90338146E-05 4.90338142E-05 2.53954596E-04 2.53954596E-04 3.31772764E-04 1.27778486E-04
21 6.00951358E-05 6.00951332E-05 2.59689446E-04 2.59689446E-04 3.43991903E-04 1.32529727E-04
22 5.69794659E-05 5.69794659E-05 2.41347805E-04 2.41347805E-04 3.59242226E-04 1.73950969E-04
23 6.32446480E-05 6.32446480E-05 2.53202274E-04 2.53202274E-04 3.58600867E-04 1.75219206E-04
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.25889912E-04 1.25888457E-04 2.65361029E-04 2.65361029E-04 5.06516929E-04 1.72360460E-04
27 1.12856657E-04 1.12856657E-04 2.35987100E-04 2.35987100E-04 4.66817188E-04 2.37343741E-04
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.75841790E-04 1.75841786E-04 2.43325176E-04 2.43325176E-04 5.02907623E-04 2.43898400E-04
31 1.58331320E-04 1.58331320E-04 2.48113628E-04 2.48113628E-04 4.76897395E-04 2.74550015E-04
32 2.18504941E-04 2.18482928E-04 2.56294359E-04 2.56294359E-04 3.19606077E-04 2.25408371E-04
33 2.46419268E-04 2.36267570E-04 2.56504203E-04 2.56504203E-04 3.37839031E-04 2.30364503E-04
34 2.56689938E-04 2.52627188E-04 2.46341551E-04 2.46341551E-04 3.74330894E-04 2.49189780E-04
35 3.22721041E-04 2.71905401E-04 2.56141821E-04 2.56141821E-04 3.74135480E-04 2.43504842E-04
36 3.41737464E-04 2.86829323E-04 2.58714438E-04 2.58714438E-04 3.74555066E-04 2.50085318E-04
37 4.48053130E-04 3.16889227E-04 2.43080785E-04 2.43080785E-04 3.82191778E-04 2.59876589E-04
38 4.80256899E-04 3.33245561E-04 2.40967504E-04 2.40967504E-04 4.12575805E-04 2.72109063E-04
39 5.17192411E-04 3.51721201E-04 2.37675473E-04 2.37675473E-04 4.36269869E-04 2.81092866E-04
40 5.48532300E-04 3.68526568E-04 2.34158648E-04 2.34158648E-04 4.40199176E-04 2.89384021E-04
41 5.83340823E-04 3.86210497E-04 2.30437494E-04 2.30437494E-04 4.46136683E-04 2.96879435E-04
42 6.21233379E-04 4.05303172E-04 2.26298627E-04 2.26298627E-04 4.63391037E-04 3.13216658E-04
43 6.56761512E-04 4.24028387E-04 2.21141511E-04 2.21141511E-04 4.50499204E-04 3.10385291E-04
44 7.22165947E-04 4.56942872E-04 2.11288107E-04 2.11288107E-04 4.66176424E-04 3.22689771E-04
45 7.56876916E-04 4.75677773E-04 2.06323741E-04 2.06323741E-04 4.81615548E-04 3.35328694E-04
