#intial_mass winds winds_init cc cc_init
11 2.97450406E-38 1.65376070E-99 2.42720487E-05 7.90428047E-99
12 1.14949579E-37 2.25308803E-99 7.68769968E-06 8.21550693E-99
13 5.05781225E-37 2.98106037E-99 1.68908314E-05 8.54793643E-99
14 1.49213843E-36 3.84895528E-99 1.55241581E-05 8.52400674E-99
15 6.89932870E-37 4.85877415E-99 2.94537816E-05 8.37157635E-99
16 8.08076567E-38 6.02513216E-99 3.19046247E-05 8.32485659E-99
17 2.41789043E-37 7.00605258E-99 2.40218239E-05 8.57081859E-99
18 1.83966007E-37 7.98845017E-99 9.72247695E-06 8.53827826E-99
19 4.46539675E-37 8.52504413E-99 1.57772361E-05 9.09597247E-99
20 1.14891202E-36 8.50676209E-99 2.13675545E-05 9.94166227E-99
21 1.88840078E-35 9.02532263E-99 1.89948111E-05 1.03976222E-98
22 1.54939880E-36 1.01876132E-98 3.81966294E-05 1.03137424E-98
23 1.31979395E-36 1.20593456E-98 6.90788725E-05 8.85676184E-99
24 2.42544837E-36 1.27970239E-98 2.97501535E-04 9.37920360E-99
25 2.34353592E-36 1.24312264E-98 5.31216273E-04 1.08065927E-98
26 2.97028404E-36 1.41854608E-98 8.42791427E-05 9.94735366E-99
27 2.27550125E-37 1.47058019E-98 4.87589296E-05 1.04573029E-98
28 4.00485151E-35 1.52378169E-98 1.99233911E-04 1.09300844E-98
29 1.19710931E-36 1.57525359E-98 4.59268810E-05 1.15071127E-98
30 2.64433732E-36 1.58792730E-98 1.22496704E-04 1.23804182E-98
31 1.09910177E-35 1.64584620E-98 3.45548415E-05 1.27236576E-98
32 2.93493539E-36 1.69835643E-98 4.66980977E-05 1.31540008E-98
33 4.07728689E-28 1.85937549E-98 3.69068705E-05 1.24582787E-98
34 2.13919084E-28 1.89227822E-98 4.24634740E-05 1.32678635E-98
35 5.03366682E-25 1.98998935E-98 1.10535754E-04 1.33883361E-98
36 7.44105785E-23 2.10776108E-98 1.87640401E-04 1.29661790E-98
37 3.51946814E-12 2.14341539E-98 2.89382963E-04 1.36348383E-98
38 1.05637363E-11 2.20323456E-98 3.42389207E-04 1.39974515E-98
39 1.82352913E-11 2.26893308E-98 3.54587923E-04 1.43150355E-98
40 2.47879032E-11 2.33107300E-98 3.56557419E-04 1.47631259E-98
41 3.24739054E-11 2.39799271E-98 3.61917946E-04 1.55716059E-98
42 4.11348693E-11 2.46872848E-98 3.30448191E-04 1.57021011E-98
43 5.00068171E-11 2.53654180E-98 2.96970641E-04 1.60542609E-98
44 6.01797392E-11 2.60710283E-98 3.96410928E-04 1.66451914E-98
45 7.05082459E-11 2.67357562E-98 2.37937747E-04 1.69039596E-98
