#intial_mass winds winds_init cc cc_init
11 1.14380365E+00 1.17607202E+00 3.81315372E+00 5.62112954E+00
12 1.55800892E+00 1.60228369E+00 3.74078679E+00 5.84245826E+00
13 2.06020889E+00 2.11998127E+00 3.57126860E+00 6.07886552E+00
14 2.65699689E+00 2.73718479E+00 3.29199398E+00 6.06184792E+00
15 3.34922331E+00 3.45531754E+00 2.90225095E+00 5.95344704E+00
16 4.14667943E+00 4.28477311E+00 2.41106041E+00 5.92022228E+00
17 4.79264838E+00 4.98235472E+00 2.06240558E+00 6.09513817E+00
18 5.42977237E+00 5.68098684E+00 1.73309017E+00 6.07199712E+00
19 5.72361084E+00 6.06258566E+00 1.74301896E+00 6.46860139E+00
20 5.59319787E+00 6.04958439E+00 2.21710695E+00 7.07001374E+00
21 5.83473717E+00 6.41835875E+00 2.23794302E+00 7.39426965E+00
22 6.53045179E+00 7.24492177E+00 1.79572993E+00 7.33461851E+00
23 7.69293660E+00 8.57600440E+00 7.30028903E-01 6.29848673E+00
24 8.12270311E+00 9.10060436E+00 6.04496539E-01 6.67002122E+00
25 7.89762627E+00 8.84046746E+00 1.04490532E+00 7.68510906E+00
26 9.04098258E+00 1.00879914E+01 4.90083829E-02 7.07406117E+00
27 9.25770697E+00 1.04580319E+01 1.12435470E-01 7.43671160E+00
28 9.34546802E+00 1.08363745E+01 2.26395487E-01 7.77293017E+00
29 9.63350339E+00 1.12024168E+01 2.34554329E-01 8.18328394E+00
30 9.70100215E+00 1.12925460E+01 3.99201380E-01 8.80433519E+00
31 1.01359013E+01 1.17044363E+01 1.57258325E-01 9.04842990E+00
32 1.02865552E+01 1.20778628E+01 2.29176139E-01 9.35446847E+00
33 1.07058603E+01 1.32229499E+01 1.15621091E-10 8.85970568E+00
34 1.08363014E+01 1.34569378E+01 1.03191366E-10 9.43544195E+00
35 1.11439148E+01 1.41518105E+01 1.06753978E-09 9.52111607E+00
36 1.13793472E+01 1.49893442E+01 3.41922090E-10 9.22089896E+00
37 1.16961339E+01 1.52428999E+01 8.71600840E-08 9.69641611E+00
38 1.19178329E+01 1.56683039E+01 2.29502449E-11 9.95428849E+00
39 1.21340032E+01 1.61355190E+01 1.63122680E-09 1.01801384E+01
40 1.23534890E+01 1.65774271E+01 2.04935141E-11 1.04987979E+01
41 1.25673165E+01 1.70533267E+01 1.77460675E-10 1.10737485E+01
42 1.27837841E+01 1.75563641E+01 1.44553695E-10 1.11665502E+01
43 1.30006355E+01 1.80386186E+01 1.69986327E-06 1.14169886E+01
44 1.32133000E+01 1.85404134E+01 2.19345582E-09 1.18372289E+01
45 1.34337211E+01 1.90131347E+01 4.10115994E-10 1.20212519E+01
