#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.02667151E-17 2.72250735E-30 1.34596947E-16 2.75657999E-29 4.44903557E-14 7.00622672E-30
12 1.15034159E-17 3.35951720E-30 1.39925287E-16 2.92208709E-29 6.37210995E-13 8.29780734E-30
13 1.31272531E-17 4.11515543E-30 1.44885524E-16 3.07652866E-29 3.46749511E-13 9.75670507E-30
14 1.51244503E-17 4.98386497E-30 1.49423340E-16 3.22086144E-29 1.25770480E-14 1.06321943E-29
15 1.74446828E-17 5.96574306E-30 1.53518612E-16 3.35437836E-29 5.49458001E-14 1.21682661E-29
16 1.99699437E-17 6.88260159E-30 1.57570497E-16 3.50792022E-29 4.47708761E-14 1.34006040E-29
17 2.27812224E-17 8.22503154E-30 1.60941749E-16 3.61912790E-29 2.43215145E-15 1.48202501E-29
18 2.54405889E-17 9.40620352E-30 1.64921793E-16 3.79035932E-29 4.15557805E-15 1.57331465E-29
19 2.83841386E-17 1.04892301E-29 1.68748458E-16 3.97982295E-29 3.02773912E-15 1.66976483E-29
20 3.19073138E-17 8.09286903E-30 1.72530645E-16 4.19143670E-29 6.65414089E-15 2.10894169E-29
21 3.73259011E-17 9.91850318E-30 1.72859494E-16 4.28608850E-29 3.35444008E-15 2.18735936E-29
22 5.08226682E-17 9.40427259E-30 1.64330580E-16 3.98336578E-29 1.08398704E-14 2.87100327E-29
23 5.44138550E-17 1.04383202E-29 1.68168400E-16 4.17901988E-29 1.84551480E-14 2.89193510E-29
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 6.61951208E-17 2.07774739E-29 1.72542077E-16 4.37969611E-29 3.97676472E-17 2.84475245E-29
27 9.01842162E-17 1.86266183E-29 1.57379903E-16 3.89488911E-29 3.79325345E-13 3.91728003E-29
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.07743389E-16 2.90221058E-29 1.57404396E-16 4.01600163E-29 6.48469017E-16 4.02546251E-29
31 1.15593806E-16 2.61320613E-29 1.60391205E-16 4.09503345E-29 4.98344708E-15 4.53135729E-29
32 1.11687971E-16 3.60598853E-29 1.63749150E-16 4.23005372E-29 2.64168050E-15 3.72029068E-29
33 1.17783817E-16 3.89951819E-29 1.64162557E-16 4.23351713E-29 6.89346196E-16 3.80209001E-29
34 1.28262295E-16 4.16952827E-29 1.57902462E-16 4.06578592E-29 7.22516338E-16 4.11279499E-29
35 1.30958355E-16 4.48770881E-29 1.60593597E-16 4.22753613E-29 5.15105522E-16 4.01896697E-29
36 1.39802890E-16 4.73402322E-29 1.55505534E-16 4.26999632E-29 3.69999616E-16 4.12757555E-29
37 1.43084285E-16 5.23015198E-29 1.58942526E-16 4.01196805E-29 2.01883031E-16 4.28917724E-29
38 1.51117570E-16 5.50010787E-29 1.56823257E-16 3.97708904E-29 1.62556767E-16 4.49107017E-29
39 1.59567827E-16 5.80504221E-29 1.54190472E-16 3.92275515E-29 2.49669961E-16 4.63934487E-29
40 1.68100274E-16 6.08240925E-29 1.51464382E-16 3.86471111E-29 2.26349026E-16 4.77618766E-29
41 1.76752057E-16 6.37427665E-29 1.48579210E-16 3.80329471E-29 2.23497250E-16 4.89989699E-29
42 1.85713640E-16 6.68939494E-29 1.45453422E-16 3.73498407E-29 5.52822853E-16 5.16953746E-29
43 1.95191474E-16 6.99844843E-29 1.41720965E-16 3.64986757E-29 8.73498916E-20 5.12280667E-29
44 2.07956959E-16 7.54169113E-29 1.36439655E-16 3.48724040E-29 9.88683369E-12 5.32588805E-29
45 2.17797622E-16 7.85090449E-29 1.32567445E-16 3.40530517E-29 6.03128002E-16 5.53448930E-29
