#int_mass winds winds_init rlof rlof_init cc cc_init
11 4.21194446E-01 1.88848239E-01 2.18400416E+00 1.91211707E+00 1.16554258E+00 4.85990820E-01
12 5.39702145E-01 2.33034782E-01 2.30340220E+00 2.02692199E+00 1.24647975E+00 5.75582029E-01
13 6.79513957E-01 2.85450049E-01 2.41598006E+00 2.13405124E+00 1.28268282E+00 6.76779282E-01
14 8.38513344E-01 3.45708570E-01 2.52509976E+00 2.23416848E+00 1.34821769E+00 7.37508081E-01
15 1.01677075E+00 4.13817091E-01 2.62768535E+00 2.32678323E+00 1.32287408E+00 8.44058558E-01
16 1.17301153E+00 4.77415493E-01 2.78647946E+00 2.43328840E+00 1.32762938E+00 9.29540363E-01
17 1.43121435E+00 5.70533895E-01 2.86314363E+00 2.51042823E+00 1.30358748E+00 1.02801490E+00
18 1.66023704E+00 6.52466547E-01 3.07202685E+00 2.62920385E+00 1.30275110E+00 1.09133847E+00
19 1.85824810E+00 7.27591289E-01 3.33833586E+00 2.76062636E+00 1.18622304E+00 1.15824168E+00
20 1.16655247E+00 5.61366368E-01 3.67629483E+00 2.90741342E+00 1.39005099E+00 1.46287915E+00
21 1.43183865E+00 6.88002498E-01 3.87744233E+00 2.97306916E+00 1.35127385E+00 1.51727400E+00
22 9.24445877E-01 6.52332607E-01 3.63147266E+00 2.76308387E+00 2.29963368E+00 1.99148741E+00
23 1.02652917E+00 7.24059896E-01 3.83872321E+00 2.89880042E+00 2.10760130E+00 2.00600690E+00
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 3.16466435E+00 1.44124105E+00 3.97716043E+00 3.03800061E+00 8.49368566E-01 1.97327838E+00
27 1.94690205E+00 1.29204576E+00 3.64951397E+00 2.70171153E+00 2.55513986E+00 2.71724312E+00
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 3.79052944E+00 2.01313454E+00 3.76071900E+00 2.78572191E+00 1.33130079E+00 2.79228450E+00
31 2.85395690E+00 1.81266499E+00 3.86996637E+00 2.84054276E+00 2.25233392E+00 3.14320123E+00
32 5.39950602E+00 2.50131404E+00 3.91979366E+00 2.93420033E+00 3.53393098E-01 2.58060036E+00
33 5.82272710E+00 2.70492251E+00 3.87844772E+00 2.93660274E+00 2.71417047E-01 2.63734092E+00
34 6.17926564E+00 2.89221651E+00 3.72135335E+00 2.82025505E+00 2.57620038E-01 2.85286316E+00
35 6.41453664E+00 3.11292422E+00 3.95369660E+00 2.93245399E+00 2.88201638E-01 2.78777883E+00
36 6.68641177E+00 3.28378158E+00 4.27916959E+00 2.96190673E+00 2.76793132E-01 2.86311577E+00
37 7.11256313E+00 3.62792406E+00 3.40624594E+00 2.78292399E+00 2.64405576E-01 2.97521169E+00
38 7.37223839E+00 3.81518047E+00 3.41114984E+00 2.75872997E+00 1.60770991E-01 3.11525584E+00
39 7.68367427E+00 4.02669987E+00 3.39098399E+00 2.72104096E+00 1.92467352E-01 3.21810742E+00
40 7.95414153E+00 4.21909706E+00 3.36772207E+00 2.68077839E+00 1.95039252E-01 3.31302918E+00
41 8.23913902E+00 4.42155251E+00 3.34319530E+00 2.63817656E+00 1.83381995E-01 3.39884084E+00
42 8.56346430E+00 4.64013606E+00 3.31157014E+00 2.59079251E+00 1.83968271E-01 3.58587846E+00
43 8.86626418E+00 4.85451274E+00 3.26607002E+00 2.53175097E+00 2.85003243E-01 3.55346339E+00
44 9.47099851E+00 5.23133607E+00 3.14764110E+00 2.41894373E+00 1.73079377E-01 3.69433191E+00
45 9.77754796E+00 5.44582363E+00 3.11160798E+00 2.36210890E+00 2.02630235E-01 3.83902934E+00
