#intial_mass winds winds_init cc cc_init
11 4.72156883E-01 4.39955587E-01 2.99120110E+00 2.10280264E+00
12 6.43580873E-01 5.99396677E-01 3.05013011E+00 2.18559927E+00
13 8.52719459E-01 7.93061639E-01 3.07797120E+00 2.27403663E+00
14 1.10399966E+00 1.02395067E+00 3.05530111E+00 2.26767053E+00
15 1.39853119E+00 1.29259623E+00 2.98154562E+00 2.22711895E+00
16 1.74080773E+00 1.60288642E+00 2.85890238E+00 2.21468994E+00
17 2.05340334E+00 1.86384401E+00 2.79201373E+00 2.28012404E+00
18 2.37630873E+00 2.12519459E+00 2.70108141E+00 2.27146723E+00
19 2.60692442E+00 2.26794651E+00 2.76681931E+00 2.41983252E+00
20 2.71963036E+00 2.26308288E+00 3.04455648E+00 2.64481425E+00
21 2.98496028E+00 2.40103730E+00 3.18460646E+00 2.76611482E+00
22 3.42510983E+00 2.71024542E+00 3.14143383E+00 2.74379998E+00
23 4.09176837E+00 3.20818877E+00 2.77720405E+00 2.35619450E+00
24 4.38292586E+00 3.40443584E+00 2.70063303E+00 2.49518146E+00
25 4.25052905E+00 3.30712149E+00 3.20572406E+00 2.87491464E+00
26 4.82150078E+00 3.77380643E+00 2.18819070E+00 2.64632835E+00
27 5.11337407E+00 3.91223453E+00 2.37732991E+00 2.78199188E+00
28 5.54573438E+00 4.05376831E+00 2.58684196E+00 2.90776755E+00
29 5.76076155E+00 4.19070073E+00 2.63013019E+00 3.06127637E+00
30 5.81715266E+00 4.22441705E+00 2.90150876E+00 3.29360480E+00
31 5.94833068E+00 4.37850068E+00 2.58776627E+00 3.38491795E+00
32 6.31097220E+00 4.51819543E+00 2.70925281E+00 3.49940360E+00
33 7.46563204E+00 4.94655990E+00 1.54308931E+00 3.31431829E+00
34 7.65679793E+00 5.03409217E+00 1.57437678E+00 3.52969489E+00
35 8.30431046E+00 5.29403639E+00 1.16751037E+00 3.56174463E+00
36 9.22019871E+00 5.60734855E+00 7.97923333E-01 3.44943672E+00
37 9.20351847E+00 5.70220092E+00 1.19095885E-01 3.62732245E+00
38 9.47053789E+00 5.86133988E+00 1.16357855E-01 3.72378966E+00
39 9.75771067E+00 6.03611992E+00 1.33142548E-01 3.80827762E+00
40 1.00373228E+01 6.20143284E+00 2.62064164E-01 3.92748463E+00
41 1.03301170E+01 6.37946164E+00 1.71721959E-01 4.14256732E+00
42 1.06276913E+01 6.56764240E+00 1.97180807E-01 4.17728341E+00
43 1.09269108E+01 6.74804850E+00 1.74168250E-01 4.27096967E+00
44 1.12294212E+01 6.93576440E+00 2.09912944E-01 4.42817693E+00
45 1.15210804E+01 7.11260423E+00 1.31440493E-01 4.49701792E+00
