#intial_mass winds winds_init cc cc_init
11 6.26346968E-10 6.33811530E-10 4.91513192E-06 3.02935250E-09
12 8.54608977E-10 8.63506535E-10 3.15051258E-06 3.14863150E-09
13 1.13208458E-09 1.14250535E-09 1.79703005E-05 3.27603666E-09
14 1.46307195E-09 1.47513013E-09 1.67462643E-06 3.26686549E-09
15 1.84835200E-09 1.86214794E-09 2.62822669E-06 3.20844584E-09
16 2.29350199E-09 2.30916011E-09 3.60707914E-06 3.19054027E-09
17 2.66832326E-09 2.68510245E-09 3.31453545E-06 3.28480636E-09
18 3.04385462E-09 3.06161093E-09 1.70239144E-05 3.27233512E-09
19 3.24958001E-09 3.26726308E-09 3.48764439E-06 3.48607404E-09
20 3.24372391E-09 3.26025640E-09 3.52111264E-06 3.81018861E-09
21 3.44246022E-09 3.45899716E-09 4.13233941E-06 3.98493738E-09
22 3.88671207E-09 3.90445047E-09 5.20926198E-06 3.95279005E-09
23 4.60178573E-09 4.62180068E-09 5.92748058E-06 3.39439545E-09
24 4.88428440E-09 4.90451934E-09 1.34691110E-05 3.59462369E-09
25 4.74554135E-09 4.76432574E-09 5.83914294E-06 4.14167725E-09
26 5.41619399E-09 5.43664429E-09 7.55090209E-06 3.81236987E-09
27 5.61572769E-09 5.63606743E-09 7.92787638E-06 4.00781030E-09
28 5.81966431E-09 5.83996469E-09 7.94686363E-06 4.18900601E-09
29 6.01699083E-09 6.03723312E-09 8.62279870E-06 4.41015484E-09
30 6.06611615E-09 6.08580574E-09 9.31960647E-06 4.74485325E-09
31 6.28806799E-09 6.30778264E-09 1.09915806E-05 4.87640136E-09
32 6.48929998E-09 6.50903055E-09 1.10934745E-05 5.04133239E-09
33 7.10510009E-09 7.12614362E-09 1.08039316E-05 4.77469365E-09
34 7.23144504E-09 7.25224489E-09 1.11077635E-05 5.08497081E-09
35 7.60565528E-09 7.62672734E-09 1.24101132E-05 5.13114251E-09
36 8.05957368E-09 8.07809304E-09 1.12797290E-05 4.96934879E-09
37 3.35311898E-08 8.21473985E-09 1.20983447E-05 5.22561562E-09
38 8.42560300E-08 8.44399960E-09 1.24995732E-05 5.36458882E-09
39 1.56994415E-07 8.69579228E-09 1.29039170E-05 5.48630438E-09
40 2.14675750E-07 8.93394641E-09 2.38393144E-05 5.65803712E-09
41 2.92911092E-07 9.19041935E-09 1.37579761E-05 5.96789088E-09
42 3.87170582E-07 9.46151747E-09 2.18970862E-05 6.01790377E-09
43 4.67027298E-07 9.72141523E-09 1.45138894E-05 6.15287066E-09
44 5.62206709E-07 9.99184366E-09 1.46810566E-05 6.37934754E-09
45 6.39730857E-07 1.02466037E-08 1.58736467E-05 6.47852168E-09
