#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.30165918E-99 7.09866643E-100 1.83570544E-98 7.18750744E-99 6.85040282E-09 1.82680375E-99
12 1.77570127E-91 8.75960607E-100 3.14984586E-98 7.61905068E-99 2.33506127E-08 2.16357052E-99
13 5.44338296E-95 1.07298574E-99 3.81210419E-98 8.02174168E-99 3.05744296E-08 2.54396355E-99
14 2.52637806E-94 1.29949309E-99 3.95400192E-98 8.39807501E-99 1.35654974E-08 2.77223864E-99
15 3.37842655E-94 1.55550801E-99 4.88481976E-98 8.74620705E-99 1.43789131E-08 3.17275405E-99
16 1.75448952E-81 1.79456973E-99 4.84299396E-98 9.14655215E-99 1.71173963E-08 3.49407386E-99
17 1.86999302E-80 2.14459495E-99 5.11940626E-98 9.43651509E-99 2.67636121E-08 3.86423242E-99
18 1.01974541E-78 2.45257377E-99 4.90473145E-98 9.88298393E-99 7.74311873E-08 4.10226105E-99
19 9.00359701E-79 2.73496214E-99 5.14595891E-98 1.03769915E-98 9.85607577E-08 4.35374529E-99
20 8.05900808E-77 2.11013489E-99 4.83668826E-98 1.09287532E-98 2.23024308E-08 5.49885516E-99
21 1.44177342E-83 2.58615079E-99 4.42137971E-98 1.11755483E-98 3.02485528E-08 5.70332139E-99
22 3.23757231E-99 2.45207030E-99 6.12021590E-98 1.03862290E-98 3.37115088E-08 7.48585472E-99
23 5.02961166E-99 2.72168790E-99 5.04304243E-98 1.08963776E-98 4.30301898E-08 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 2.91549963E-91 5.41751911E-99 5.44364413E-98 1.14196209E-98 4.34110405E-08 7.41740831E-99
27 8.45146780E-99 4.85670498E-99 5.06455529E-98 1.01555349E-98 8.78855667E-07 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.74712019E-97 7.56722468E-99 4.47737520E-98 1.04713238E-98 1.48713133E-08 1.04959921E-98
31 1.67687893E-98 6.81367439E-99 4.89531226E-98 1.06773913E-98 7.24823987E-08 1.18150622E-98
32 1.17053404E-81 9.40225550E-99 5.04478941E-98 1.10294432E-98 9.23640185E-08 9.70028696E-99
33 1.40220136E-81 1.01676048E-98 5.41208612E-98 1.10384737E-98 1.76945092E-07 9.91357055E-99
34 1.36513229E-85 1.08716292E-98 7.37379830E-98 1.06011313E-98 8.51579772E-08 1.07237028E-98
35 6.43258124E-81 1.17012532E-98 7.25554972E-98 1.10228789E-98 8.36572479E-08 1.04790556E-98
36 1.09324547E-75 1.23434934E-98 4.86611149E-98 1.11335896E-98 7.39217158E-08 1.07622416E-98
37 9.44800765E-77 1.36370997E-98 7.93132988E-98 1.04608066E-98 7.87786465E-08 1.11836019E-98
38 3.12854449E-56 1.43409828E-98 4.35515797E-98 1.03698631E-98 1.50403913E-08 1.17100176E-98
39 7.94979875E-75 1.51360687E-98 4.51039714E-98 1.02281929E-98 1.79600589E-08 1.20966291E-98
40 1.96956454E-76 1.58592756E-98 4.40788353E-98 1.00768488E-98 1.89193573E-08 1.24534330E-98
41 1.00596900E-75 1.66202907E-98 4.04770463E-98 9.91671168E-99 1.85000650E-08 1.27759928E-98
42 1.85878650E-76 1.74419302E-98 3.35023341E-98 9.73859850E-99 1.66543466E-08 1.34790534E-98
43 7.07174434E-76 1.82477564E-98 3.51485219E-98 9.51666572E-99 1.97021502E-08 1.33572075E-98
44 8.79189132E-76 1.96642076E-98 2.39810209E-98 9.09263158E-99 1.84075115E-08 1.38867220E-98
45 2.70028390E-75 2.04704505E-98 2.32429694E-98 8.87899365E-99 2.29273520E-08 1.44306289E-98
