#int_mass winds winds_init rlof rlof_init cc cc_init
11 9.37989171E-10 6.12734193E-09 3.11022771E-16 6.20402665E-08 3.63370511E-22 1.57683860E-08
12 1.01211077E-09 7.56101194E-09 7.97471456E-16 6.57652098E-08 7.28402837E-20 1.86752491E-08
13 1.08787852E-09 9.26166990E-09 2.80135270E-15 6.92411098E-08 1.98218703E-20 2.19586801E-08
14 1.16484706E-09 1.12168089E-08 2.85061194E-14 7.24894988E-08 1.77881019E-21 2.39290777E-08
15 1.24645064E-09 1.34266479E-08 1.79749245E-13 7.54944633E-08 3.84937968E-21 2.73861987E-08
16 1.34137582E-09 1.54901522E-08 5.12536887E-13 7.89501142E-08 5.48232521E-21 3.01597286E-08
17 1.43801691E-09 1.85114580E-08 1.41901614E-12 8.14529816E-08 6.15362012E-21 3.33548190E-08
18 1.52399888E-09 2.11698327E-08 3.73875836E-12 8.53067579E-08 1.24078035E-21 3.54094060E-08
19 1.60695032E-09 2.36073189E-08 1.38505177E-11 8.95708729E-08 9.08672989E-22 3.75801375E-08
20 1.69236497E-09 1.82140098E-08 1.91454215E-10 9.43335041E-08 1.67876573E-20 4.74643599E-08
21 1.77754568E-09 2.23228269E-08 4.91267224E-10 9.64637607E-08 2.35731908E-21 4.92292470E-08
22 1.85874834E-09 2.11654869E-08 1.11051978E-10 8.96506089E-08 1.36265029E-14 6.46155049E-08
23 1.94283964E-09 2.34927399E-08 4.07391833E-10 9.40540481E-08 2.01552015E-15 6.50866019E-08
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 2.19346166E-09 4.67622931E-08 5.63118796E-11 9.85705166E-08 2.10580210E-21 6.40246974E-08
27 2.27711889E-09 4.19215248E-08 1.18984356E-09 8.76593312E-08 3.47214184E-14 8.81632668E-08
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 2.56293936E-09 6.53178643E-08 5.15798735E-10 9.03851193E-08 2.35795050E-19 9.05980482E-08
31 2.62239552E-09 5.88134591E-08 9.48198634E-10 9.21638287E-08 5.60524225E-15 1.01983840E-07
32 2.71107544E-09 8.11572638E-08 1.06197606E-09 9.52026281E-08 2.52281681E-20 8.37297761E-08
33 2.80305650E-09 8.77635142E-08 1.80749010E-09 9.52805765E-08 4.27563244E-20 8.55707718E-08
34 2.89074161E-09 9.38404275E-08 1.44581461E-09 9.15055766E-08 1.17238597E-19 9.25635744E-08
35 2.97904180E-09 1.01001477E-07 4.46536394E-10 9.51459668E-08 1.41153834E-19 9.04518579E-08
36 3.07161125E-09 1.06545089E-07 9.15586801E-10 9.61015861E-08 1.42734504E-19 9.28962293E-08
37 3.15427211E-09 1.17711085E-07 7.24717995E-13 9.02943384E-08 2.12232280E-19 9.65332766E-08
38 3.24333775E-09 1.23786779E-07 7.52463786E-13 8.95093430E-08 1.50913376E-20 1.01077129E-07
39 3.33287937E-09 1.30649706E-07 7.44748622E-13 8.82864910E-08 3.56069858E-21 1.04414235E-07
40 3.41979427E-09 1.36892197E-07 7.21867466E-13 8.69801377E-08 3.96900996E-21 1.07494053E-07
41 3.50602900E-09 1.43461036E-07 6.97066725E-13 8.55978850E-08 3.35787550E-21 1.10278285E-07
42 3.59198773E-09 1.50553166E-07 6.68093700E-13 8.40604690E-08 1.93740570E-21 1.16346880E-07
43 3.68162756E-09 1.57508800E-07 6.21461432E-13 8.21448162E-08 2.94683066E-21 1.15295145E-07
44 3.76569882E-09 1.69735153E-07 5.24194405E-13 7.84846890E-08 3.86439826E-13 1.19865745E-07
45 3.85384523E-09 1.76694385E-07 4.84906720E-13 7.66406347E-08 1.91289926E-21 1.24560576E-07
