#intial_mass winds winds_init cc cc_init
11 9.37989195E-10 1.42747337E-08 1.42607549E-16 6.82272222E-08
12 1.01211085E-09 1.94479356E-08 3.76727772E-16 7.09136295E-08
13 1.08787907E-09 2.57315602E-08 1.43974467E-15 7.37830547E-08
14 1.16485841E-09 3.32229516E-08 1.50479373E-14 7.35765012E-08
15 1.24653464E-09 4.19393852E-08 7.40865093E-14 7.22607709E-08
16 1.34158645E-09 5.20070147E-08 1.37681995E-13 7.18575009E-08
17 1.43869051E-09 6.04740062E-08 2.81032821E-13 7.39805662E-08
18 1.52582588E-09 6.89537482E-08 5.42935825E-13 7.36996885E-08
19 1.61249858E-09 7.35854557E-08 1.57752328E-12 7.85135266E-08
20 1.73926247E-09 7.34276510E-08 1.78474509E-11 8.58132506E-08
21 2.10222205E-09 7.79036998E-08 1.12647260E-10 8.97489507E-08
22 5.69496128E-09 8.79362206E-08 8.01479631E-10 8.90249269E-08
23 2.04980892E-09 1.04092416E-07 1.32694616E-12 7.64487369E-08
24 2.20203276E-09 1.10459820E-07 3.12110667E-13 8.09582871E-08
25 2.38793412E-09 1.07302373E-07 5.15840041E-13 9.32790535E-08
26 2.24458195E-09 1.22444363E-07 1.90850845E-15 8.58623769E-08
27 2.63927061E-09 1.26935781E-07 4.26633042E-15 9.02640956E-08
28 5.68893118E-09 1.31527965E-07 2.86321661E-14 9.43449941E-08
29 6.85739308E-09 1.35970854E-07 2.85948060E-14 9.93257186E-08
30 5.46868229E-09 1.37064809E-07 5.57869682E-14 1.06863812E-07
31 3.49380320E-09 1.42064183E-07 8.28719241E-14 1.09826545E-07
32 5.67139030E-09 1.46596698E-07 4.26095124E-14 1.13541130E-07
33 5.49477561E-09 1.60495348E-07 2.39141735E-20 1.07535879E-07
34 3.89996523E-09 1.63335407E-07 6.94419698E-20 1.14523956E-07
35 5.17741386E-09 1.71769519E-07 8.57221663E-21 1.15563838E-07
36 4.01863330E-09 1.81935199E-07 1.24380574E-20 1.11919912E-07
37 3.15398648E-09 1.85012765E-07 6.71354051E-21 1.17691566E-07
38 3.24307190E-09 1.90176164E-07 4.34594804E-21 1.20821526E-07
39 3.33242045E-09 1.95847051E-07 4.33702491E-21 1.23562810E-07
40 3.41933185E-09 2.01210769E-07 2.98954977E-21 1.27430583E-07
41 3.50555983E-09 2.06987065E-07 2.08092752E-21 1.34409124E-07
42 3.59146314E-09 2.13092750E-07 1.18706963E-21 1.35535517E-07
43 3.68117185E-09 2.18946180E-07 3.55410121E-21 1.38575248E-07
44 3.76629916E-09 2.25036782E-07 2.38623405E-21 1.43675971E-07
45 3.85455452E-09 2.30774501E-07 1.86378552E-21 1.45909576E-07
