#int_mass winds winds_init rlof rlof_init cc cc_init
11 3.11458566E-04 3.11439710E-04 3.15338922E-03 3.15337430E-03 7.50587353E-03 8.01473397E-04
12 3.84341566E-04 3.84310095E-04 3.34272269E-03 3.34270522E-03 7.31714396E-02 9.49223041E-04
13 4.70800088E-04 4.70750909E-04 3.51939793E-03 3.51937779E-03 2.15718061E-02 1.11611283E-03
14 5.70198548E-04 5.70126452E-04 3.68450962E-03 3.68448647E-03 1.10381724E-01 1.21626394E-03
15 6.82548398E-04 6.82447848E-04 3.83724879E-03 3.83722240E-03 9.12360991E-02 1.39198201E-03
16 7.87459034E-04 7.87331368E-04 4.01289991E-03 4.01286576E-03 1.18186890E-01 1.53295462E-03
17 9.41072741E-04 9.40897893E-04 4.14011782E-03 4.14008117E-03 2.25679947E-01 1.69535424E-03
18 1.07623511E-03 1.07601740E-03 4.33601020E-03 4.33596039E-03 2.34833758E-01 1.79978451E-03
19 1.20016248E-03 1.19990962E-03 4.55276662E-03 4.55269625E-03 2.11630240E-01 1.91011816E-03
20 9.25905972E-04 9.25779237E-04 4.79487245E-03 4.79477063E-03 1.29026962E-01 2.41251208E-03
21 1.13479937E-03 1.13462164E-03 4.90317684E-03 4.90304702E-03 1.47875796E-01 2.50221753E-03
22 1.07584212E-03 1.07579652E-03 4.55688513E-03 4.55674906E-03 1.15238883E-01 3.28426817E-03
23 1.19413762E-03 1.19408581E-03 4.78071882E-03 4.78056647E-03 1.18192695E-01 3.30821303E-03
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 2.37733891E-03 2.37682753E-03 5.01029763E-03 5.01012893E-03 1.69047168E-01 3.25423869E-03
27 2.13091537E-03 2.13078161E-03 4.45572040E-03 4.45553667E-03 2.68124005E-01 4.48115064E-03
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 3.32053424E-03 3.31996760E-03 4.59428230E-03 4.59408266E-03 3.67711377E-01 4.60490538E-03
31 2.98960528E-03 2.98936257E-03 4.68471298E-03 4.68449066E-03 2.68061628E-01 5.18362088E-03
32 4.12611112E-03 4.12505046E-03 4.83915816E-03 4.83894635E-03 2.72069686E-01 4.25580577E-03
33 4.46224395E-03 4.46083207E-03 4.84311797E-03 4.84290829E-03 3.17450434E-01 4.34937965E-03
34 4.77106515E-03 4.76970860E-03 4.65123971E-03 4.65103311E-03 2.53240786E-01 4.70480888E-03
35 5.13605620E-03 5.13368946E-03 4.83630492E-03 4.83606637E-03 2.54629777E-01 4.59747484E-03
36 5.41799489E-03 5.41545944E-03 4.88495767E-03 4.88463846E-03 2.31098349E-01 4.72171702E-03
37 5.98693744E-03 5.98300318E-03 4.58961248E-03 4.58946846E-03 2.26242175E-01 4.90658037E-03
38 6.29584753E-03 6.29181771E-03 4.54972287E-03 4.54956882E-03 3.91746532E-01 5.13753466E-03
39 6.64482096E-03 6.64064564E-03 4.48757541E-03 4.48741386E-03 3.95437945E-01 5.30715268E-03
40 6.96206570E-03 6.95793812E-03 4.42118373E-03 4.42101471E-03 3.90670791E-01 5.46369322E-03
41 7.29592462E-03 7.29181821E-03 4.35093461E-03 4.35075776E-03 4.03438297E-01 5.60520982E-03
42 7.65641874E-03 7.65229601E-03 4.27279841E-03 4.27261419E-03 4.16175526E-01 5.91366353E-03
43 8.00980734E-03 8.00583603E-03 4.17543679E-03 4.17524564E-03 2.97242545E-01 5.86020611E-03
44 8.63180908E-03 8.62727549E-03 3.98940249E-03 3.98920919E-03 4.28412860E-01 6.09251991E-03
45 8.98534631E-03 8.98099838E-03 3.89568196E-03 3.89547985E-03 4.01827215E-01 6.33114816E-03
