#intial_mass winds winds_init cc cc_init
11 1.13158332E-04 1.09501188E-04 2.31899192E-03 5.23369617E-04
12 1.53980741E-04 1.49184714E-04 2.19202030E-03 5.43976993E-04
13 2.03564412E-04 1.97386269E-04 5.96890979E-03 5.65988294E-04
14 2.62729272E-04 2.54852578E-04 8.87680216E-03 5.64403827E-04
15 3.31641200E-04 3.21716161E-04 7.69348948E-03 5.54310886E-04
16 4.11373756E-04 3.98944739E-04 1.15895709E-02 5.51217410E-04
17 4.79260023E-04 4.63894857E-04 2.20297399E-02 5.67503401E-04
18 5.47522333E-04 5.28942783E-04 2.09379607E-02 5.65348794E-04
19 5.86543908E-04 5.64472516E-04 2.54567388E-02 6.02275647E-04
20 5.88570977E-04 5.63261999E-04 2.83057861E-02 6.58271679E-04
21 6.27109545E-04 5.97597678E-04 3.06704602E-02 6.88462354E-04
22 7.08019885E-04 6.74556938E-04 3.31195384E-02 6.82908382E-04
23 8.41659803E-04 7.98490785E-04 3.57774466E-02 5.86436688E-04
24 8.95538421E-04 8.47335003E-04 1.78751088E-02 6.21029354E-04
25 8.73848645E-04 8.23114293E-04 2.10754220E-02 7.15541700E-04
26 9.83475877E-04 9.39268190E-04 4.00133783E-02 6.58648526E-04
27 1.02241739E-03 9.73721762E-04 4.35788679E-02 6.92414020E-04
28 1.06524638E-03 1.00894831E-03 4.69591616E-02 7.23718508E-04
29 1.10137275E-03 1.04302962E-03 4.99169209E-02 7.61925544E-04
30 1.11437682E-03 1.05142133E-03 6.05687917E-02 8.19750106E-04
31 1.15231741E-03 1.08977142E-03 6.59123664E-02 8.42477167E-04
32 1.19295615E-03 1.12454025E-03 7.62389752E-02 8.70971670E-04
33 1.29274213E-03 1.23115651E-03 6.04802286E-02 8.24905517E-04
34 1.31663664E-03 1.25294255E-03 6.76043572E-02 8.78510912E-04
35 1.38123760E-03 1.31764044E-03 8.40529749E-02 8.86487820E-04
36 1.45904331E-03 1.39562116E-03 8.05722280E-02 8.58535340E-04
37 1.51852254E-03 1.41922911E-03 9.41917873E-02 9.02809577E-04
38 1.63609947E-03 1.45883744E-03 9.85664180E-02 9.26819443E-04
39 1.77935784E-03 1.50233869E-03 1.00523172E-01 9.47847774E-04
40 1.90090658E-03 1.54348367E-03 9.31113477E-02 9.77517381E-04
41 2.04632389E-03 1.58779352E-03 1.05201760E-01 1.03104963E-03
42 2.20880155E-03 1.63463010E-03 1.05483256E-01 1.03969016E-03
43 2.35672320E-03 1.67953164E-03 1.08932080E-01 1.06300787E-03
44 2.52170371E-03 1.72625252E-03 1.06330664E-01 1.10213542E-03
45 2.67082988E-03 1.77026645E-03 1.10987572E-01 1.11926935E-03
