#intial_mass winds winds_init cc cc_init
11 1.32012311E-98 1.65376070E-99 2.11797098E-07 7.90428047E-99
12 2.30966999E-98 2.25308803E-99 1.95253222E-07 8.21550693E-99
13 2.89917841E-98 2.98106037E-99 2.98561465E-06 8.54793643E-99
14 3.20850279E-98 3.84895528E-99 3.00077028E-07 8.52400674E-99
15 3.64726180E-98 4.85877415E-99 3.01573013E-07 8.37157635E-99
16 4.82092265E-98 6.02513216E-99 3.26568961E-07 8.32485659E-99
17 5.08117934E-98 7.00605258E-99 3.51741322E-07 8.57081859E-99
18 7.64111902E-98 7.98845017E-99 3.74354188E-07 8.53827826E-99
19 1.25328333E-97 8.52504413E-99 1.94830432E-07 9.09597247E-99
20 3.08754715E-97 8.50676209E-99 2.57166961E-07 9.94166227E-99
21 2.16430763E-97 9.02532263E-99 1.11848532E-07 1.03976222E-98
22 1.55620709E-97 1.01876132E-98 1.49808661E-07 1.03137424E-98
23 1.73329110E-97 1.20593456E-98 2.23272521E-07 8.85676184E-99
24 1.81244109E-97 1.27970239E-98 8.16102312E-07 9.37920360E-99
25 1.49499264E-97 1.24312264E-98 6.87241798E-07 1.08065927E-98
26 4.55054984E-77 1.41854608E-98 4.30800224E-07 9.94735366E-99
27 1.94459394E-97 1.47058019E-98 4.11449289E-07 1.04573029E-98
28 1.59090692E-97 1.52378169E-98 4.08028461E-07 1.09300844E-98
29 1.19711798E-97 1.57525359E-98 3.60667868E-07 1.15071127E-98
30 1.72961488E-97 1.58792730E-98 2.26276553E-07 1.23804182E-98
31 1.77542249E-97 1.64584620E-98 1.86216804E-07 1.27236576E-98
32 1.96612648E-97 1.69835643E-98 1.75278589E-07 1.31540008E-98
33 5.92739881E-44 1.85937549E-98 4.75586796E-07 1.24582787E-98
34 1.05855975E-43 1.89227822E-98 5.07454686E-07 1.32678635E-98
35 3.52122182E-40 1.98998935E-98 1.67754746E-07 1.33883361E-98
36 2.09354197E-39 2.10776108E-98 3.78008518E-07 1.29661790E-98
37 2.30542367E-50 2.14341539E-98 2.04058795E-07 1.36348383E-98
38 3.51900168E-49 2.20323456E-98 1.80452346E-07 1.39974515E-98
39 1.81942642E-47 2.26893308E-98 1.86567712E-07 1.43150355E-98
40 3.01129811E-45 2.33107300E-98 4.24176267E-07 1.47631259E-98
41 1.18478059E-48 2.39799271E-98 2.99287882E-07 1.55716059E-98
42 1.11718951E-48 2.46872848E-98 3.00501630E-07 1.57021011E-98
43 3.25905508E-48 2.53654180E-98 3.12615580E-07 1.60542609E-98
44 2.29602781E-48 2.60710283E-98 1.81950953E-07 1.66451914E-98
45 7.30467924E-45 2.67357562E-98 2.36473542E-07 1.69039596E-98
