#int_mass winds winds_init rlof rlof_init cc cc_init
11 2.20974435E-99 7.09866643E-100 8.09569863E-99 7.18750744E-99 1.76574877E-07 1.82680375E-99
12 1.71696722E-99 8.75960607E-100 8.50363741E-99 7.61905068E-99 3.60238104E-07 2.16357052E-99
13 1.83462634E-99 1.07298574E-99 8.66071971E-99 8.02174168E-99 5.43933786E-07 2.54396355E-99
14 1.90470772E-99 1.29949309E-99 9.06823340E-99 8.39807501E-99 2.34818827E-09 2.77223864E-99
15 2.10474540E-99 1.55550801E-99 1.24082911E-98 8.74620705E-99 1.95682276E-07 3.17275405E-99
16 9.92023695E-86 1.79456973E-99 1.24499039E-98 9.14655215E-99 2.03713391E-07 3.49407386E-99
17 1.07466860E-84 2.14459495E-99 1.74716691E-98 9.43651509E-99 3.49944399E-09 3.86423242E-99
18 2.02617124E-84 2.45257377E-99 2.10510809E-98 9.88298393E-99 5.27877807E-09 4.10226105E-99
19 5.36321239E-83 2.73496214E-99 2.18351231E-98 1.03769915E-98 1.08663107E-08 4.35374529E-99
20 3.76071846E-84 2.11013489E-99 2.16621466E-98 1.09287532E-98 7.40308449E-08 5.49885516E-99
21 5.44384443E-94 2.58615079E-99 2.58760012E-98 1.11755483E-98 4.58277251E-08 5.70332139E-99
22 2.97686527E-99 2.45207030E-99 2.51550763E-98 1.03862290E-98 4.51250528E-13 7.48585472E-99
23 3.59812075E-99 2.72168790E-99 1.82097169E-98 1.08963776E-98 1.71155447E-08 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 7.87216098E-99 5.41751911E-99 3.17798615E-98 1.14196209E-98 3.86337512E-08 7.41740831E-99
27 8.34405359E-99 4.85670498E-99 2.74083938E-98 1.01555349E-98 8.02865268E-10 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.13734278E-98 7.56722468E-99 1.95363361E-98 1.04713238E-98 2.59554690E-08 1.04959921E-98
31 1.25871621E-98 6.81367439E-99 4.38858701E-98 1.06773913E-98 2.62141791E-08 1.18150622E-98
32 2.53972187E-93 9.40225550E-99 3.42923945E-98 1.10294432E-98 1.13128271E-07 9.70028696E-99
33 6.32352800E-86 1.01676048E-98 4.14079689E-98 1.10384737E-98 8.04778453E-08 9.91357055E-99
34 3.48972290E-91 1.08716292E-98 3.76495309E-98 1.06011313E-98 9.71288978E-08 1.07237028E-98
35 2.18035888E-85 1.17012532E-98 6.18545763E-98 1.10228789E-98 1.22109160E-07 1.04790556E-98
36 1.83351268E-75 1.23434934E-98 5.66117767E-98 1.11335896E-98 1.34323854E-07 1.07622416E-98
37 5.59650691E-81 1.36370997E-98 4.33405506E-98 1.04608066E-98 1.47016751E-07 1.11836019E-98
38 2.74210381E-64 1.43409828E-98 5.69127345E-98 1.03698631E-98 3.39805197E-08 1.17100176E-98
39 2.80831725E-79 1.51360687E-98 5.56562801E-98 1.02281929E-98 3.69992952E-08 1.20966291E-98
40 1.15595203E-80 1.58592756E-98 5.74692855E-98 1.00768488E-98 3.88862607E-08 1.24534330E-98
41 5.83014027E-80 1.66202907E-98 5.23225672E-98 9.91671168E-99 3.97100926E-08 1.27759928E-98
42 1.10960417E-80 1.74419302E-98 5.41417007E-98 9.73859850E-99 3.28614949E-08 1.34790534E-98
43 4.13370332E-80 1.82477564E-98 5.15792857E-98 9.51666572E-99 1.20107911E-08 1.33572075E-98
44 4.50205318E-80 1.96642076E-98 6.93321022E-98 9.09263158E-99 4.77365693E-08 1.38867220E-98
45 1.58075790E-79 2.04704505E-98 6.21618595E-98 8.87899365E-99 4.53219435E-08 1.44306289E-98
