#int_mass winds winds_init rlof rlof_init cc cc_init
11 4.09576202E-03 5.01740206E-04 1.81564808E-02 5.08019570E-03 8.72987790E-03 1.29120152E-03
12 5.25895516E-03 6.19136933E-04 1.90276100E-02 5.38521439E-03 6.77509748E-03 1.52923134E-03
13 6.60171001E-03 7.58396090E-04 1.99203562E-02 5.66984006E-03 5.99274347E-03 1.79809660E-03
14 8.10352478E-03 9.18493547E-04 2.08381907E-02 5.93583588E-03 7.98790466E-03 1.95944351E-03
15 9.76777786E-03 1.09944722E-03 2.17115559E-02 6.18189878E-03 5.20976645E-03 2.24253145E-03
16 1.11166559E-02 1.26841822E-03 2.32935924E-02 6.46486634E-03 5.14785489E-03 2.46964322E-03
17 1.34431312E-02 1.51581924E-03 2.40857078E-02 6.66981479E-03 6.28230696E-03 2.73127466E-03
18 1.51832882E-02 1.73350147E-03 2.66072325E-02 6.98538302E-03 4.90858826E-03 2.89951546E-03
19 1.64950018E-02 1.93309615E-03 2.97864926E-02 7.33455204E-03 1.35870540E-03 3.07726681E-03
20 9.55775991E-03 1.49146256E-03 3.36743479E-02 7.72454228E-03 5.07093833E-03 3.88664089E-03
21 1.19911372E-02 1.82791493E-03 3.60473487E-02 7.89897932E-03 4.26452024E-03 4.03115949E-03
22 7.89797189E-03 1.73314561E-03 3.23757556E-02 7.34108125E-03 1.05493176E-02 5.29107027E-03
23 8.66625813E-03 1.92371379E-03 3.51123242E-02 7.70165889E-03 3.06546653E-02 5.32964627E-03
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 2.81913754E-02 3.82915183E-03 3.77964086E-02 8.07149199E-03 4.72279228E-04 5.24269173E-03
27 1.79949364E-02 3.43276330E-03 3.39892269E-02 7.17802456E-03 9.30688351E-03 7.21928956E-03
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 3.59024641E-02 5.34858330E-03 3.80205499E-02 7.40122698E-03 1.09213606E-03 7.41866276E-03
31 2.60432205E-02 4.81596709E-03 3.83441395E-02 7.54687742E-03 2.83159252E-02 8.35099357E-03
32 4.83985206E-02 6.64559980E-03 4.05336468E-02 7.79571090E-03 3.23758209E-04 6.85625114E-03
33 5.17478816E-02 7.18655564E-03 3.93907728E-02 7.80209373E-03 5.39843423E-05 7.00700193E-03
34 5.56829890E-02 7.68416648E-03 3.83659677E-02 7.49297614E-03 6.48126357E-05 7.57961077E-03
35 5.46839203E-02 8.27055230E-03 4.33033825E-02 7.79107116E-03 5.45893270E-05 7.40669190E-03
36 5.64041554E-02 8.72449355E-03 4.77440391E-02 7.86932249E-03 6.45832178E-05 7.60685037E-03
37 5.69224199E-02 9.63882625E-03 4.05410030E-02 7.39379334E-03 9.45004084E-05 7.90467166E-03
38 5.84178586E-02 1.01363372E-02 4.18084257E-02 7.32951364E-03 6.69940555E-06 8.27674707E-03
39 6.02706055E-02 1.06983111E-02 4.27642429E-02 7.22937984E-03 7.00554481E-06 8.55000759E-03
40 6.22145923E-02 1.12094804E-02 4.36319741E-02 7.12240850E-03 6.18475206E-06 8.80219984E-03
41 6.40767541E-02 1.17473728E-02 4.46343974E-02 7.00922210E-03 5.36948960E-06 9.03018801E-03
42 6.61089499E-02 1.23281151E-02 4.56482004E-02 6.88333009E-03 6.75484724E-06 9.52711767E-03
43 6.82256750E-02 1.28976803E-02 4.64909959E-02 6.72646598E-03 1.54766972E-05 9.44099590E-03
44 7.27683717E-02 1.38988409E-02 4.58345824E-02 6.42675478E-03 5.91551519E-06 9.81526152E-03
45 7.48690086E-02 1.44687008E-02 4.69180515E-02 6.27575355E-03 5.97917897E-06 1.01996999E-02
