#intial_mass winds winds_init cc cc_init
11 2.60288617E-06 4.60337643E-06 2.50665952E-05 2.20022029E-05
12 3.45701682E-06 6.27165244E-06 1.36477824E-05 2.28685269E-05
13 4.49201672E-06 8.29802225E-06 3.60296074E-05 2.37938712E-05
14 5.72056051E-06 1.07138778E-05 3.38370614E-05 2.37272610E-05
15 7.13885060E-06 1.35247902E-05 1.34058158E-05 2.33029587E-05
16 8.76247143E-06 1.67714418E-05 1.03297308E-05 2.31729105E-05
17 1.00837517E-05 1.95019130E-05 4.68214148E-05 2.38575656E-05
18 1.13964885E-05 2.22364961E-05 1.34338358E-05 2.37669870E-05
19 1.20097976E-05 2.37301487E-05 4.92629359E-05 2.53193738E-05
20 1.18923008E-05 2.36792591E-05 5.26702389E-05 2.76734196E-05
21 1.26335081E-05 2.51227143E-05 1.10438371E-05 2.89426208E-05
22 1.45389922E-05 2.83580440E-05 8.62983413E-06 2.87091346E-05
23 1.74102674E-05 3.35681623E-05 6.03744762E-05 2.46535117E-05
24 1.81117917E-05 3.56215494E-05 1.19042232E-03 2.61077705E-05
25 1.85332184E-05 3.46033225E-05 1.32129074E-05 3.00810233E-05
26 1.94322311E-05 3.94863756E-05 2.06162854E-06 2.76892621E-05
27 2.00487283E-05 4.09347869E-05 2.58661296E-06 2.91087470E-05
28 2.06954749E-05 4.24156938E-05 4.99388407E-06 3.04247723E-05
29 2.14234743E-05 4.38484554E-05 2.83469544E-06 3.20309774E-05
30 2.17365115E-05 4.42012386E-05 2.96170895E-06 3.44618938E-05
31 2.25085682E-05 4.58134580E-05 1.42196665E-04 3.54173283E-05
32 2.30748244E-05 4.72751226E-05 1.27594547E-05 3.66152233E-05
33 2.40928816E-05 5.17572180E-05 1.64452567E-05 3.46786247E-05
34 2.46551449E-05 5.26730922E-05 1.97789524E-05 3.69321693E-05
35 2.53210986E-05 5.53929602E-05 7.02474564E-06 3.72675146E-05
36 2.61324776E-05 5.86712316E-05 1.29273972E-06 3.60924060E-05
37 2.66009024E-05 5.96636981E-05 6.94748949E-08 3.79536734E-05
38 2.71442476E-05 6.13288128E-05 7.25844545E-08 3.89630364E-05
39 2.76553772E-05 6.31575844E-05 3.78523065E-08 3.98470571E-05
40 2.81845481E-05 6.48872991E-05 4.46359790E-08 4.10943529E-05
41 2.86430846E-05 6.67500633E-05 4.41455483E-08 4.33448223E-05
42 2.90937511E-05 6.87190504E-05 4.17398950E-08 4.37080663E-05
43 2.95506945E-05 7.06066892E-05 4.41009469E-08 4.46883314E-05
44 2.99795759E-05 7.25708123E-05 1.49845855E-07 4.63332343E-05
45 3.03165304E-05 7.44211361E-05 6.50977946E-08 4.70535365E-05
