#int_mass winds winds_init rlof rlof_init cc cc_init
11 5.54517946E-53 7.09866643E-100 6.03356776E-98 7.18750744E-99 3.89369478E-08 1.82680375E-99
12 1.62790439E-43 8.75960607E-100 6.59781416E-98 7.61905068E-99 3.15125285E-07 2.16357052E-99
13 7.33215083E-42 1.07298574E-99 7.32257716E-98 8.02174168E-99 3.29480262E-07 2.54396355E-99
14 4.69494807E-41 1.29949309E-99 8.39729715E-98 8.39807501E-99 2.50218896E-07 2.77223864E-99
15 7.26532364E-41 1.55550801E-99 8.82851085E-98 8.74620705E-99 1.50475598E-06 3.17275405E-99
16 9.66416692E-40 1.79456973E-99 9.82211423E-98 9.14655215E-99 1.53053380E-06 3.49407386E-99
17 7.09317402E-41 2.14459495E-99 2.56940602E-80 9.43651509E-99 6.47345409E-07 3.86423242E-99
18 4.52717519E-41 2.45257377E-99 1.01009343E-71 9.88298393E-99 1.23618301E-06 4.10226105E-99
19 7.86234776E-40 2.73496214E-99 1.96069428E-72 1.03769915E-98 1.95393490E-06 4.35374529E-99
20 2.73156782E-32 2.11013489E-99 2.68305607E-70 1.09287532E-98 5.89220857E-06 5.49885516E-99
21 2.03162523E-36 2.58615079E-99 1.88729060E-92 1.11755483E-98 6.87133864E-06 5.70332139E-99
22 4.47239038E-86 2.45207030E-99 1.14801914E-97 1.03862290E-98 1.18662837E-05 7.48585472E-99
23 2.30399956E-72 2.72168790E-99 1.24774238E-97 1.08963776E-98 1.43003561E-05 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 3.37345094E-38 5.41751911E-99 1.36789502E-74 1.14196209E-98 1.14340705E-05 7.41740831E-99
27 3.51461160E-77 4.85670498E-99 1.31765713E-97 1.01555349E-98 6.44734611E-06 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 8.96367386E-37 7.56722468E-99 1.31114191E-97 1.04713238E-98 2.07822363E-06 1.04959921E-98
31 3.38230165E-41 6.81367439E-99 1.38162966E-97 1.06773913E-98 1.17496330E-05 1.18150622E-98
32 1.79401389E-36 9.40225550E-99 1.42226263E-97 1.10294432E-98 5.07772981E-06 9.70028696E-99
33 7.26307512E-36 1.01676048E-98 1.43815619E-97 1.10384737E-98 5.98378645E-06 9.91357055E-99
34 1.36284357E-35 1.08716292E-98 1.34578320E-97 1.06011313E-98 7.19772821E-06 1.07237028E-98
35 4.92177764E-36 1.17012532E-98 2.81267029E-74 1.10228789E-98 7.44628042E-06 1.04790556E-98
36 8.71098985E-36 1.23434934E-98 5.70927550E-43 1.11335896E-98 8.34155159E-06 1.07622416E-98
37 1.91830160E-35 1.36370997E-98 1.03153718E-97 1.04608066E-98 8.67470525E-06 1.11836019E-98
38 7.43209172E-36 1.43409828E-98 1.00309972E-97 1.03698631E-98 5.56755989E-06 1.17100176E-98
39 1.94034651E-32 1.51360687E-98 9.36691561E-98 1.02281929E-98 5.60560464E-06 1.20966291E-98
40 1.68794589E-35 1.58592756E-98 8.84064565E-98 1.00768488E-98 6.42126880E-06 1.24534330E-98
41 2.25958619E-34 1.66202907E-98 8.10961764E-98 9.91671168E-99 6.51186797E-06 1.27759928E-98
42 2.71808128E-35 1.74419302E-98 8.22430944E-98 9.73859850E-99 6.79039110E-06 1.34790534E-98
43 4.01323132E-33 1.82477564E-98 8.10315488E-98 9.51666572E-99 1.24261978E-05 1.33572075E-98
44 1.73014728E-32 1.96642076E-98 6.32643131E-98 9.09263158E-99 7.22887085E-06 1.38867220E-98
45 8.26508010E-35 2.04704505E-98 5.39916105E-98 8.87899365E-99 7.46975717E-06 1.44306289E-98
