#intial_mass winds winds_init cc cc_init
11 7.11115855E-05 4.83816412E-05 1.15096053E-03 2.31243893E-04
12 9.74373143E-05 6.59152782E-05 1.14775906E-03 2.40348987E-04
13 1.30198362E-04 8.72124931E-05 2.91241244E-03 2.50074387E-04
14 1.69570128E-04 1.12603216E-04 4.95809788E-03 2.49374311E-04
15 2.17162539E-04 1.42146000E-04 1.79530444E-03 2.44914880E-04
16 2.72692450E-04 1.76268418E-04 2.83993089E-03 2.43548069E-04
17 3.28155403E-04 2.04965762E-04 1.36793623E-02 2.50743817E-04
18 3.86152719E-04 2.33706322E-04 2.64895983E-02 2.49791833E-04
19 4.34647612E-04 2.49404661E-04 2.97050466E-02 2.66107471E-04
20 4.63242668E-04 2.48869810E-04 2.51299688E-02 2.90848572E-04
21 5.17642819E-04 2.64040572E-04 3.38684826E-02 3.04187919E-04
22 5.90464049E-04 2.98043996E-04 3.24035875E-02 3.01733971E-04
23 7.07375171E-04 3.52802515E-04 1.22065285E-02 2.59109238E-04
24 7.72238853E-04 3.74383683E-04 4.25596223E-03 2.74393547E-04
25 7.42550662E-04 3.63682084E-04 3.29510273E-03 3.16152567E-04
26 8.77292674E-04 4.15003136E-04 3.40854111E-02 2.91015076E-04
27 9.42073062E-04 4.30225988E-04 3.86232291E-02 3.05933910E-04
28 1.05010651E-03 4.45790369E-04 3.51505848E-02 3.19765381E-04
29 1.09568038E-03 4.60848742E-04 4.88392406E-02 3.36646651E-04
30 1.12495709E-03 4.64556505E-04 5.14094177E-02 3.62195663E-04
31 1.15263922E-03 4.81500985E-04 5.65712704E-02 3.72237312E-04
32 1.24098566E-03 4.96863129E-04 4.27036146E-02 3.84827229E-04
33 1.51045519E-03 5.43970103E-04 5.32395228E-02 3.64473513E-04
34 1.55591931E-03 5.53595972E-04 5.68491920E-02 3.88158343E-04
35 1.71394921E-03 5.82181876E-04 6.81388840E-02 3.91682833E-04
36 1.93718718E-03 6.16636618E-04 5.33518447E-02 3.79332402E-04
37 1.95994126E-03 6.27067474E-04 6.30906330E-02 3.98894384E-04
38 2.05073157E-03 6.44567886E-04 6.55904629E-02 4.09502823E-04
39 2.15930663E-03 6.63788337E-04 6.60182103E-02 4.18793911E-04
40 2.25663929E-03 6.81967697E-04 6.01119325E-02 4.31903032E-04
41 2.36650380E-03 7.01545412E-04 6.74268178E-02 4.55555541E-04
42 2.48762641E-03 7.22239532E-04 6.56209973E-02 4.59373247E-04
43 2.60064903E-03 7.42078679E-04 6.69838871E-02 4.69675867E-04
44 2.72085521E-03 7.62721679E-04 6.80242152E-02 4.86963851E-04
45 2.83134320E-03 7.82168645E-04 7.61519078E-02 4.94534252E-04
