#int_mass winds winds_init rlof rlof_init cc cc_init
11 7.26434777E-100 7.09866643E-100 9.74427582E-99 7.18750744E-99 1.85945697E-23 1.82680375E-99
12 1.11129112E-99 8.75960607E-100 1.44891234E-98 7.61905068E-99 1.05948730E-23 2.16357052E-99
13 1.71603390E-99 1.07298574E-99 1.79314856E-98 8.02174168E-99 7.97188592E-23 2.54396355E-99
14 1.73252407E-99 1.29949309E-99 1.96575623E-98 8.39807501E-99 1.34485294E-21 2.77223864E-99
15 1.52131551E-99 1.55550801E-99 2.12065155E-98 8.74620705E-99 4.88584945E-21 3.17275405E-99
16 1.76306142E-99 1.79456973E-99 2.07582300E-98 9.14655215E-99 6.54591049E-21 3.49407386E-99
17 2.07031834E-99 2.14459495E-99 2.18070373E-98 9.43651509E-99 5.37896740E-21 3.86423242E-99
18 2.38543616E-99 2.45257377E-99 2.56331951E-98 9.88298393E-99 1.04958330E-11 4.10226105E-99
19 2.59403806E-99 2.73496214E-99 2.79112791E-98 1.03769915E-98 4.85283333E-21 4.35374529E-99
20 1.05288041E-76 2.11013489E-99 2.89761897E-98 1.09287532E-98 4.07976489E-21 5.49885516E-99
21 2.55730953E-99 2.58615079E-99 3.72825719E-98 1.11755483E-98 4.83797863E-10 5.70332139E-99
22 2.44291431E-99 2.45207030E-99 2.41296416E-98 1.03862290E-98 3.52165946E-48 7.48585472E-99
23 2.84895780E-99 2.72168790E-99 2.76750207E-98 1.08963776E-98 2.17720274E-18 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 5.74321226E-99 5.41751911E-99 3.08636278E-98 1.14196209E-98 1.04813504E-12 7.41740831E-99
27 5.00085772E-99 4.85670498E-99 2.17396163E-98 1.01555349E-98 1.39611266E-32 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 8.18316101E-99 7.56722468E-99 2.88830519E-98 1.04713238E-98 2.19765608E-15 1.04959921E-98
31 1.03876166E-98 6.81367439E-99 1.92377155E-98 1.06773913E-98 8.76650328E-15 1.18150622E-98
32 9.91604606E-99 9.40225550E-99 1.85516619E-98 1.10294432E-98 4.55675772E-19 9.70028696E-99
33 1.07667662E-98 1.01676048E-98 2.95500106E-98 1.10384737E-98 2.96257770E-12 9.91357055E-99
34 1.19542545E-98 1.08716292E-98 2.51124351E-98 1.06011313E-98 3.41215186E-19 1.07237028E-98
35 1.39073346E-98 1.17012532E-98 2.41455656E-98 1.10228789E-98 8.09546152E-16 1.04790556E-98
36 1.39489297E-98 1.23434934E-98 1.95866416E-98 1.11335896E-98 7.58978060E-20 1.07622416E-98
37 1.69176942E-98 1.36370997E-98 2.20696572E-98 1.04608066E-98 5.35743056E-20 1.11836019E-98
38 1.70964875E-98 1.43409828E-98 2.24904386E-98 1.03698631E-98 6.41587110E-21 1.17100176E-98
39 1.78088753E-98 1.51360687E-98 2.84922298E-98 1.02281929E-98 8.68396297E-11 1.20966291E-98
40 1.63896198E-98 1.58592756E-98 2.68116139E-98 1.00768488E-98 1.22088975E-20 1.24534330E-98
41 1.72517850E-98 1.66202907E-98 2.51456466E-98 9.91671168E-99 2.45740195E-12 1.27759928E-98
42 1.83284936E-98 1.74419302E-98 2.30116889E-98 9.73859850E-99 2.14561604E-20 1.34790534E-98
43 1.86286725E-98 1.82477564E-98 2.17379541E-98 9.51666572E-99 4.37684820E-21 1.33572075E-98
44 1.97914864E-98 1.96642076E-98 2.21666576E-98 9.09263158E-99 1.34893637E-11 1.38867220E-98
45 2.13560036E-98 2.04704505E-98 2.11288762E-98 8.87899365E-99 5.11136047E-19 1.44306289E-98
