#intial_mass winds winds_init cc cc_init
11 7.13270281E-06 5.67801411E-06 2.42797737E-04 2.71385190E-05
12 9.83632638E-06 7.73574171E-06 5.67983356E-05 2.82070824E-05
13 1.31989561E-05 1.02351585E-05 3.86011900E-04 2.93484443E-05
14 1.73378560E-05 1.32149848E-05 4.74767654E-04 2.92662842E-05
15 2.23068276E-05 1.66820921E-05 1.27671422E-04 2.87429304E-05
16 2.82008131E-05 2.06866601E-05 2.04118798E-04 2.85825230E-05
17 3.44874149E-05 2.40545476E-05 9.95848796E-04 2.94270078E-05
18 4.13252074E-05 2.74275068E-05 1.94983443E-03 2.93152840E-05
19 4.78091754E-05 2.92698460E-05 1.97105751E-03 3.12300686E-05
20 5.31208111E-05 2.92070765E-05 1.85658582E-03 3.41336560E-05
21 6.01978992E-05 3.09874998E-05 2.22739013E-03 3.56991465E-05
22 6.79417945E-05 3.49781028E-05 2.23589207E-03 3.54111539E-05
23 7.84258635E-05 4.14045000E-05 9.98572821E-04 3.04087640E-05
24 8.43639954E-05 4.39372411E-05 6.00978135E-04 3.22025130E-05
25 7.87346201E-05 4.26813138E-05 5.85273965E-04 3.71033039E-05
26 9.31335480E-05 4.87042938E-05 2.48754205E-03 3.41531968E-05
27 9.62407954E-05 5.04908303E-05 2.74448519E-03 3.59040540E-05
28 1.00358329E-04 5.23174482E-05 2.47204243E-03 3.75272997E-05
29 1.02513355E-04 5.40846817E-05 3.17699242E-03 3.95084662E-05
30 1.03071811E-04 5.45198205E-05 3.09005203E-03 4.25068691E-05
31 1.09753962E-04 5.65084053E-05 3.02819279E-03 4.36853455E-05
32 1.10522992E-04 5.83112890E-05 2.62176321E-03 4.51628837E-05
33 1.15778808E-04 6.38397096E-05 3.27186039E-03 4.27741949E-05
34 1.16042914E-04 6.49693905E-05 3.65682333E-03 4.55538195E-05
35 1.20385164E-04 6.83241996E-05 6.62061323E-03 4.59674496E-05
36 1.24782661E-04 7.23677687E-05 3.45133164E-03 4.45180172E-05
37 1.29032936E-04 7.35919221E-05 4.46923723E-03 4.68137890E-05
38 1.34772293E-04 7.56457505E-05 4.84118754E-03 4.80587833E-05
39 1.40611827E-04 7.79014406E-05 4.73582645E-03 4.91491748E-05
40 1.45672273E-04 8.00349495E-05 3.91072224E-03 5.06876462E-05
41 1.51049231E-04 8.23325677E-05 4.57152633E-03 5.34634777E-05
42 1.56658024E-04 8.47612061E-05 4.59252695E-03 5.39115193E-05
43 1.61834133E-04 8.70895057E-05 4.65590146E-03 5.51206230E-05
44 1.67066603E-04 8.95121446E-05 6.34381840E-03 5.71495210E-05
45 1.72426349E-04 9.17944182E-05 5.27854811E-03 5.80379746E-05
