#int_mass winds winds_init rlof rlof_init cc cc_init
11 5.24324669E-103 0.00000000E+00 9.55584864E-102 0.00000000E+00 4.39460531E-18 0.00000000E+00
12 6.51578532E-103 0.00000000E+00 1.99122303E-101 0.00000000E+00 7.67097127E-18 0.00000000E+00
13 9.49556358E-103 0.00000000E+00 1.30067069E-101 0.00000000E+00 2.73366207E-17 0.00000000E+00
14 1.38047122E-102 0.00000000E+00 2.17478384E-101 0.00000000E+00 3.84645416E-17 0.00000000E+00
15 2.13236627E-52 0.00000000E+00 2.01717579E-101 0.00000000E+00 3.17417032E-16 0.00000000E+00
16 4.10392494E-52 0.00000000E+00 9.25987027E-101 0.00000000E+00 1.16054284E-15 0.00000000E+00
17 7.36672284E-52 0.00000000E+00 4.95107357E-101 0.00000000E+00 1.80914408E-15 0.00000000E+00
18 1.02744164E-51 0.00000000E+00 6.98807279E-101 0.00000000E+00 8.33174259E-16 0.00000000E+00
19 1.92968366E-51 0.00000000E+00 6.99659310E-101 0.00000000E+00 1.21391929E-16 0.00000000E+00
20 1.19407618E-56 0.00000000E+00 5.08282348E-101 0.00000000E+00 3.14010087E-15 0.00000000E+00
21 1.16179312E-62 0.00000000E+00 6.39521875E-101 0.00000000E+00 3.38376710E-15 0.00000000E+00
22 7.40101889E-102 0.00000000E+00 6.23075210E-101 0.00000000E+00 4.80143848E-31 0.00000000E+00
23 9.58087256E-102 0.00000000E+00 6.82344837E-101 0.00000000E+00 5.56588390E-23 0.00000000E+00
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.63503556E-51 0.00000000E+00 4.92709665E-101 0.00000000E+00 8.37068617E-17 0.00000000E+00
27 6.87212724E-102 0.00000000E+00 2.72951433E-101 0.00000000E+00 2.07276236E-27 0.00000000E+00
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 2.63934253E-59 0.00000000E+00 7.82091607E-103 0.00000000E+00 1.37180017E-20 0.00000000E+00
31 5.95022325E-102 0.00000000E+00 1.26186657E-102 0.00000000E+00 3.92006170E-19 0.00000000E+00
32 5.47030546E-51 0.00000000E+00 5.49951831E-103 0.00000000E+00 1.72468105E-14 0.00000000E+00
33 9.33718449E-51 0.00000000E+00 5.55044962E-103 0.00000000E+00 1.39399435E-14 0.00000000E+00
34 1.59283143E-56 0.00000000E+00 1.39919596E-103 0.00000000E+00 9.63530827E-15 0.00000000E+00
35 1.54657584E-50 0.00000000E+00 4.01250741E-105 0.00000000E+00 1.02664191E-14 0.00000000E+00
36 1.94979324E-50 0.00000000E+00 2.40867451E-103 0.00000000E+00 9.65141943E-15 0.00000000E+00
37 9.72136057E-47 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.90248954E-15 0.00000000E+00
38 3.55871452E-45 0.00000000E+00 1.30064583E-106 0.00000000E+00 2.67646669E-20 0.00000000E+00
39 3.35004358E-50 0.00000000E+00 2.71423504E-102 0.00000000E+00 3.03812267E-20 0.00000000E+00
40 5.27610795E-50 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.24221001E-20 0.00000000E+00
41 6.25205826E-50 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.67597568E-20 0.00000000E+00
42 7.53084006E-50 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.92639839E-20 0.00000000E+00
43 6.47371757E-42 0.00000000E+00 0.00000000E+00 0.00000000E+00 9.79236938E-17 0.00000000E+00
44 8.63115669E-50 0.00000000E+00 1.93475898E-102 0.00000000E+00 4.53586836E-08 0.00000000E+00
45 9.63593093E-50 0.00000000E+00 1.57328595E-105 0.00000000E+00 1.55188354E-19 0.00000000E+00
