#intial_mass winds winds_init cc cc_init
11 3.73106428E-103 0.00000000E+00 1.46266257E-79 0.00000000E+00
12 5.28160607E-103 0.00000000E+00 1.96410362E-87 0.00000000E+00
13 7.35600100E-103 0.00000000E+00 2.29686937E-85 0.00000000E+00
14 8.66942830E-103 0.00000000E+00 2.11055516E-86 0.00000000E+00
15 9.57596209E-103 0.00000000E+00 1.40138908E-88 0.00000000E+00
16 1.49170916E-102 0.00000000E+00 8.08244566E-84 0.00000000E+00
17 2.81022708E-102 0.00000000E+00 1.53273409E-80 0.00000000E+00
18 1.18476843E-102 0.00000000E+00 7.39917411E-76 0.00000000E+00
19 6.34797772E-102 0.00000000E+00 5.17171975E-72 0.00000000E+00
20 5.63843723E-102 0.00000000E+00 5.13825147E-71 0.00000000E+00
21 5.55531312E-102 0.00000000E+00 1.07282470E-76 0.00000000E+00
22 7.83512872E-102 0.00000000E+00 2.95935272E-68 0.00000000E+00
23 9.44788136E-102 0.00000000E+00 1.60237930E-44 0.00000000E+00
24 5.68538559E-102 0.00000000E+00 5.49272482E-32 0.00000000E+00
25 6.24090767E-102 0.00000000E+00 1.25358125E-42 0.00000000E+00
26 1.66419773E-101 0.00000000E+00 1.06147162E-15 0.00000000E+00
27 9.19228348E-102 0.00000000E+00 1.60605034E-16 0.00000000E+00
28 6.56427745E-102 0.00000000E+00 1.35610980E-22 0.00000000E+00
29 4.61706655E-102 0.00000000E+00 1.16657341E-22 0.00000000E+00
30 7.41121533E-102 0.00000000E+00 4.93861385E-28 0.00000000E+00
31 5.35792356E-102 0.00000000E+00 1.89268087E-23 0.00000000E+00
32 4.64148218E-102 0.00000000E+00 1.89463614E-24 0.00000000E+00
33 2.93786220E-62 0.00000000E+00 4.42639799E-16 0.00000000E+00
34 4.83835023E-59 0.00000000E+00 8.13541428E-16 0.00000000E+00
35 9.45503273E-58 0.00000000E+00 1.83101452E-19 0.00000000E+00
36 1.38959075E-56 0.00000000E+00 5.64175311E-14 0.00000000E+00
37 8.18584853E-60 0.00000000E+00 1.21477691E-18 0.00000000E+00
38 1.78674028E-52 0.00000000E+00 2.64880713E-19 0.00000000E+00
39 4.18990608E-56 0.00000000E+00 3.12942747E-19 0.00000000E+00
40 1.67470271E-49 0.00000000E+00 2.28063923E-16 0.00000000E+00
41 8.13216129E-56 0.00000000E+00 1.07912059E-18 0.00000000E+00
42 5.61016743E-50 0.00000000E+00 2.27129293E-18 0.00000000E+00
43 7.08357355E-50 0.00000000E+00 9.28340091E-19 0.00000000E+00
44 4.93066364E-46 0.00000000E+00 1.05893687E-20 0.00000000E+00
45 1.39216366E-47 0.00000000E+00 2.07260411E-19 0.00000000E+00
