#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.52302892E-38 1.32494846E-47 4.80645115E-36 1.34153042E-46 6.01653756E-06 3.40968384E-47
12 4.81134334E-37 1.63495873E-47 1.00969360E-34 1.42207689E-46 1.84415334E-05 4.03825065E-47
13 3.52228298E-36 2.00270124E-47 1.02234368E-33 1.49723817E-46 1.29719469E-05 4.74824480E-47
14 2.05335972E-35 2.42547159E-47 3.03751121E-31 1.56747985E-46 3.03782026E-05 5.17431459E-47
15 1.53349843E-34 2.90331708E-47 6.84352527E-29 1.63245783E-46 3.80658806E-05 5.92186665E-47
16 3.08062555E-34 3.34951984E-47 1.23094446E-28 1.70718125E-46 5.05231809E-05 6.52160211E-47
17 7.92146178E-34 4.00283323E-47 4.32112005E-27 1.76130211E-46 7.78586267E-05 7.21249388E-47
18 5.33830614E-33 4.57766804E-47 5.45155313E-27 1.84463441E-46 9.03547897E-05 7.65676840E-47
19 2.73049030E-31 5.10473894E-47 6.64804884E-26 1.93683969E-46 9.67482897E-05 8.12615749E-47
20 2.11677534E-31 3.93851439E-47 6.23093384E-26 2.03982466E-46 1.35568946E-04 1.02634766E-46
21 1.43136615E-32 4.82698625E-47 3.66588973E-27 2.08588835E-46 1.89747874E-04 1.06451078E-46
22 4.29365686E-38 4.57672833E-47 3.06185079E-34 1.93856386E-46 3.23024246E-04 1.39721620E-46
23 8.65643055E-42 5.07996289E-47 6.63180341E-33 2.03378182E-46 3.65647793E-04 1.40740298E-46
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.75384045E-29 1.01116649E-46 1.05636284E-27 2.13144388E-46 3.98741242E-04 1.38444085E-46
27 1.70960230E-37 9.06491926E-47 3.81975642E-36 1.89550538E-46 3.58292626E-04 1.90640226E-46
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 5.14439864E-29 1.41240370E-46 1.19497441E-31 1.95444658E-46 4.76722191E-04 1.95905086E-46
31 2.44213126E-33 1.27175541E-46 5.82869440E-32 1.99290858E-46 5.59738384E-04 2.20525203E-46
32 1.44134037E-26 1.75490765E-46 9.78051663E-32 2.05861820E-46 4.74227235E-04 1.81053448E-46
33 4.36177254E-28 1.89775819E-46 1.46360678E-30 2.06030372E-46 5.23514020E-04 1.85034333E-46
34 4.31950718E-31 2.02916259E-46 9.49150671E-30 1.97867484E-46 5.42234941E-04 2.00155250E-46
35 1.33826712E-18 2.18400986E-46 4.37537588E-28 2.05739298E-46 5.36508081E-04 1.95588971E-46
36 5.74777700E-20 2.30388241E-46 1.17875629E-25 2.07805685E-46 5.57621392E-04 2.00874568E-46
37 2.98368541E-18 2.54533081E-46 3.88343424E-32 1.95248358E-46 5.88359591E-04 2.08739153E-46
38 6.93847585E-31 2.67670883E-46 2.61657125E-32 1.93550920E-46 7.13896989E-04 2.18564571E-46
39 8.81227591E-31 2.82510964E-46 3.35519897E-33 1.90906680E-46 7.09045185E-04 2.25780579E-46
40 8.76087637E-31 2.96009441E-46 2.20643191E-33 1.88081881E-46 7.25797661E-04 2.32440235E-46
41 9.76431549E-31 3.10213600E-46 1.46609303E-33 1.85092961E-46 7.33783518E-04 2.38460733E-46
42 1.28719973E-30 3.25549297E-46 1.00049142E-33 1.81768523E-46 7.41707538E-04 2.51583185E-46
43 1.35700836E-30 3.40589842E-46 6.08155234E-34 1.77626203E-46 6.90436706E-04 2.49308962E-46
44 1.51175283E-30 3.67027552E-46 4.49480193E-35 1.69711711E-46 7.51670759E-04 2.59192218E-46
45 1.59523819E-30 3.82075877E-46 3.55470801E-35 1.65724212E-46 7.51216315E-04 2.69344106E-46
