#intial_mass winds winds_init cc cc_init
11 1.05988943E-06 1.05988943E-06 4.06654081E-05 5.06582562E-06
12 1.44399621E-06 1.44399621E-06 7.39111676E-05 5.26528957E-06
13 1.91055113E-06 1.91055113E-06 7.42136917E-05 5.47834247E-06
14 2.46678194E-06 2.46678194E-06 1.23292605E-04 5.46300601E-06
15 3.11397131E-06 3.11397131E-06 2.10371093E-04 5.36531391E-06
16 3.86148606E-06 3.86148606E-06 2.81711172E-04 5.33537138E-06
17 4.49015452E-06 4.49015452E-06 3.37475334E-04 5.49300756E-06
18 5.11976969E-06 5.11976969E-06 3.36101907E-04 5.47215258E-06
19 5.46367087E-06 5.46367087E-06 4.69388405E-04 5.82957684E-06
20 5.45195398E-06 5.45195398E-06 5.13441977E-04 6.37157647E-06
21 5.78429761E-06 5.78429761E-06 5.77961416E-04 6.66379957E-06
22 6.52920557E-06 6.52920557E-06 7.06654530E-04 6.61004129E-06
23 7.72879231E-06 7.72879231E-06 8.52497748E-04 5.67626759E-06
24 8.20156774E-06 8.20156774E-06 9.58306798E-04 6.01109868E-06
25 7.96712941E-06 7.96712941E-06 1.15846149E-03 6.92590734E-06
26 9.09141208E-06 9.09141208E-06 1.34479081E-03 6.37522406E-06
27 9.42489683E-06 9.42489683E-06 1.41667569E-03 6.70204873E-06
28 9.76586341E-06 9.76586341E-06 1.52900951E-03 7.00505272E-06
29 1.00957450E-05 1.00957450E-05 1.57790179E-03 7.37486818E-06
30 1.01769704E-05 1.01769704E-05 1.79286146E-03 7.93456661E-06
31 1.05481706E-05 1.05481706E-05 2.07157160E-03 8.15454752E-06
32 1.08847068E-05 1.08847068E-05 2.20985884E-03 8.43035295E-06
33 1.19166723E-05 1.19166723E-05 2.12201519E-03 7.98446712E-06
34 1.21275447E-05 1.21275447E-05 2.28178045E-03 8.50332717E-06
35 1.27537722E-05 1.27537719E-05 2.59160777E-03 8.58053765E-06
36 1.35085699E-05 1.35085668E-05 2.61114390E-03 8.30997860E-06
37 1.38189202E-05 1.37370740E-05 2.92712014E-03 8.73852003E-06
38 1.43640957E-05 1.41204530E-05 3.09861216E-03 8.97091754E-06
39 1.49770541E-05 1.45415125E-05 3.16407724E-03 9.17445602E-06
40 1.55301128E-05 1.49397651E-05 3.17430949E-03 9.46163558E-06
41 1.61459506E-05 1.53686512E-05 3.29992973E-03 9.97978759E-06
42 1.68086842E-05 1.58219942E-05 3.23202494E-03 1.00634215E-05
43 1.74406174E-05 1.62566074E-05 3.38484633E-03 1.02891195E-05
44 1.81179198E-05 1.67088306E-05 3.31559707E-03 1.06678448E-05
45 1.87592682E-05 1.71348523E-05 3.48599327E-03 1.08336884E-05
