#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.32793399E-94 7.09866643E-100 1.39034300E-98 7.18750744E-99 1.78583006E-08 1.82680375E-99
12 7.63883245E-100 8.75960607E-100 1.51579478E-98 7.61905068E-99 1.07014278E-08 2.16357052E-99
13 9.89782215E-100 1.07298574E-99 1.79336419E-98 8.02174168E-99 8.21563282E-09 2.54396355E-99
14 1.16060652E-99 1.29949309E-99 2.05033631E-98 8.39807501E-99 2.81050690E-09 2.77223864E-99
15 1.36284321E-99 1.55550801E-99 2.23837431E-98 8.74620705E-99 4.71613245E-08 3.17275405E-99
16 1.45777509E-54 1.79456973E-99 1.85991570E-98 9.14655215E-99 4.83511743E-08 3.49407386E-99
17 1.07306948E-52 2.14459495E-99 1.99336283E-98 9.43651509E-99 1.52436492E-09 3.86423242E-99
18 1.00091581E-51 2.45257377E-99 2.38898454E-98 9.88298393E-99 2.95962558E-09 4.10226105E-99
19 3.29106066E-50 2.73496214E-99 2.39208730E-98 1.03769915E-98 9.58491678E-10 4.35374529E-99
20 3.04357327E-36 2.11013489E-99 2.29990274E-98 1.09287532E-98 4.14679845E-09 5.49885516E-99
21 2.48498185E-37 2.58615079E-99 2.23644969E-98 1.11755483E-98 6.46540270E-09 5.70332139E-99
22 2.48121855E-99 2.45207030E-99 1.58023704E-98 1.03862290E-98 1.48719053E-07 7.48585472E-99
23 2.45792727E-99 2.72168790E-99 1.78634633E-98 1.08963776E-98 8.93642188E-04 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 8.44807952E-45 5.41751911E-99 2.06416691E-98 1.14196209E-98 7.62934782E-10 7.41740831E-99
27 6.47756242E-86 4.85670498E-99 2.07498701E-98 1.01555349E-98 1.00328288E-06 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.15563494E-44 7.56722468E-99 1.94302426E-98 1.04713238E-98 7.36284398E-10 1.04959921E-98
31 5.54558177E-99 6.81367439E-99 2.24153762E-98 1.06773913E-98 7.44230604E-04 1.18150622E-98
32 2.02639145E-42 9.40225550E-99 2.37120319E-98 1.10294432E-98 4.21683305E-10 9.70028696E-99
33 1.46403228E-71 1.01676048E-98 1.74790148E-98 1.10384737E-98 2.25727791E-10 9.91357055E-99
34 2.83229825E-44 1.08716292E-98 1.69498923E-98 1.06011313E-98 3.63789578E-10 1.07237028E-98
35 1.44011501E-71 1.17012532E-98 1.48736590E-98 1.10228789E-98 2.34503814E-10 1.04790556E-98
36 3.73743922E-72 1.23434934E-98 1.43418018E-98 1.11335896E-98 5.42921902E-10 1.07622416E-98
37 4.81929263E-58 1.36370997E-98 1.36525413E-98 1.04608066E-98 6.14159005E-10 1.11836019E-98
38 8.31676961E-59 1.43409828E-98 1.43198974E-98 1.03698631E-98 2.31108876E-11 1.17100176E-98
39 1.36534789E-72 1.51360687E-98 1.48407016E-98 1.02281929E-98 1.69278930E-09 1.20966291E-98
40 1.10621488E-59 1.58592756E-98 1.36822416E-98 1.00768488E-98 2.53221205E-11 1.24534330E-98
41 2.83379410E-60 1.66202907E-98 1.45575511E-98 9.91671168E-99 1.52980659E-09 1.27759928E-98
42 3.34017018E-60 1.74419302E-98 1.33876856E-98 9.73859850E-99 2.75108671E-11 1.34790534E-98
43 6.37401594E-73 1.82477564E-98 1.25505835E-98 9.51666572E-99 3.85861750E-11 1.33572075E-98
44 1.60768759E-72 1.96642076E-98 1.53590041E-98 9.09263158E-99 4.38064594E-10 1.38867220E-98
45 2.15477753E-72 2.04704505E-98 1.43741846E-98 8.87899365E-99 3.07039436E-11 1.44306289E-98
