#intial_mass winds winds_init cc cc_init
11 2.50286014E-99 1.65376070E-99 5.74633227E-98 7.90428047E-99
12 3.11817848E-99 2.25308803E-99 6.39556969E-98 8.21550693E-99
13 3.35994753E-99 2.98106037E-99 7.43959314E-98 8.54793643E-99
14 4.01762255E-99 3.84895528E-99 7.21369094E-98 8.52400674E-99
15 5.04402030E-99 4.85877415E-99 7.27478114E-98 8.37157635E-99
16 6.22138385E-99 6.02513216E-99 7.98516325E-98 8.32485659E-99
17 7.10062960E-99 7.00605258E-99 8.72338349E-98 8.57081859E-99
18 8.01967134E-99 7.98845017E-99 8.97558217E-98 8.53827826E-99
19 8.56295458E-99 8.52504413E-99 9.79341437E-98 9.09597247E-99
20 8.49026396E-99 8.50676209E-99 1.08975277E-97 9.94166227E-99
21 8.91040641E-99 9.02532263E-99 1.07469660E-97 1.03976222E-98
22 1.00124529E-98 1.01876132E-98 1.14330946E-97 1.03137424E-98
23 1.24172147E-98 1.20593456E-98 1.06343246E-62 8.85676184E-99
24 1.30403585E-98 1.27970239E-98 1.92761250E-21 9.37920360E-99
25 1.44189708E-98 1.24312264E-98 3.49105277E-64 1.08065927E-98
26 1.39000865E-98 1.41854608E-98 4.25279549E-07 9.94735366E-99
27 1.45576187E-98 1.47058019E-98 2.48938987E-06 1.04573029E-98
28 1.48038441E-98 1.52378169E-98 5.75001179E-06 1.09300844E-98
29 1.55971165E-98 1.57525359E-98 1.67348316E-06 1.15071127E-98
30 1.68360035E-98 1.58792730E-98 1.03024688E-11 1.23804182E-98
31 1.63785603E-98 1.64584620E-98 3.08726191E-04 1.27236576E-98
32 5.89204016E-97 1.69835643E-98 8.40275724E-06 1.31540008E-98
33 3.66213158E-44 1.85937549E-98 4.51880924E-08 1.24582787E-98
34 6.21293346E-44 1.89227822E-98 1.03206358E-07 1.32678635E-98
35 7.01337089E-43 1.98998935E-98 1.48482925E-08 1.33883361E-98
36 1.16276721E-42 2.10776108E-98 1.46577021E-09 1.29661790E-98
37 1.69152232E-73 2.14341539E-98 1.10798266E-10 1.36348383E-98
38 1.64749239E-73 2.20323456E-98 3.10339740E-11 1.39974515E-98
39 2.71833650E-73 2.26893308E-98 2.87295838E-11 1.43150355E-98
40 4.24155846E-73 2.33107300E-98 4.97826128E-11 1.47631259E-98
41 4.70340079E-73 2.39799271E-98 3.14207043E-11 1.55716059E-98
42 8.47934231E-73 2.46872848E-98 7.13888430E-11 1.57021011E-98
43 1.14569376E-72 2.53654180E-98 7.30350459E-11 1.60542609E-98
44 5.30455469E-73 2.60710283E-98 2.55849447E-11 1.66451914E-98
45 4.12969538E-73 2.67357562E-98 3.23803770E-11 1.69039596E-98
