#intial_mass winds winds_init cc cc_init
11 1.13276709E-05 1.13276524E-05 1.46985479E-03 5.41414133E-05
12 1.54328505E-05 1.54328241E-05 4.15354864E-03 5.62732001E-05
13 2.04192035E-05 2.04191669E-05 1.80551777E-03 5.85502198E-05
14 2.63639780E-05 2.63639277E-05 1.83083533E-03 5.83863102E-05
15 3.32808832E-05 3.32808154E-05 3.49178298E-03 5.73422182E-05
16 4.12700282E-05 4.12699387E-05 3.12732246E-03 5.70222050E-05
17 4.79890060E-05 4.79888827E-05 1.88981621E-03 5.87069542E-05
18 5.47181084E-05 5.47179448E-05 1.54729357E-03 5.84840649E-05
19 5.83936355E-05 5.83934160E-05 1.04786971E-03 6.23040651E-05
20 5.82684827E-05 5.82681908E-05 1.14856454E-03 6.80967291E-05
21 6.18205108E-05 6.18201397E-05 9.14767325E-04 7.12198867E-05
22 6.97818536E-05 6.97814026E-05 1.36300482E-03 7.06453407E-05
23 8.26026355E-05 8.26020811E-05 1.72566270E-03 6.06655603E-05
24 8.76555208E-05 8.76549060E-05 6.99773425E-03 6.42440941E-05
25 8.51499172E-05 8.51493278E-05 5.53796799E-03 7.40211842E-05
26 9.71658531E-05 9.71651880E-05 2.96635025E-03 6.81357130E-05
27 1.00730087E-04 1.00729333E-04 2.59203682E-03 7.16286777E-05
28 1.04374361E-04 1.04373440E-04 2.64468963E-03 7.48670568E-05
29 1.07900040E-04 1.07899075E-04 2.11267175E-03 7.88194889E-05
30 1.08768158E-04 1.08767178E-04 1.81344429E-03 8.48013102E-05
31 1.12735387E-04 1.12734410E-04 2.34008174E-03 8.71523737E-05
32 1.16332266E-04 1.16331167E-04 1.91547073E-03 9.01000661E-05
33 1.27361775E-04 1.27360380E-04 3.67999418E-03 8.53346259E-05
34 1.29615548E-04 1.29614097E-04 3.00132750E-03 9.08799839E-05
35 1.36308532E-04 1.36306949E-04 1.81079720E-03 9.17051770E-05
36 1.44375711E-04 1.44373880E-04 3.55937571E-03 8.88135557E-05
37 1.47063652E-04 1.46816069E-04 2.10378421E-03 9.33936263E-05
38 1.51648516E-04 1.50913462E-04 2.05990888E-03 9.58773931E-05
39 1.56776467E-04 1.55413569E-04 2.12694472E-03 9.80527267E-05
40 1.61534695E-04 1.59669925E-04 4.46080468E-03 1.01121981E-04
41 1.66755806E-04 1.64253679E-04 2.29968255E-03 1.06659772E-04
42 1.72336850E-04 1.69098818E-04 2.33091649E-03 1.07553616E-04
43 1.77642347E-04 1.73743782E-04 2.40589634E-03 1.09965781E-04
44 1.83242098E-04 1.78576952E-04 1.93853837E-03 1.14013438E-04
45 1.88480909E-04 1.83130094E-04 2.32379522E-03 1.15785905E-04
