#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.54205922E-59 7.09866643E-100 2.72003800E-98 7.18750744E-99 1.80717336E-06 1.82680375E-99
12 1.18616040E-57 8.75960607E-100 2.79725436E-98 7.61905068E-99 5.30022686E-06 2.16357052E-99
13 5.56197580E-57 1.07298574E-99 3.07396482E-98 8.02174168E-99 1.85547190E-06 2.54396355E-99
14 3.83486094E-56 1.29949309E-99 3.15976688E-98 8.39807501E-99 3.28896098E-05 2.77223864E-99
15 3.72580236E-45 1.55550801E-99 3.53910702E-98 8.74620705E-99 1.37368157E-05 3.17275405E-99
16 6.28817893E-45 1.79456973E-99 3.64068768E-98 9.14655215E-99 1.51896986E-05 3.49407386E-99
17 1.06632673E-44 2.14459495E-99 3.67091597E-98 9.43651509E-99 3.57414462E-05 3.86423242E-99
18 1.49663564E-44 2.45257377E-99 3.70937420E-98 9.88298393E-99 3.50145240E-05 4.10226105E-99
19 2.74991285E-44 2.73496214E-99 4.26000711E-98 1.03769915E-98 4.03759361E-05 4.35374529E-99
20 1.45325724E-46 2.11013489E-99 3.90775523E-98 1.09287532E-98 5.16795482E-06 5.49885516E-99
21 4.28525640E-52 2.58615079E-99 4.43100242E-98 1.11755483E-98 9.64250177E-06 5.70332139E-99
22 3.98112889E-99 2.45207030E-99 4.14758446E-98 1.03862290E-98 1.16702251E-05 7.48585472E-99
23 6.55884269E-99 2.72168790E-99 4.05352060E-98 1.08963776E-98 1.26778505E-05 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.10105356E-44 5.41751911E-99 4.94103397E-98 1.14196209E-98 1.99624917E-05 7.41740831E-99
27 7.38369386E-99 4.85670498E-99 5.32776924E-98 1.01555349E-98 3.72631710E-05 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.16920179E-50 7.56722468E-99 3.92330010E-98 1.04713238E-98 1.92098578E-06 1.04959921E-98
31 4.86486120E-68 6.81367439E-99 2.82110792E-98 1.06773913E-98 2.74826748E-05 1.18150622E-98
32 2.69321769E-44 9.40225550E-99 4.46139629E-98 1.10294432E-98 3.83248056E-05 9.70028696E-99
33 5.70815716E-44 1.01676048E-98 4.34005526E-98 1.10384737E-98 4.70080806E-05 9.91357055E-99
34 6.29411927E-47 1.08716292E-98 7.50668487E-98 1.06011313E-98 2.39431611E-05 1.07237028E-98
35 8.40291930E-44 1.17012532E-98 4.30397543E-98 1.10228789E-98 2.65201423E-05 1.04790556E-98
36 7.17445481E-43 1.23434934E-98 9.79792465E-98 1.11335896E-98 1.31374098E-05 1.07622416E-98
37 2.24764743E-43 1.36370997E-98 5.51297530E-98 1.04608066E-98 1.23166256E-05 1.11836019E-98
38 2.49971570E-43 1.43409828E-98 5.04192821E-98 1.03698631E-98 7.87533685E-06 1.17100176E-98
39 2.47807514E-43 1.51360687E-98 4.61388858E-98 1.02281929E-98 8.83540590E-06 1.20966291E-98
40 2.74250223E-43 1.58592756E-98 5.17194606E-98 1.00768488E-98 1.05429082E-05 1.24534330E-98
41 3.25116947E-43 1.66202907E-98 5.16700162E-98 9.91671168E-99 1.23956321E-05 1.27759928E-98
42 3.63288420E-43 1.74419302E-98 5.15321548E-98 9.73859850E-99 1.23453633E-05 1.34790534E-98
43 4.10938324E-43 1.82477564E-98 4.87739589E-98 9.51666572E-99 3.62379334E-05 1.33572075E-98
44 4.28891052E-43 1.96642076E-98 4.36625960E-98 9.09263158E-99 1.49226913E-05 1.38867220E-98
45 4.95493971E-43 2.04704505E-98 4.20801560E-98 8.87899365E-99 1.79625631E-05 1.44306289E-98
