#int_mass winds winds_init rlof rlof_init cc cc_init
11 2.08217921E-04 2.08217921E-04 2.10823803E-03 2.10823803E-03 7.47104893E-02 5.35837656E-04
12 2.56936564E-04 2.56936564E-04 2.23481820E-03 2.23481820E-03 2.35474336E-02 6.34618007E-04
13 3.14727931E-04 3.14727931E-04 2.35293543E-03 2.35293543E-03 1.26221591E-01 7.46194804E-04
14 3.81167014E-04 3.81167014E-04 2.46332143E-03 2.46332143E-03 3.17163078E-02 8.13152401E-04
15 4.56261252E-04 4.56261252E-04 2.56543544E-03 2.56543544E-03 4.28079960E-02 9.30631488E-04
16 5.26382781E-04 5.26382781E-04 2.68286458E-03 2.68286458E-03 4.50202120E-02 1.02488094E-03
17 6.29052098E-04 6.29052098E-04 2.76791644E-03 2.76791644E-03 3.58351417E-02 1.13345577E-03
18 7.19388372E-04 7.19388374E-04 2.89887458E-03 2.89887458E-03 4.31925508E-02 1.20327427E-03
19 8.02218456E-04 8.02218468E-04 3.04377675E-03 3.04377675E-03 4.92191985E-02 1.27703957E-03
20 6.18944282E-04 6.18944282E-04 3.20561939E-03 3.20561939E-03 5.04831216E-02 1.61292293E-03
21 7.58569157E-04 7.58569157E-04 3.27800927E-03 3.27800927E-03 5.06859148E-02 1.67289692E-03
22 7.19240696E-04 7.19240696E-04 3.04648632E-03 3.04648632E-03 3.12772506E-02 2.19574919E-03
23 7.98324869E-04 7.98324869E-04 3.19612297E-03 3.19612297E-03 3.69797799E-02 2.21175790E-03
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.58906538E-03 1.58906546E-03 3.34960057E-03 3.34960057E-03 6.58456277E-02 2.17567250E-03
27 1.42456759E-03 1.42456759E-03 2.97881918E-03 2.97881918E-03 1.33044633E-01 2.99594380E-03
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 2.21961660E-03 2.21961660E-03 3.07144628E-03 3.07144628E-03 2.68036150E-02 3.07868198E-03
31 1.99858541E-03 1.99858541E-03 3.13188998E-03 3.13188998E-03 2.85255872E-02 3.46559134E-03
32 2.75786606E-03 2.75786742E-03 3.23515375E-03 3.23515375E-03 1.28227616E-01 2.84528594E-03
33 2.98066213E-03 2.98235950E-03 3.23780258E-03 3.23780258E-03 1.10756328E-01 2.90784624E-03
34 3.18814231E-03 3.18886377E-03 3.10952141E-03 3.10952141E-03 1.02666290E-01 3.14547404E-03
35 3.42367643E-03 3.43220890E-03 3.23322830E-03 3.23322830E-03 1.07353996E-01 3.07371418E-03
36 3.61122675E-03 3.62059066E-03 3.26570194E-03 3.26570194E-03 1.02496473E-01 3.15677824E-03
37 3.97759152E-03 4.00003096E-03 3.06836139E-03 3.06836139E-03 1.09581131E-01 3.28037155E-03
38 4.18093281E-03 4.20649378E-03 3.04168585E-03 3.04168585E-03 2.72912889E-02 3.43477968E-03
39 4.41052238E-03 4.43970818E-03 3.00013118E-03 3.00013118E-03 3.09457561E-02 3.54818047E-03
40 4.61949617E-03 4.65183907E-03 2.95573898E-03 2.95573898E-03 3.07008619E-02 3.65283811E-03
41 4.83902145E-03 4.87505985E-03 2.90876759E-03 2.90876759E-03 2.96730182E-02 3.74745126E-03
42 5.07598584E-03 5.11606296E-03 2.85652347E-03 2.85652347E-03 7.22533726E-02 3.95367285E-03
43 5.30843663E-03 5.35242771E-03 2.79142620E-03 2.79142620E-03 5.07444013E-02 3.91793305E-03
44 5.71802261E-03 5.76790084E-03 2.66704861E-03 2.66704861E-03 8.80550597E-02 4.07325010E-03
45 5.95068692E-03 6.00438785E-03 2.60438438E-03 2.60438438E-03 1.15613059E-01 4.23278877E-03
