#intial_mass winds winds_init cc cc_init
11 3.94854211E-06 3.94854211E-06 5.93489880E-04 1.88723703E-05
12 5.37950441E-06 5.37950441E-06 5.21726537E-04 1.96154590E-05
13 7.11762134E-06 7.11762134E-06 7.13103254E-04 2.04091723E-05
14 9.18981933E-06 9.18981933E-06 3.72185969E-04 2.03520374E-05
15 1.16008770E-05 1.16008770E-05 4.05281121E-04 1.99880925E-05
16 1.43856896E-05 1.43856896E-05 4.71473192E-04 1.98765438E-05
17 1.67277489E-05 1.67277489E-05 3.79949983E-04 2.04638061E-05
18 1.90733351E-05 1.90733351E-05 1.23633387E-03 2.03861123E-05
19 2.03545143E-05 2.03545143E-05 2.68792209E-04 2.17176708E-05
20 2.03108639E-05 2.03108639E-05 3.39955726E-04 2.37368515E-05
21 2.15489862E-05 2.15489862E-05 2.11490034E-04 2.48255078E-05
22 2.43240875E-05 2.43240875E-05 2.48381888E-04 2.46252351E-05
23 2.87930619E-05 2.87930619E-05 3.51052683E-04 2.11465282E-05
24 3.05543529E-05 3.05543529E-05 1.29908275E-03 2.23939174E-05
25 2.96809697E-05 2.96809697E-05 8.30800420E-04 2.58019715E-05
26 3.38694042E-05 3.38694042E-05 6.15766164E-04 2.37504404E-05
27 3.51117778E-05 3.51117778E-05 6.13661535E-04 2.49680023E-05
28 3.63820243E-05 3.63820243E-05 6.07984069E-04 2.60968219E-05
29 3.76109744E-05 3.76109744E-05 5.18504085E-04 2.74745429E-05
30 3.79135738E-05 3.79135738E-05 3.22287600E-04 2.95596593E-05
31 3.92964536E-05 3.92964536E-05 3.12444769E-04 3.03791825E-05
32 4.05501951E-05 4.05501951E-05 2.96150791E-04 3.14066758E-05
33 4.43947086E-05 4.43947086E-05 6.49960545E-04 2.97455601E-05
34 4.51802989E-05 4.51802989E-05 6.31764676E-04 3.16785360E-05
35 4.75132618E-05 4.75132633E-05 2.93247608E-04 3.19661782E-05
36 5.03251799E-05 5.03251977E-05 5.24551027E-04 3.09582298E-05
37 5.13938730E-05 5.11764850E-05 3.24271945E-04 3.25547302E-05
38 5.32585912E-05 5.26047357E-05 2.99851030E-04 3.34205105E-05
39 5.54746228E-05 5.41733629E-05 3.08381222E-04 3.41787785E-05
40 5.74700104E-05 5.56570242E-05 6.58746455E-04 3.52486453E-05
41 5.97754594E-05 5.72548086E-05 5.05625019E-04 3.71789835E-05
42 6.23270530E-05 5.89437055E-05 1.57200056E-03 3.74905557E-05
43 6.46652598E-05 6.05628260E-05 4.53786957E-04 3.83313773E-05
44 6.72136366E-05 6.22475509E-05 6.41864816E-04 3.97422913E-05
45 6.94849776E-05 6.38346646E-05 6.80785722E-04 4.03601299E-05
